timestamp,http_client_request_count_amf,http_client_response_count_amf,http_server_request_count_amf,cpu_amf_system,cpu_amf_user,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_used_cm_globalP_amf,phoenix_memory_used_cm_packetP_amf,phoenix_memory_used_cm_sessionP_amf,phoenix_memory_used_cm_transactionP_amf,memory_per_ue_cm_globalP_amf,memory_per_ue_cm_packetP_amf,memory_per_ue_cm_sessionP_amf,memory_per_ue_cm_transactionP_amf
2024-02-19 14:42:51,3757,3757,3,37.14,45.32,0,0,1250,8750,277685,403750,1098934,210592,inf,inf,inf,inf
2024-02-19 14:42:52,3757,3757,3,37.14,45.32,0,0,1250,8750,277685,403750,1098934,210592,inf,inf,inf,inf
2024-02-19 14:42:53,3757,3757,3,37.14,45.32,0,0,1250,8750,277685,403750,1098934,210592,inf,inf,inf,inf
2024-02-19 14:42:54,3757,3757,3,37.14,45.32,0,0,1250,8750,277685,403750,1098934,210592,inf,inf,inf,inf
2024-02-19 14:42:55,3757,3757,3,37.14,45.32,0,0,1250,8750,277685,403750,1098934,210592,inf,inf,inf,inf
2024-02-19 14:42:56,3757,3757,3,37.14,45.32,0,0,1250,8750,277685,403750,1098934,210592,inf,inf,inf,inf
2024-02-19 14:42:57,3757,3757,3,37.14,45.32,276,0,0,9724,277685,403750,1098934,210592,1006.1050724637681,1462.8623188405797,3981.644927536232,763.0144927536232
2024-02-19 14:42:58,963,962,3,0.22,0.37,326,0,0,9674,98708,301294,284933,58099,302.7852760736196,924.2147239263803,874.0276073619632,178.21779141104295
2024-02-19 14:42:59,1113,1112,3,0.30000000000000004,0.45,376,0,0,9624,108308,348544,328683,66499,288.0531914893617,926.9787234042553,874.156914893617,176.8590425531915
2024-02-19 14:43:00,1263,1262,3,0.3700000000000001,0.51,426,0,0,9574,117908,395794,372433,74899,276.7793427230047,929.093896713615,874.255868544601,175.81924882629107
2024-02-19 14:43:01,1413,1412,3,0.4,0.6,476,0,0,9524,127508,443044,416183,83299,267.87394957983196,930.7647058823529,874.3340336134454,174.99789915966386
2024-02-19 14:43:02,1563,1562,3,0.46,0.66,526,0,0,9474,137108,490294,459933,91699,260.6615969581749,932.1178707224335,874.3973384030418,174.33269961977186
2024-02-19 14:43:03,1713,1712,3,0.51,0.73,576,0,0,9424,146708,537544,503683,100099,254.70138888888889,933.2361111111111,874.4496527777778,173.78298611111111
2024-02-19 14:43:04,1863,1862,3,0.5499999999999999,0.82,626,0,0,9374,156308,584794,547433,108499,249.69329073482427,934.1757188498402,874.4936102236421,173.32108626198084
2024-02-19 14:43:05,2013,2012,3,0.61,0.91,676,0,0,9324,165908,632044,591183,116899,245.42603550295857,934.9763313609468,874.5310650887574,172.92751479289942
2024-02-19 14:43:06,2163,2162,3,0.64,1.02,726,0,0,9274,175508,679294,634933,125299,241.7465564738292,935.6666666666666,874.5633608815427,172.58815426997245
2024-02-19 14:43:07,2313,2312,3,0.6799999999999999,1.13,776,0,0,9224,185108,726544,678683,133699,238.54123711340208,936.2680412371134,874.5914948453608,172.29252577319588
2024-02-19 14:43:08,2464,2462,3,0.73,1.23,826,0,0,9174,194708,773794,722433,146182,235.72397094430994,936.7966101694915,874.6162227602906,176.97578692493946
2024-02-19 14:43:09,2614,2612,3,0.79,1.36,876,0,0,9124,204308,821044,766183,150499,233.2283105022831,937.2648401826484,874.6381278538813,171.80251141552512
2024-02-19 14:43:10,2764,2762,3,0.83,1.48,926,0,0,9074,213908,868294,809933,158899,231.00215982721383,937.6825053995681,874.6576673866091,171.59719222462203
2024-02-19 14:43:11,2914,2912,3,0.88,1.61,976,0,0,9024,223508,915544,855182,171382,229.00409836065575,938.0573770491803,876.2110655737705,175.59631147540983
2024-02-19 14:43:12,3064,3062,3,0.93,1.73,1026,0,0,8974,233108,962794,898932,179782,227.20077972709552,938.3957115009747,876.1520467836257,175.2261208576998
2024-02-19 14:43:13,3214,3212,3,0.99,1.83,1076,0,0,8924,242708,1010044,942682,188182,225.56505576208178,938.7026022304833,876.0985130111524,174.8903345724907
2024-02-19 14:43:14,3364,3362,3,1.06,1.95,1126,0,0,8874,252308,1057294,986432,196582,224.0746003552398,938.9822380106572,876.0497335701599,174.58436944937833
2024-02-19 14:43:15,3514,3512,3,1.15,2.06,1176,0,0,8824,261908,1104544,1030182,204982,222.7108843537415,939.2380952380952,876.0051020408164,174.30442176870747
2024-02-19 14:43:16,3664,3662,3,1.23,2.19,1226,0,0,8774,271508,1151794,1073932,213382,221.4584013050571,939.4730831973899,875.9641109298532,174.047308319739
2024-02-19 14:43:17,3758,3758,3,1.28,2.34,1224,0,26,8750,277652,1181250,1098934,215696,226.83986928104576,965.0735294117648,897.8218954248366,176.22222222222223
2024-02-19 14:43:18,3758,3758,3,1.35,2.46,1174,0,76,8750,277652,1181250,1098934,227296,236.5008517887564,1006.175468483816,936.0596252129471,193.60817717206132
2024-02-19 14:43:19,3758,3758,3,1.39,2.6,1124,0,126,8750,277652,1181250,1098934,238896,247.02135231316726,1050.9341637010675,977.6992882562278,212.5409252669039
2024-02-19 14:43:20,3758,3758,3,1.43,2.72,1074,0,176,8750,277652,1181250,1098934,250496,258.5214152700186,1099.8603351955308,1023.2160148975792,233.2364990689013
2024-02-19 14:43:21,3758,3758,3,1.5,2.84,1024,0,226,8750,277652,1181250,1098934,262096,271.14453125,1153.564453125,1073.177734375,255.953125
2024-02-19 14:43:22,3758,3758,3,1.55,2.96,974,0,276,8750,277652,1181250,1098934,273696,285.0636550308008,1212.782340862423,1128.2689938398357,281.00205338809036
2024-02-19 14:43:23,3758,3758,3,1.6,3.09,924,0,326,8750,277652,1181250,1098934,285296,300.4891774891775,1278.409090909091,1189.3225108225108,308.76190476190476
2024-02-19 14:43:24,3758,3758,3,1.66,3.21,874,0,376,8750,277652,1181250,1098934,296896,317.6796338672769,1351.5446224256293,1257.3615560640733,339.6979405034325
2024-02-19 14:43:25,3758,3758,3,1.72,3.33,824,0,426,8750,277652,1184048,1098934,308264,336.95631067961165,1436.9514563106795,1333.6577669902913,374.1067961165049
2024-02-19 14:43:26,3758,3758,3,1.76,3.45,774,0,476,8750,277652,1181250,1098934,320096,358.7235142118863,1526.1627906976744,1419.811369509044,413.5607235142119
2024-02-19 14:43:27,3758,3758,3,1.82,3.59,724,0,526,8750,277652,1181250,1098934,331696,383.49723756906076,1631.5607734806629,1517.864640883978,458.1436464088398
2024-02-19 14:43:28,3758,3758,3,1.87,3.71,674,0,576,8750,277652,1181250,1098934,343296,411.946587537092,1752.5964391691396,1630.4658753709198,509.34124629080117
2024-02-19 14:43:29,3758,3758,3,1.91,3.83,624,0,626,8750,277652,1181250,1098934,354896,444.95512820512823,1893.0288461538462,1761.1121794871794,568.7435897435897
2024-02-19 14:43:30,3758,3758,3,1.97,3.96,574,0,676,8750,277652,1181250,1098934,366496,483.7142857142857,2057.9268292682927,1914.5191637630662,638.4947735191638
2024-02-19 14:43:31,3758,3758,3,2.01,4.08,524,0,726,8750,277652,1181250,1098934,377864,529.8702290076336,2254.293893129771,2097.202290076336,721.1145038167939
2024-02-19 14:43:32,3758,3758,3,2.06,4.21,474,0,776,8750,277652,1181250,1098934,389696,585.7637130801688,2492.0886075949365,2318.4261603375526,822.1434599156119
2024-02-19 14:43:33,3758,3758,3,2.11,4.33,424,0,826,8750,277652,1155126,1098934,391320,654.8396226415094,2724.353773584906,2591.8254716981132,922.9245283018868
2024-02-19 14:43:34,3758,3758,3,2.16,4.45,374,0,876,8750,277652,1126824,1098934,391552,742.3850267379679,3012.898395721925,2938.3262032085563,1046.9304812834225
2024-02-19 14:43:35,3758,3758,3,2.23,4.5600000000000005,324,0,926,8750,277652,1095724,1098934,391552,856.9506172839506,3381.864197530864,3391.7716049382716,1208.4938271604938
2024-02-19 14:43:36,3758,3758,3,2.28,4.67,274,0,976,8750,277652,1064624,1098934,391088,1013.3284671532847,3885.4890510948903,4010.70802919708,1427.3284671532847
2024-02-19 14:43:37,3758,3758,3,2.35,4.76,224,0,1026,8750,277652,1033524,1098934,391320,1239.517857142857,4613.946428571428,4905.955357142857,1746.9642857142858
2024-02-19 14:43:38,3758,3758,3,2.42,4.86,174,0,1076,8750,277652,999626,1098934,391320,1595.7011494252874,5744.977011494253,6315.712643678161,2248.9655172413795
2024-02-19 14:43:39,3758,3758,3,2.46,4.98,124,0,1126,8750,277652,971324,1098934,391320,2239.1290322580644,7833.258064516129,8862.370967741936,3155.8064516129034
2024-02-19 14:43:40,3758,3758,3,2.51,5.1000000000000005,74,0,1176,8750,277652,937426,1098934,391552,3752.054054054054,12667.918918918918,14850.45945945946,5291.243243243243
2024-02-19 14:43:41,3758,3758,3,2.57,5.21,23,0,1227,8750,277652,906326,1098934,391320,12071.826086956522,39405.47826086957,47779.739130434784,17013.91304347826
