timestamp,http_client_request_count_amf,http_client_response_count_amf,cpu_amf_system,cpu_amf_user,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_used_cm_globalP_amf,phoenix_memory_used_cm_packetP_amf,phoenix_memory_used_cm_sessionP_amf,phoenix_memory_used_cm_transactionP_amf
2024-02-19 07:35:30,8,8,0.18,0.11,0,0,0,10000,37652,0,5184,592
2024-02-19 07:35:31,8,8,0.18,0.11,8,0,0,9992,37652,0,5184,592
2024-02-19 07:35:32,287,287,0.23,0.22,107,0,1,9892,55508,87885,86559,16216
2024-02-19 07:35:33,587,587,0.28,0.31999999999999995,208,0,0,9792,74708,182385,174059,33016
2024-02-19 07:35:34,888,887,0.34,0.41,308,0,0,9692,93908,276885,261559,49816
2024-02-19 07:35:35,1188,1187,0.4,0.53,408,0,0,9592,113108,372169,350558,70699
2024-02-19 07:35:36,1488,1487,0.46,0.65,508,0,0,9492,132308,466669,438058,87499
2024-02-19 07:35:37,1788,1787,0.55,0.75,608,0,0,9392,151508,561169,525558,104299
2024-02-19 07:35:38,2088,2087,0.62,0.91,708,0,0,9292,170708,655669,613058,121099
2024-02-19 07:35:39,2389,2387,0.73,1.01,808,0,0,9192,189908,749385,700558,141982
2024-02-19 07:35:40,2689,2687,0.79,1.18,908,0,0,9092,209108,843885,789557,158782
2024-02-19 07:35:41,2989,2987,0.85,1.35,1008,0,0,8992,228308,939169,877057,175582
2024-02-19 07:35:42,3289,3287,0.91,1.52,1108,0,0,8892,247508,1033669,966056,196465
2024-02-19 07:35:43,3589,3587,1.03,1.65,1208,0,0,8792,266708,1128953,1053556,213265
2024-02-19 07:35:44,3889,3887,1.14,1.81,1308,0,0,8692,285908,1223453,1141056,230065
2024-02-19 07:35:45,4189,4187,1.22,2.02,1408,0,0,8592,305108,1320950,1228556,246865
