timestamp,http_client_request_count_amf,http_client_response_count_amf,http_server_request_count_amf,cpu_amf_system,cpu_amf_user,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_used_cm_globalP_amf,phoenix_memory_used_cm_packetP_amf,phoenix_memory_used_cm_sessionP_amf,phoenix_memory_used_cm_transactionP_amf
2024-02-19 08:00:16,7,7,3,0.0,0.01,0,0,0,10000,37685,0,5184,592
2024-02-19 08:00:17,25,25,3,0.0,0.03,21,0,0,9979,38837,5670,10434,1600
2024-02-19 08:00:18,323,323,3,0.05,0.14,120,0,1,9879,57909,100009,98558,21917
2024-02-19 08:00:19,624,623,3,0.12,0.26,220,0,1,9779,77109,195293,187557,42800
2024-02-19 08:00:20,924,923,3,0.18,0.38,320,0,1,9679,96309,289793,275057,59600
2024-02-19 08:00:21,1224,1223,3,0.26,0.5,420,0,1,9579,115509,384293,362557,76400
2024-02-19 08:00:22,1524,1523,3,0.34,0.63,520,0,1,9479,134709,478793,450057,93200
2024-02-19 08:00:23,1824,1823,3,0.39,0.79,620,0,1,9379,153909,573293,537557,110000
2024-02-19 08:00:24,2126,2125,3,0.44,0.95,721,0,0,9279,173237,667954,624433,123283
2024-02-19 08:00:25,2427,2425,3,0.52,1.08,821,0,0,9179,192437,762454,713432,144166
2024-02-19 08:00:26,2727,2725,3,0.5499999999999999,1.27,914,0,7,9079,211637,856954,802431,165049
2024-02-19 08:00:27,3027,3025,3,0.6699999999999999,1.42,1019,0,3,8978,230837,951454,889931,181849
2024-02-19 08:00:28,3327,3325,3,0.75,1.62,1122,0,0,8878,250037,1046738,977431,198649
2024-02-19 08:00:29,3627,3625,3,0.84,1.79,1221,0,0,8779,269237,1141238,1064931,215449
2024-02-19 08:00:30,3927,3925,3,0.97,2.09,1321,0,1,8678,288437,1235738,1152431,232249
2024-02-19 08:00:31,4227,4225,3,1.06,2.27,1421,0,1,8578,307605,1333235,1239931,249049
2024-02-19 08:00:32,4527,4525,3,1.19,2.47,1521,0,1,8478,326805,1427735,1327431,265849
2024-02-19 08:00:33,4827,4825,3,1.31,2.68,1621,0,1,8378,346005,1522235,1414931,282649
2024-02-19 08:00:34,5127,5125,3,1.42,2.93,1721,0,1,8278,365205,1616735,1502431,299449
2024-02-19 08:00:35,5427,5425,3,1.54,3.17,1821,0,1,8178,384405,1711235,1589931,316249
2024-02-19 08:00:36,5727,5725,3,1.67,3.43,1922,0,0,8078,403605,1805735,1677431,333049
2024-02-19 08:00:37,6027,6025,3,1.81,3.72,2006,0,16,7978,422805,1900235,1764931,349849
2024-02-19 08:00:38,6327,6325,3,1.97,4.0299999999999985,2107,0,15,7878,442005,1994735,1852431,366649
