timestamp,subscriber_count_Connected_x,subscriber_count_Connected_y,subscriber_count_Connected_x,subscriber_count_Connected_y,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_amf,,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_amf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_amf,total_allocated_memory_globalP_amf,total_allocated_memory_packetP_amf,total_allocated_memory_sessionP_amf,total_allocated_memory_transactionP_amf,chunk_create_count_minus_destroy_count_cm_globalP_amf,chunk_create_count_minus_destroy_count_cm_packetP_amf,chunk_create_count_minus_destroy_count_cm_sessionP_amf,chunk_create_count_minus_destroy_count_cm_transactionP_amf
2024-07-09 09:04:21,0,0,0,10000,6,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_amf,2,3,32,32,32,32,32,7,18,8
2024-07-09 09:04:22,1,0,0,9999,6,17,2,4,32,32,32,32,32,14,19,9
2024-07-09 09:04:23,2,0,0,9998,6,17,2,4,32,32,32,32,32,21,20,10
2024-07-09 09:04:24,3,0,0,9997,6,20,2,4,32,32,32,32,32,28,21,11
2024-07-09 09:04:25,4,0,0,9996,6,24,2,4,32,32,32,32,33,35,22,12
2024-07-09 09:04:26,5,0,0,9995,6,27,2,4,32,32,32,32,33,42,23,13
2024-07-09 09:04:27,6,0,0,9994,6,31,2,4,32,32,32,32,33,49,24,14
2024-07-09 09:04:28,7,0,0,9993,6,34,2,4,32,32,32,32,33,56,25,15
2024-07-09 09:04:29,8,0,0,9992,6,38,2,4,32,32,32,32,33,63,26,16
2024-07-09 09:04:30,9,0,0,9991,6,41,2,4,32,32,32,32,33,70,27,17
2024-07-09 09:04:31,10,0,0,9990,6,45,2,4,32,32,32,32,34,77,28,18
2024-07-09 09:04:32,11,0,0,9989,6,52,2,4,32,32,32,32,34,84,29,19
2024-07-09 09:04:33,12,0,0,9988,6,55,2,4,32,32,32,32,34,91,30,20
2024-07-09 09:04:34,13,0,0,9987,6,58,2,4,32,32,32,32,34,98,31,21
2024-07-09 09:04:35,14,0,0,9986,6,62,2,4,32,32,32,32,34,105,32,22
2024-07-09 09:04:36,15,0,0,9985,6,65,2,4,32,32,32,32,35,112,33,23
2024-07-09 09:04:37,16,0,0,9984,6,69,2,4,32,32,32,32,35,119,34,24
2024-07-09 09:04:38,17,0,0,9983,6,72,2,4,32,32,32,32,35,126,35,25
2024-07-09 09:04:39,18,0,0,9982,6,76,2,4,32,32,32,32,35,133,36,26
