timestamp,subscriber_count_Connected,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_amf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_amf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_amf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_amf,total_allocated_memory_globalP_amf,total_allocated_memory_packetP_amf,total_allocated_memory_sessionP_amf,total_allocated_memory_transactionP_amf,chunk_create_count_minus_destroy_count_cm_globalP_amf,chunk_create_count_minus_destroy_count_cm_packetP_amf,chunk_create_count_minus_destroy_count_cm_sessionP_amf,chunk_create_count_minus_destroy_count_cm_transactionP_amf
2024-07-17 09:11:30,0,6,17,2,3,256.0,256.0,256.0,256.0,32,7,16,8
2024-07-17 09:11:31,0,6,17,2,3,256.0,256.0,256.0,256.0,32,10,17,9
2024-07-17 09:11:32,0,6,18,2,3,256.0,256.0,256.0,256.0,32,11,17,9
2024-07-17 09:11:33,0,6,18,2,3,256.0,256.0,256.0,256.0,32,12,17,9
2024-07-17 09:11:34,0,6,19,2,3,256.0,256.0,256.0,256.0,32,13,17,9
2024-07-17 09:11:35,0,6,19,2,3,256.0,256.0,256.0,256.0,32,14,17,9
2024-07-17 09:11:36,0,6,20,2,3,256.0,256.0,256.0,256.0,32,15,17,9
2024-07-17 09:11:37,0,6,20,2,3,256.0,256.0,256.0,256.0,32,16,17,9
2024-07-17 09:11:38,0,6,20,2,3,256.0,256.0,256.0,256.0,32,17,17,9
2024-07-17 09:11:39,0,6,21,2,3,256.0,256.0,256.0,256.0,32,18,17,9
2024-07-17 09:11:40,0,6,21,2,3,256.0,256.0,256.0,256.0,32,19,17,9
2024-07-17 09:11:41,0,6,21,2,3,256.0,256.0,256.0,256.0,32,20,17,9
2024-07-17 09:11:42,0,6,22,2,3,256.0,256.0,256.0,256.0,32,21,17,9
2024-07-17 09:11:43,0,6,22,2,3,256.0,256.0,256.0,256.0,32,22,17,9
2024-07-17 09:11:44,0,6,22,2,3,256.0,256.0,256.0,256.0,32,23,17,9
2024-07-17 09:11:45,0,6,23,2,3,256.0,256.0,256.0,256.0,32,24,17,9
2024-07-17 09:11:46,0,6,23,2,3,256.0,256.0,256.0,256.0,32,25,17,9
2024-07-17 09:11:47,0,6,23,2,3,256.0,256.0,256.0,256.0,32,26,17,9
2024-07-17 09:11:48,0,6,24,2,3,256.0,256.0,256.0,256.0,32,27,17,9
2024-07-17 09:11:49,0,6,24,2,3,256.0,256.0,256.0,256.0,32,28,17,9
2024-07-17 09:11:50,0,6,24,2,3,256.0,256.0,256.0,256.0,32,29,17,9
2024-07-17 09:11:51,0,6,25,2,3,256.0,256.0,256.0,256.0,32,30,17,9
2024-07-17 09:11:52,0,6,25,2,3,256.0,256.0,256.0,256.0,32,31,17,9
2024-07-17 09:11:53,0,6,25,2,3,256.0,256.0,256.0,256.0,32,32,17,9
2024-07-17 09:11:54,0,6,26,2,3,256.0,256.0,256.0,256.0,32,33,17,9
2024-07-17 09:11:55,0,6,26,2,3,256.0,256.0,256.0,256.0,32,34,17,9
2024-07-17 09:11:56,0,6,26,2,3,256.0,256.0,256.0,256.0,32,35,17,9
2024-07-17 09:11:57,0,6,27,2,3,256.0,256.0,256.0,256.0,32,36,17,9
2024-07-17 09:11:58,0,6,27,2,3,256.0,256.0,256.0,256.0,32,37,17,9
2024-07-17 09:11:59,0,6,27,2,3,256.0,256.0,256.0,256.0,32,38,17,9
2024-07-17 09:12:00,0,6,28,2,3,256.0,256.0,256.0,256.0,32,39,17,9
2024-07-17 09:12:01,0,6,28,2,3,256.0,256.0,256.0,256.0,32,37,16,8
2024-07-17 09:12:02,0,6,28,2,3,256.0,256.0,256.0,256.0,32,37,16,8
