timestamp,subscriber_count_Connected,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_amf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_amf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_amf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_amf,total_allocated_memory_globalP_amf,total_allocated_memory_packetP_amf,total_allocated_memory_sessionP_amf,total_allocated_memory_transactionP_amf,chunk_create_count_minus_destroy_count_cm_globalP_amf,chunk_create_count_minus_destroy_count_cm_packetP_amf,chunk_create_count_minus_destroy_count_cm_sessionP_amf,chunk_create_count_minus_destroy_count_cm_transactionP_amf
2024-07-23 09:38:13,0,6,17,2,3,64.0,256.0,256.0,64.0,36,8,18,8
2024-07-23 09:38:14,0,6,17,2,3,64.0,256.0,256.0,64.0,36,8,18,8
2024-07-23 09:38:15,5,6,17,2,5,64.0,256.0,256.0,64.0,36,36,22,12
2024-07-23 09:38:16,10,6,29,2,5,64.0,256.0,256.0,64.0,36,71,27,17
2024-07-23 09:38:17,15,6,44,2,5,64.0,256.0,256.0,64.0,36,106,32,22
2024-07-23 09:38:18,20,6,59,2,5,64.0,256.0,256.0,64.0,36,141,37,27
2024-07-23 09:38:19,25,6,74,2,5,64.0,256.0,256.0,64.0,36,176,42,32
2024-07-23 09:38:20,30,6,89,2,5,64.0,256.0,256.0,64.0,36,211,47,37
2024-07-23 09:38:21,35,6,104,2,5,64.0,256.0,256.0,64.0,36,246,52,42
2024-07-23 09:38:22,40,6,119,2,5,64.0,256.0,256.0,64.0,36,281,57,47
2024-07-23 09:38:23,45,6,134,2,5,64.0,256.0,256.0,64.0,36,316,62,52
2024-07-23 09:38:24,50,6,149,2,5,64.0,256.0,256.0,64.0,36,351,67,57
2024-07-23 09:38:25,55,6,164,2,5,64.0,256.0,256.0,64.0,36,386,72,62
2024-07-23 09:38:26,60,6,178,2,5,64.0,256.0,256.0,64.0,36,421,77,67
2024-07-23 09:38:27,65,6,193,2,5,64.0,256.0,256.0,64.0,36,456,82,72
2024-07-23 09:38:28,70,6,208,2,5,64.0,256.0,256.0,64.0,36,491,87,77
2024-07-23 09:38:29,75,6,223,2,5,64.0,256.0,256.0,64.0,36,526,92,82
2024-07-23 09:38:30,80,6,238,2,5,64.0,256.0,256.0,64.0,36,561,97,87
2024-07-23 09:38:31,85,6,253,2,5,64.0,256.0,256.0,64.0,36,596,102,92
2024-07-23 09:38:32,90,6,268,2,5,64.0,256.0,256.0,64.0,36,631,107,97
2024-07-23 09:38:33,95,6,283,2,5,64.0,256.0,256.0,64.0,36,666,112,102
2024-07-23 09:38:34,100,6,298,2,5,64.0,256.0,256.0,64.0,36,701,117,107
2024-07-23 09:38:35,105,6,313,2,5,64.0,256.0,256.0,64.0,36,736,122,112
2024-07-23 09:38:36,110,6,328,2,5,64.0,256.0,256.0,64.0,36,771,127,117
2024-07-23 09:38:37,115,6,343,2,5,64.0,256.0,256.0,64.0,36,806,132,122
2024-07-23 09:38:38,120,6,357,2,5,64.0,256.0,256.0,64.0,36,841,137,127
2024-07-23 09:38:39,125,6,372,2,5,64.0,256.0,256.0,64.0,36,876,142,132
2024-07-23 09:38:40,130,6,387,2,5,64.0,256.0,256.0,64.0,36,911,147,137
2024-07-23 09:38:41,135,6,402,2,5,64.0,256.0,256.0,64.0,36,946,152,142
2024-07-23 09:38:42,140,6,417,2,5,64.0,256.0,256.0,64.0,36,981,157,147
2024-07-23 09:38:43,145,6,432,2,5,64.0,256.0,256.0,64.0,36,1016,162,152
2024-07-23 09:38:44,150,6,447,2,5,64.0,256.0,256.0,64.0,36,1051,167,157
2024-07-23 09:38:45,155,6,462,2,5,64.0,256.0,256.0,64.0,36,1086,172,162
2024-07-23 09:38:46,160,6,477,2,5,64.0,256.0,256.0,64.0,36,1121,177,167
2024-07-23 09:38:47,165,6,492,2,5,64.0,256.0,256.0,64.0,36,1156,182,172
2024-07-23 09:38:48,170,6,507,2,5,64.0,256.0,256.0,64.0,36,1191,187,177
2024-07-23 09:38:49,175,6,521,2,5,64.0,256.0,256.0,64.0,36,1226,192,182
2024-07-23 09:38:50,180,6,536,2,5,64.0,256.0,256.0,64.0,36,1261,197,187
2024-07-23 09:38:51,185,6,551,2,5,64.0,256.0,256.0,64.0,36,1296,202,192
2024-07-23 09:38:52,190,6,566,2,5,64.0,256.0,256.0,64.0,36,1331,207,197
2024-07-23 09:38:53,195,6,581,2,5,64.0,256.0,256.0,64.0,36,1366,212,202
2024-07-23 09:38:54,200,6,596,2,5,64.0,256.0,256.0,64.0,36,1401,217,207
2024-07-23 09:38:55,205,6,611,2,5,64.0,256.0,256.0,64.0,36,1436,222,212
2024-07-23 09:38:56,210,6,626,2,5,64.0,256.0,256.0,64.0,36,1471,227,217
2024-07-23 09:38:57,215,6,641,2,5,64.0,256.0,256.0,64.0,36,1506,232,222
2024-07-23 09:38:58,220,6,656,2,5,64.0,256.0,256.0,64.0,36,1541,237,227
2024-07-23 09:38:59,225,6,671,2,5,64.0,256.0,256.0,64.0,36,1576,242,232
2024-07-23 09:39:00,230,6,685,2,5,64.0,256.0,256.0,64.0,36,1611,247,237
