timestamp,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_ausf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_ausf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_ausf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_ausf,total_allocated_memory_globalP_ausf,total_allocated_memory_packetP_ausf,total_allocated_memory_sessionP_ausf,total_allocated_memory_transactionP_ausf,chunk_create_count_minus_destroy_count_cm_globalP_ausf,chunk_create_count_minus_destroy_count_cm_packetP_ausf,chunk_create_count_minus_destroy_count_cm_sessionP_ausf,chunk_create_count_minus_destroy_count_cm_transactionP_ausf
2024-07-17 08:04:28,3,3,1,1,8.0,8.0,8.0,16.0,20,3,0,4
2024-07-17 08:04:29,3,3,1,1,8.0,8.0,8.0,16.0,20,3,0,4
2024-07-17 08:04:30,3,3,1,1,8.0,8.0,8.0,16.0,20,3,0,4
2024-07-17 08:04:31,3,3,1,1,8.0,8.0,8.0,16.0,20,3,0,4
2024-07-17 08:04:32,3,3,1,1,8.0,8.0,8.0,16.0,20,3,0,4
2024-07-17 08:04:33,3,3,1,1,8.0,8.0,8.0,16.0,20,3,0,4
2024-07-17 08:04:34,3,3,1,1,8.0,8.0,8.0,16.0,20,3,0,4
2024-07-17 08:04:35,3,3,1,1,8.0,8.0,8.0,16.0,20,3,0,4
2024-07-17 08:04:36,3,3,1,1,8.0,8.0,8.0,16.0,20,3,0,4
2024-07-17 08:04:37,3,3,1,1,8.0,8.0,8.0,16.0,20,3,0,4
2024-07-17 08:04:38,3,3,1,1,8.0,8.0,8.0,16.0,20,3,0,4
2024-07-17 08:04:39,3,3,1,1,8.0,8.0,8.0,16.0,20,3,0,4
2024-07-17 08:04:40,3,3,1,1,8.0,8.0,8.0,16.0,20,3,0,4
2024-07-17 08:04:41,3,5,1,1,8.0,8.0,8.0,16.0,20,3,33,4
2024-07-17 08:04:42,3,5,1,1,8.0,8.0,8.0,16.0,20,3,33,4
2024-07-17 08:04:43,3,5,1,1,8.0,8.0,8.0,16.0,20,3,33,4
2024-07-17 08:04:44,3,5,1,1,8.0,8.0,8.0,16.0,20,3,33,4
2024-07-17 08:04:45,3,5,1,1,8.0,8.0,8.0,16.0,20,3,33,4
2024-07-17 08:04:46,3,5,1,1,8.0,8.0,8.0,16.0,20,3,33,4
2024-07-17 08:04:47,3,5,1,1,8.0,8.0,8.0,16.0,20,3,33,4
2024-07-17 08:04:48,3,5,1,1,8.0,8.0,8.0,16.0,20,3,33,4
2024-07-17 08:04:49,3,5,1,1,8.0,8.0,8.0,16.0,20,3,33,4
