,,,,,globalP,globalP,globalP,globalP,globalP,globalP,packetP,packetP,packetP,packetP,packetP,packetP,sessionP,sessionP,sessionP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_ausf,phoenix_memory_cm_used_chunk_count_cm_globalP_ausf,phoenix_memory_pool_create_count_cm_globalP_ausf,phoenix_memory_pool_destroy_count_cm_globalP_ausf,total_allocated_memory_globalP_ausf,chunk_create_count_minus_destroy_count_cm_globalP_ausf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_ausf,phoenix_memory_cm_used_chunk_count_cm_packetP_ausf,phoenix_memory_pool_create_count_cm_packetP_ausf,phoenix_memory_pool_destroy_count_cm_packetP_ausf,total_allocated_memory_packetP_ausf,chunk_create_count_minus_destroy_count_cm_packetP_ausf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_ausf,phoenix_memory_cm_used_chunk_count_cm_sessionP_ausf,phoenix_memory_pool_create_count_cm_sessionP_ausf,phoenix_memory_pool_destroy_count_cm_sessionP_ausf,total_allocated_memory_sessionP_ausf,chunk_create_count_minus_destroy_count_cm_sessionP_ausf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_ausf,phoenix_memory_cm_used_chunk_count_cm_transactionP_ausf,phoenix_memory_pool_create_count_cm_transactionP_ausf,phoenix_memory_pool_destroy_count_cm_transactionP_ausf,total_allocated_memory_transactionP_ausf,chunk_create_count_minus_destroy_count_cm_transactionP_ausf
timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-24 08:42:29,0,0,0,10000,3,20,20,0,96.0,20,6,2,173,170,32.0,3,1,1,2,1,8.0,1,1,4,40,36,16.0,4
2024-06-24 08:42:30,0,0,0,10000,3,20,20,0,96.0,20,6,2,179,176,32.0,3,1,1,2,1,8.0,1,1,4,41,37,16.0,4
2024-06-24 08:42:31,1,0,0,9999,3,20,20,0,96.0,20,6,2,185,182,32.0,3,1,1,3,2,8.0,1,1,4,48,44,16.0,4
2024-06-24 08:42:32,2,0,0,9998,3,20,20,0,96.0,20,6,2,191,188,32.0,3,1,1,4,3,8.0,1,1,4,55,51,16.0,4
2024-06-24 08:42:33,3,0,0,9997,3,20,20,0,96.0,20,6,2,197,194,32.0,3,1,1,5,4,8.0,1,1,4,62,58,16.0,4
2024-06-24 08:42:34,4,0,0,9996,3,20,20,0,96.0,20,6,2,203,200,32.0,3,1,1,6,5,8.0,1,1,4,69,65,16.0,4
2024-06-24 08:42:35,5,0,0,9995,3,20,20,0,96.0,20,6,2,209,206,32.0,3,1,1,7,6,8.0,1,1,4,76,72,16.0,4
2024-06-24 08:42:36,6,0,0,9994,3,20,20,0,96.0,20,6,2,215,212,32.0,3,1,1,8,7,8.0,1,1,4,83,79,16.0,4
2024-06-24 08:42:37,7,0,0,9993,3,20,20,0,96.0,20,6,2,221,218,32.0,3,1,1,9,8,8.0,1,1,4,90,86,16.0,4
2024-06-24 08:42:38,8,0,0,9992,3,20,20,0,96.0,20,6,2,227,224,32.0,3,1,1,10,9,8.0,1,1,4,97,93,16.0,4
2024-06-24 08:42:39,9,0,0,9991,3,20,20,0,96.0,20,7,2,234,231,32.0,3,1,1,11,10,8.0,1,1,4,104,100,16.0,4
2024-06-24 08:42:40,10,0,0,9990,3,20,20,0,96.0,20,7,2,241,238,32.0,3,1,1,12,11,8.0,1,1,4,111,107,16.0,4
2024-06-24 08:42:41,11,0,0,9989,3,20,20,0,96.0,20,7,2,248,245,32.0,3,1,1,13,12,8.0,1,1,4,118,114,16.0,4
2024-06-24 08:42:42,12,0,0,9988,3,20,20,0,96.0,20,7,2,255,252,32.0,3,1,1,14,13,8.0,1,1,4,125,121,16.0,4
2024-06-24 08:42:43,13,0,0,9987,3,20,20,0,96.0,20,7,2,262,259,32.0,3,1,1,15,14,8.0,1,1,4,132,128,16.0,4
2024-06-24 08:42:44,14,0,0,9986,3,20,20,0,96.0,20,7,2,269,266,32.0,3,1,1,16,15,8.0,1,1,4,139,135,16.0,4
2024-06-24 08:42:45,15,0,0,9985,3,20,20,0,96.0,20,7,2,276,273,32.0,3,1,1,17,16,8.0,1,1,4,146,142,16.0,4
2024-06-24 08:42:46,16,0,0,9984,3,20,20,0,96.0,20,8,2,284,281,32.0,3,1,1,18,17,8.0,1,1,4,153,149,16.0,4
2024-06-24 08:42:47,17,0,0,9983,3,20,20,0,96.0,20,8,2,292,289,32.0,3,1,1,19,18,8.0,1,1,4,160,156,16.0,4
2024-06-24 08:42:48,18,0,0,9982,3,20,20,0,96.0,20,8,2,300,297,32.0,3,1,1,20,19,8.0,1,1,4,167,163,16.0,4
2024-06-24 08:42:49,18,0,1,9981,3,21,21,0,96.0,21,8,2,308,305,32.0,3,1,1,21,20,8.0,1,1,4,174,170,16.0,4
2024-06-24 08:42:50,19,0,1,9980,3,21,21,0,96.0,21,8,2,316,313,32.0,3,1,1,22,21,8.0,1,1,4,181,177,16.0,4
2024-06-24 08:42:51,20,0,1,9979,3,21,21,0,96.0,21,8,2,324,321,32.0,3,1,1,23,22,8.0,1,1,4,188,184,16.0,4
2024-06-24 08:42:52,21,0,1,9978,3,21,21,0,96.0,21,8,2,332,329,32.0,3,1,1,24,23,8.0,1,1,4,195,191,16.0,4
2024-06-24 08:42:53,22,0,1,9977,3,21,21,0,96.0,21,8,2,340,337,32.0,3,1,1,25,24,8.0,1,1,4,202,198,16.0,4
2024-06-24 08:42:54,23,0,1,9976,3,21,21,0,96.0,21,9,2,349,346,32.0,3,1,1,26,25,8.0,1,1,4,209,205,16.0,4
2024-06-24 08:42:55,24,0,1,9975,3,21,21,0,96.0,21,9,2,358,355,32.0,3,1,1,27,26,8.0,1,1,4,216,212,16.0,4
2024-06-24 08:42:56,25,0,1,9974,3,21,21,0,96.0,21,9,2,367,364,32.0,3,1,1,28,27,8.0,1,1,4,223,219,16.0,4
2024-06-24 08:42:57,26,0,1,9973,3,21,21,0,96.0,21,9,2,376,373,32.0,3,1,1,29,28,8.0,1,1,4,230,226,16.0,4
2024-06-24 08:42:58,27,0,1,9972,3,21,21,0,96.0,21,9,2,385,382,32.0,3,1,1,30,29,8.0,1,1,4,237,233,16.0,4
2024-06-24 08:42:59,28,0,1,9971,3,21,21,0,96.0,21,9,2,394,391,32.0,3,1,1,31,30,8.0,1,1,4,244,240,16.0,4
2024-06-24 08:43:00,29,0,1,9970,3,21,21,0,96.0,21,9,2,403,400,32.0,3,1,1,32,31,8.0,1,1,4,251,247,16.0,4
2024-06-24 08:43:01,30,0,1,9969,3,21,21,0,96.0,21,9,2,412,409,32.0,3,1,1,33,32,8.0,1,1,4,258,254,16.0,4
2024-06-24 08:43:02,31,0,1,9968,3,21,21,0,96.0,21,10,2,422,419,32.0,3,1,1,34,33,8.0,1,1,4,265,261,16.0,4
