timestamp,subscriber_count_Connected,phoenix_memory_chunk_count_cm_globalP_ausf,phoenix_memory_chunk_count_cm_packetP_ausf,phoenix_memory_chunk_count_cm_sessionP_ausf,phoenix_memory_chunk_count_cm_transactionP_ausf,phoenix_memory_chunksize_cm_globalP_ausf,phoenix_memory_chunksize_cm_packetP_ausf,phoenix_memory_chunksize_cm_sessionP_ausf,phoenix_memory_chunksize_cm_transactionP_ausf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_ausf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_ausf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_ausf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_ausf,phoenix_memory_pool_create_count_cm_globalP_ausf,phoenix_memory_pool_create_count_cm_packetP_ausf,phoenix_memory_pool_create_count_cm_sessionP_ausf,phoenix_memory_pool_create_count_cm_transactionP_ausf,phoenix_memory_pool_destroy_count_cm_globalP_ausf,phoenix_memory_pool_destroy_count_cm_packetP_ausf,phoenix_memory_pool_destroy_count_cm_sessionP_ausf,phoenix_memory_pool_destroy_count_cm_transactionP_ausf
2024-07-25 08:47:27,150,65536,65536,65536,65536,4096,4096,4096,4096,10,32,1,1,29,6035,202,1513,0,6032,201,1509
2024-07-25 08:47:28,153,65536,65536,65536,65536,4096,4096,4096,4096,10,32,1,1,29,6067,205,1532,0,6064,204,1528
2024-07-25 08:47:29,158,65536,65536,65536,65536,4096,4096,4096,4096,10,32,1,1,29,6099,210,1563,0,6096,209,1559
2024-07-25 08:47:30,163,65536,65536,65536,65536,4096,4096,4096,4096,11,33,1,1,30,6132,215,1594,0,6129,214,1590
2024-07-25 08:47:31,168,65536,65536,65536,65536,4096,4096,4096,4096,11,34,1,1,30,6166,220,1625,0,6163,219,1621
2024-07-25 08:47:32,173,65536,65536,65536,65536,4096,4096,4096,4096,11,34,1,1,30,6200,225,1656,0,6197,224,1652
2024-07-25 08:47:33,178,65536,65536,65536,65536,4096,4096,4096,4096,11,35,1,1,30,6235,230,1687,0,6232,229,1683
2024-07-25 08:47:34,183,65536,65536,65536,65536,4096,4096,4096,4096,12,36,1,1,31,6271,235,1718,0,6268,234,1714
2024-07-25 08:47:35,188,65536,65536,65536,65536,4096,4096,4096,4096,12,36,1,1,31,6307,240,1749,0,6304,239,1745
2024-07-25 08:47:36,193,65536,65536,65536,65536,4096,4096,4096,4096,12,37,1,1,31,6344,245,1780,0,6341,244,1776
2024-07-25 08:47:37,198,65536,65536,65536,65536,4096,4096,4096,4096,12,38,1,1,31,6382,250,1811,0,6379,249,1807
