,,,,,globalP,globalP,globalP,globalP,globalP,globalP,packetP,packetP,packetP,packetP,packetP,packetP,sessionP,sessionP,sessionP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_smf,phoenix_memory_cm_used_chunk_count_cm_globalP_smf,phoenix_memory_pool_create_count_cm_globalP_smf,phoenix_memory_pool_destroy_count_cm_globalP_smf,total_allocated_memory_globalP_smf,chunk_create_count_minus_destroy_count_cm_globalP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_smf,phoenix_memory_cm_used_chunk_count_cm_packetP_smf,phoenix_memory_pool_create_count_cm_packetP_smf,phoenix_memory_pool_destroy_count_cm_packetP_smf,total_allocated_memory_packetP_smf,chunk_create_count_minus_destroy_count_cm_packetP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_smf,phoenix_memory_cm_used_chunk_count_cm_sessionP_smf,phoenix_memory_pool_create_count_cm_sessionP_smf,phoenix_memory_pool_destroy_count_cm_sessionP_smf,total_allocated_memory_sessionP_smf,chunk_create_count_minus_destroy_count_cm_sessionP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_smf,phoenix_memory_cm_used_chunk_count_cm_transactionP_smf,phoenix_memory_pool_create_count_cm_transactionP_smf,phoenix_memory_pool_destroy_count_cm_transactionP_smf,total_allocated_memory_transactionP_smf,chunk_create_count_minus_destroy_count_cm_transactionP_smf
timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-25 11:23:37,0,0,0,10000,8,35,35,0,31.998046875,35,23,103,707,616,32.0,91,5,47,52,5,31.998046875,47,2,5,106,101,32.0,5
2024-06-25 11:23:38,2,0,0,9998,8,35,35,0,31.998046875,35,23,103,734,643,32.0,91,5,47,52,5,31.998046875,47,2,5,109,104,32.0,5
2024-06-25 11:23:39,7,0,0,9993,8,35,35,0,31.998046875,35,23,115,829,728,32.0,101,8,182,222,40,31.998046875,182,3,5,152,147,32.0,5
2024-06-25 11:23:40,12,0,0,9988,8,35,35,0,31.998046875,35,40,126,943,832,32.0,111,8,317,392,75,31.998046875,317,3,5,195,190,32.0,5
2024-06-25 11:23:41,17,0,0,9983,8,36,36,0,31.998046875,36,58,138,1073,952,32.0,121,8,452,562,110,31.998046875,452,3,5,238,233,32.0,5
2024-06-25 11:23:42,22,0,0,9978,8,36,36,0,31.998046875,36,75,150,1222,1091,32.0,131,8,587,732,145,31.998046875,587,3,5,281,276,32.0,5
2024-06-25 11:23:43,27,0,0,9973,8,36,36,0,31.998046875,36,92,161,1386,1245,32.0,141,8,722,902,180,31.998046875,722,3,5,324,319,32.0,5
2024-06-25 11:23:44,32,0,0,9968,8,37,37,0,31.998046875,37,109,173,1569,1418,32.0,151,8,857,1072,215,31.998046875,857,3,5,367,362,32.0,5
2024-06-25 11:23:45,37,0,0,9963,8,37,37,0,31.998046875,37,126,184,1767,1606,32.0,161,8,992,1242,250,31.998046875,992,3,5,410,405,32.0,5
