timestamp,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_smf,total_allocated_memory_globalP_smf,total_allocated_memory_packetP_smf,total_allocated_memory_sessionP_smf,total_allocated_memory_transactionP_smf,chunk_create_count_minus_destroy_count_cm_globalP_smf,chunk_create_count_minus_destroy_count_cm_packetP_smf,chunk_create_count_minus_destroy_count_cm_sessionP_smf,chunk_create_count_minus_destroy_count_cm_transactionP_smf
2024-07-17 08:04:28,8,10,5,2,15.9990234375,64.0,127.998046875,64.0,35,8,45,5
2024-07-17 08:04:29,8,10,5,2,15.9990234375,64.0,127.998046875,64.0,35,8,45,5
2024-07-17 08:04:30,8,10,5,2,15.9990234375,64.0,127.998046875,64.0,35,8,45,5
2024-07-17 08:04:31,8,10,5,2,15.9990234375,64.0,127.998046875,64.0,35,8,45,5
2024-07-17 08:04:32,8,10,5,2,15.9990234375,64.0,127.998046875,64.0,35,8,45,5
2024-07-17 08:04:33,8,10,5,2,15.9990234375,64.0,127.998046875,64.0,35,8,45,5
2024-07-17 08:04:34,8,4,5,2,15.9990234375,64.0,127.998046875,64.0,35,8,45,5
2024-07-17 08:04:35,8,4,5,2,15.9990234375,64.0,127.998046875,64.0,35,8,45,5
2024-07-17 08:04:36,8,4,5,2,15.9990234375,64.0,127.998046875,64.0,35,8,45,5
2024-07-17 08:04:37,8,4,5,2,15.9990234375,64.0,127.998046875,64.0,35,8,45,5
2024-07-17 08:04:38,8,4,5,2,15.9990234375,64.0,127.998046875,64.0,35,8,45,5
2024-07-17 08:04:39,8,4,5,2,15.9990234375,64.0,127.998046875,64.0,35,8,45,5
2024-07-17 08:04:40,8,4,5,2,15.9990234375,64.0,127.998046875,64.0,35,8,45,5
2024-07-17 08:04:41,8,4,5,2,15.9990234375,64.0,127.998046875,64.0,35,8,45,5
2024-07-17 08:04:42,8,4,5,2,15.9990234375,64.0,127.998046875,64.0,35,8,45,5
2024-07-17 08:04:43,8,4,5,2,15.9990234375,64.0,127.998046875,64.0,35,8,45,5
2024-07-17 08:04:44,8,4,5,2,15.9990234375,64.0,127.998046875,64.0,35,8,45,5
2024-07-17 08:04:45,8,4,5,2,15.9990234375,64.0,127.998046875,64.0,35,8,45,5
2024-07-17 08:04:46,8,4,5,2,15.9990234375,64.0,127.998046875,64.0,35,8,45,5
2024-07-17 08:04:47,8,4,5,2,15.9990234375,64.0,127.998046875,64.0,35,8,45,5
2024-07-17 08:04:48,8,4,5,2,15.9990234375,64.0,127.998046875,64.0,35,8,45,5
2024-07-17 08:04:49,8,10,5,2,15.9990234375,64.0,127.998046875,64.0,35,8,45,5
