timestamp,subscriber_count_Connected,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_smf,total_allocated_memory_globalP_smf,total_allocated_memory_packetP_smf,total_allocated_memory_sessionP_smf,total_allocated_memory_transactionP_smf,chunk_create_count_minus_destroy_count_cm_globalP_smf,chunk_create_count_minus_destroy_count_cm_packetP_smf,chunk_create_count_minus_destroy_count_cm_sessionP_smf,chunk_create_count_minus_destroy_count_cm_transactionP_smf
2024-07-17 09:11:30,0,8,29,5,2,511.998046875,512.0,511.998046875,512.0,35,128,47,5
2024-07-17 09:11:31,0,8,29,5,2,511.998046875,512.0,511.998046875,512.0,35,128,47,5
2024-07-17 09:11:32,0,8,29,5,2,511.998046875,512.0,511.998046875,512.0,35,128,47,5
2024-07-17 09:11:33,0,8,29,5,2,511.998046875,512.0,511.998046875,512.0,35,128,47,5
2024-07-17 09:11:34,0,8,29,5,2,511.998046875,512.0,511.998046875,512.0,35,128,47,5
2024-07-17 09:11:35,0,8,29,5,2,511.998046875,512.0,511.998046875,512.0,35,128,47,5
2024-07-17 09:11:36,0,8,29,5,2,511.998046875,512.0,511.998046875,512.0,35,128,47,5
2024-07-17 09:11:37,0,8,29,5,2,511.998046875,512.0,511.998046875,512.0,35,128,47,5
2024-07-17 09:11:38,0,8,29,5,2,511.998046875,512.0,511.998046875,512.0,35,128,47,5
2024-07-17 09:11:39,0,8,29,5,2,511.998046875,512.0,511.998046875,512.0,35,128,47,5
2024-07-17 09:11:40,0,8,29,5,2,511.998046875,512.0,511.998046875,512.0,35,128,47,5
2024-07-17 09:11:41,0,8,29,5,2,511.998046875,512.0,511.998046875,512.0,35,128,47,5
2024-07-17 09:11:42,0,8,29,5,2,511.998046875,512.0,511.998046875,512.0,35,128,47,5
2024-07-17 09:11:43,0,8,29,5,2,511.998046875,512.0,511.998046875,512.0,35,128,47,5
2024-07-17 09:11:44,0,8,29,5,2,511.998046875,512.0,511.998046875,512.0,35,128,47,5
2024-07-17 09:11:45,0,8,29,5,2,511.998046875,512.0,511.998046875,512.0,35,128,47,5
2024-07-17 09:11:46,0,8,29,5,2,511.998046875,512.0,511.998046875,512.0,35,128,47,5
2024-07-17 09:11:47,0,8,29,5,2,511.998046875,512.0,511.998046875,512.0,35,128,47,5
2024-07-17 09:11:48,0,8,29,5,2,511.998046875,512.0,511.998046875,512.0,35,128,47,5
2024-07-17 09:11:49,0,8,29,5,2,511.998046875,512.0,511.998046875,512.0,35,128,47,5
2024-07-17 09:11:50,0,8,29,5,2,511.998046875,512.0,511.998046875,512.0,35,128,47,5
2024-07-17 09:11:51,0,8,29,5,2,511.998046875,512.0,511.998046875,512.0,35,128,47,5
2024-07-17 09:11:52,0,8,29,5,2,511.998046875,512.0,511.998046875,512.0,35,128,47,5
2024-07-17 09:11:53,0,8,29,5,2,511.998046875,512.0,511.998046875,512.0,35,128,47,5
2024-07-17 09:11:54,0,8,29,5,2,511.998046875,512.0,511.998046875,512.0,35,128,47,5
2024-07-17 09:11:55,0,8,29,5,2,511.998046875,512.0,511.998046875,512.0,35,128,47,5
2024-07-17 09:11:56,0,8,29,5,2,511.998046875,512.0,511.998046875,512.0,35,128,47,5
2024-07-17 09:11:57,0,8,29,5,2,511.998046875,512.0,511.998046875,512.0,35,128,47,5
2024-07-17 09:11:58,0,8,29,5,2,511.998046875,512.0,511.998046875,512.0,35,128,47,5
2024-07-17 09:11:59,0,8,29,5,2,511.998046875,512.0,511.998046875,512.0,35,128,47,5
2024-07-17 09:12:00,0,8,29,5,2,511.998046875,512.0,511.998046875,512.0,35,128,47,5
2024-07-17 09:12:01,0,8,29,5,2,511.998046875,512.0,511.998046875,512.0,35,128,47,5
2024-07-17 09:12:02,0,8,29,5,2,511.998046875,512.0,511.998046875,512.0,35,128,47,5
