timestamp,subscriber_count_Connected_x,subscriber_count_Connected_y,subscriber_count_Connected_x,subscriber_count_Connected_y,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_smf,total_allocated_memory_globalP_smf,total_allocated_memory_packetP_smf,total_allocated_memory_sessionP_smf,total_allocated_memory_transactionP_smf,chunk_create_count_minus_destroy_count_cm_globalP_smf,chunk_create_count_minus_destroy_count_cm_packetP_smf,chunk_create_count_minus_destroy_count_cm_sessionP_smf,chunk_create_count_minus_destroy_count_cm_transactionP_smf
2024-07-12 08:01:32,115,0,0,9885,8,4,8,3,511.998046875,512.0,511.998046875,512.0,42,347,3098,5
2024-07-12 08:01:33,120,0,0,9880,8,419,8,3,511.998046875,512.0,511.998046875,512.0,42,362,3233,5
2024-07-12 08:01:34,125,0,0,9875,9,436,8,3,511.998046875,512.0,511.998046875,512.0,43,377,3368,5
2024-07-12 08:01:35,130,0,0,9870,9,455,8,3,511.998046875,512.0,511.998046875,512.0,43,392,3503,5
2024-07-12 08:01:36,135,0,0,9865,9,473,8,3,511.998046875,512.0,511.998046875,512.0,43,407,3638,5
2024-07-12 08:01:37,140,0,0,9860,9,491,8,3,511.998046875,512.0,511.998046875,512.0,43,422,3773,5
2024-07-12 08:01:38,145,0,0,9855,10,509,8,3,511.998046875,512.0,511.998046875,512.0,44,437,3908,5
2024-07-12 08:01:39,150,0,0,9850,10,528,8,3,511.998046875,512.0,511.998046875,512.0,44,452,4043,5
2024-07-12 08:01:40,155,0,0,9845,10,545,8,3,511.998046875,512.0,511.998046875,512.0,44,467,4178,5
2024-07-12 08:01:41,160,0,0,9840,11,563,8,3,511.998046875,512.0,511.998046875,512.0,45,482,4313,5
2024-07-12 08:01:42,165,0,0,9835,11,582,8,3,511.998046875,512.0,511.998046875,512.0,45,497,4448,5
2024-07-12 08:01:43,170,0,0,9830,11,599,8,3,511.998046875,512.0,511.998046875,512.0,45,512,4583,5
2024-07-12 08:01:44,175,0,0,9825,12,618,8,3,511.998046875,512.0,511.998046875,512.0,46,527,4718,5
2024-07-12 08:01:45,180,0,0,9820,12,636,8,3,511.998046875,512.0,511.998046875,512.0,46,542,4853,5
2024-07-12 08:01:46,185,0,0,9815,12,654,8,3,511.998046875,512.0,511.998046875,512.0,46,557,4988,5
2024-07-12 08:01:47,190,0,0,9810,13,672,8,3,511.998046875,512.0,511.998046875,512.0,47,572,5123,5
2024-07-12 08:01:48,195,0,0,9805,13,690,8,3,511.998046875,512.0,511.998046875,512.0,47,587,5258,5
2024-07-12 08:01:49,200,0,0,9800,13,709,8,3,511.998046875,512.0,511.998046875,512.0,47,602,5393,5
2024-07-12 08:01:50,205,0,0,9795,14,726,8,3,511.998046875,512.0,511.998046875,512.0,48,617,5528,5
2024-07-12 08:01:51,210,0,0,9790,14,745,8,3,511.998046875,512.0,511.998046875,512.0,48,632,5663,5
2024-07-12 08:01:52,215,0,0,9785,14,763,8,3,511.998046875,512.0,511.998046875,512.0,48,647,5798,5
2024-07-12 08:01:53,220,0,0,9780,15,780,8,3,511.998046875,512.0,511.998046875,512.0,49,662,5933,6
2024-07-12 08:01:54,225,0,0,9775,15,799,8,3,511.998046875,512.0,511.998046875,512.0,49,677,6068,5
2024-07-12 08:01:55,230,0,0,9770,15,817,8,3,511.998046875,512.0,511.998046875,512.0,49,692,6203,5
2024-07-12 08:01:56,235,0,0,9765,15,835,8,3,511.998046875,512.0,511.998046875,512.0,49,707,6338,5
2024-07-12 08:01:57,240,0,0,9760,16,853,8,3,511.998046875,512.0,511.998046875,512.0,50,722,6473,5
2024-07-12 08:01:58,245,0,0,9755,16,871,8,3,511.998046875,512.0,511.998046875,512.0,50,737,6608,6
2024-07-12 08:01:59,250,0,0,9750,16,889,8,3,511.998046875,512.0,511.998046875,512.0,50,752,6743,6
2024-07-12 08:02:00,255,0,0,9745,17,907,8,3,511.998046875,512.0,511.998046875,512.0,51,767,6878,6
2024-07-12 08:02:01,260,0,0,9740,17,926,8,3,511.998046875,512.0,511.998046875,512.0,51,782,7013,6
2024-07-12 08:02:02,265,0,0,9735,17,944,8,3,511.998046875,512.0,511.998046875,512.0,51,797,7148,6
2024-07-12 08:02:03,270,0,0,9730,18,961,8,3,511.998046875,512.0,511.998046875,512.0,52,812,7283,5
2024-07-12 08:02:04,275,0,0,9725,18,980,8,3,511.998046875,512.0,511.998046875,512.0,52,827,7418,7
2024-07-12 08:02:05,280,0,0,9720,18,997,8,3,511.998046875,512.0,511.998046875,512.0,52,842,7553,6
2024-07-12 08:02:06,285,0,0,9715,19,1016,8,3,511.998046875,512.0,511.998046875,512.0,53,857,7688,6
2024-07-12 08:02:07,290,0,0,9710,19,1034,8,3,511.998046875,512.0,511.998046875,512.0,53,872,7823,6
2024-07-12 08:02:08,295,0,0,9705,19,1053,8,3,511.998046875,512.0,511.998046875,512.0,53,887,7958,6
2024-07-12 08:02:09,300,0,0,9700,20,1070,8,3,511.998046875,512.0,511.998046875,512.0,54,902,8093,6
2024-07-12 08:02:10,305,0,0,9695,20,1088,8,3,511.998046875,512.0,511.998046875,512.0,54,917,8228,6
2024-07-12 08:02:11,310,0,0,9690,20,1107,8,3,511.998046875,512.0,511.998046875,512.0,54,932,8363,6
2024-07-12 08:02:12,315,0,0,9685,21,1124,8,3,511.998046875,512.0,511.998046875,512.0,55,947,8498,6
2024-07-12 08:02:13,320,0,0,9680,21,1143,8,3,511.998046875,512.0,511.998046875,512.0,55,962,8633,6
2024-07-12 08:02:14,325,0,0,9675,21,1161,8,3,511.998046875,512.0,511.998046875,512.0,55,977,8768,6
2024-07-12 08:02:15,330,0,0,9670,21,1178,8,3,511.998046875,512.0,511.998046875,512.0,55,992,8903,6
2024-07-12 08:02:16,335,0,0,9665,22,1197,8,3,511.998046875,512.0,511.998046875,512.0,56,1007,9038,6
2024-07-12 08:02:17,340,0,0,9660,22,1215,8,3,511.998046875,512.0,511.998046875,512.0,56,1022,9173,6
2024-07-12 08:02:18,345,0,0,9655,22,1233,8,3,511.998046875,512.0,511.998046875,512.0,56,1037,9308,6
2024-07-12 08:02:19,350,0,0,9650,23,1251,8,3,511.998046875,512.0,511.998046875,512.0,57,1052,9443,6
2024-07-12 08:02:20,355,0,0,9645,23,1270,8,3,511.998046875,512.0,511.998046875,512.0,57,1067,9578,6
2024-07-12 08:02:21,360,0,0,9640,23,1288,8,3,511.998046875,512.0,511.998046875,512.0,57,1082,9713,6
2024-07-12 08:02:22,365,0,0,9635,24,1305,8,3,511.998046875,512.0,511.998046875,512.0,58,1097,9848,6
2024-07-12 08:02:23,370,0,0,9630,24,1324,8,3,511.998046875,512.0,511.998046875,512.0,58,1112,9983,6
2024-07-12 08:02:24,375,0,0,9625,24,1342,8,3,511.998046875,512.0,511.998046875,512.0,58,1127,10118,5
2024-07-12 08:02:25,380,0,0,9620,25,1360,8,3,511.998046875,512.0,511.998046875,512.0,59,1142,10253,6
