,,globalP,globalP,globalP,packetP,packetP,packetP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_smf,total_allocated_memory_globalP_smf,chunk_create_count_minus_destroy_count_cm_globalP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_smf,total_allocated_memory_packetP_smf,chunk_create_count_minus_destroy_count_cm_packetP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_smf,total_allocated_memory_sessionP_smf,chunk_create_count_minus_destroy_count_cm_sessionP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_smf,total_allocated_memory_transactionP_smf,chunk_create_count_minus_destroy_count_cm_transactionP_smf
timestamp,,,,,,,,,,,,,
2024-07-24 09:28:28,0,8,511.998046875,39,11,512.0,8,5,511.998046875,47,1,512.0,5
2024-07-24 09:28:29,0,8,511.998046875,39,11,512.0,11,8,511.998046875,74,3,512.0,5
2024-07-24 09:28:30,1,8,511.998046875,39,14,512.0,14,8,511.998046875,101,3,512.0,5
2024-07-24 09:28:31,2,8,511.998046875,39,18,512.0,17,8,511.998046875,128,3,512.0,5
2024-07-24 09:28:32,3,8,511.998046875,39,21,512.0,20,8,511.998046875,155,3,512.0,5
2024-07-24 09:28:33,4,8,511.998046875,39,24,512.0,23,8,511.998046875,182,3,512.0,5
2024-07-24 09:28:34,5,8,511.998046875,39,28,512.0,26,8,511.998046875,209,3,512.0,5
2024-07-24 09:28:35,6,8,511.998046875,39,31,512.0,29,8,511.998046875,236,3,512.0,5
2024-07-24 09:28:36,7,8,511.998046875,39,35,512.0,32,8,511.998046875,263,3,512.0,5
2024-07-24 09:28:37,8,8,511.998046875,39,38,512.0,35,8,511.998046875,290,3,512.0,5
2024-07-24 09:28:38,9,8,511.998046875,39,42,512.0,38,8,511.998046875,317,3,512.0,5
2024-07-24 09:28:39,10,8,511.998046875,39,45,512.0,41,8,511.998046875,344,3,512.0,5
2024-07-24 09:28:40,11,8,511.998046875,39,49,512.0,44,8,511.998046875,371,3,512.0,5
2024-07-24 09:28:41,12,8,511.998046875,39,52,512.0,47,8,511.998046875,398,3,512.0,5
2024-07-24 09:28:42,13,8,511.998046875,39,55,512.0,50,8,511.998046875,425,3,512.0,5
2024-07-24 09:28:43,14,8,511.998046875,39,59,512.0,53,8,511.998046875,452,3,512.0,5
2024-07-24 09:28:44,15,8,511.998046875,39,62,512.0,56,8,511.998046875,479,3,512.0,5
2024-07-24 09:28:45,16,8,511.998046875,39,66,512.0,59,8,511.998046875,506,3,512.0,5
2024-07-24 09:28:46,17,8,511.998046875,39,69,512.0,62,8,511.998046875,533,3,512.0,5
2024-07-24 09:28:47,18,8,511.998046875,39,73,512.0,65,8,511.998046875,560,3,512.0,5
2024-07-24 09:28:48,19,8,511.998046875,39,76,512.0,68,8,511.998046875,587,3,512.0,5
2024-07-24 09:28:49,20,8,511.998046875,39,80,512.0,71,8,511.998046875,614,3,512.0,5
2024-07-24 09:28:50,21,8,511.998046875,39,83,512.0,74,8,511.998046875,641,3,512.0,5
2024-07-24 09:28:51,22,8,511.998046875,39,87,512.0,77,8,511.998046875,668,3,512.0,5
2024-07-24 09:28:52,23,8,511.998046875,39,90,512.0,80,8,511.998046875,695,3,512.0,5
2024-07-24 09:28:53,24,8,511.998046875,39,94,512.0,83,8,511.998046875,722,3,512.0,5
2024-07-24 09:28:54,25,8,511.998046875,39,97,512.0,86,8,511.998046875,749,3,512.0,5
