,,,,,globalP,globalP,globalP,globalP,globalP,globalP,packetP,packetP,packetP,packetP,packetP,packetP,sessionP,sessionP,sessionP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_udm,phoenix_memory_cm_used_chunk_count_cm_globalP_udm,phoenix_memory_pool_create_count_cm_globalP_udm,phoenix_memory_pool_destroy_count_cm_globalP_udm,total_allocated_memory_globalP_udm,chunk_create_count_minus_destroy_count_cm_globalP_udm,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_udm,phoenix_memory_cm_used_chunk_count_cm_packetP_udm,phoenix_memory_pool_create_count_cm_packetP_udm,phoenix_memory_pool_destroy_count_cm_packetP_udm,total_allocated_memory_packetP_udm,chunk_create_count_minus_destroy_count_cm_packetP_udm,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_udm,phoenix_memory_cm_used_chunk_count_cm_sessionP_udm,phoenix_memory_pool_create_count_cm_sessionP_udm,phoenix_memory_pool_destroy_count_cm_sessionP_udm,total_allocated_memory_sessionP_udm,chunk_create_count_minus_destroy_count_cm_sessionP_udm,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_udm,phoenix_memory_cm_used_chunk_count_cm_transactionP_udm,phoenix_memory_pool_create_count_cm_transactionP_udm,phoenix_memory_pool_destroy_count_cm_transactionP_udm,total_allocated_memory_transactionP_udm,chunk_create_count_minus_destroy_count_cm_transactionP_udm
timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-25 11:19:39,0,0,0,10000,6,29,29,0,16.0,29,9,5,592,586,16.0,6,1,0,1,1,16.0,0,2,4,73,69,16.0,4
2024-06-25 11:19:40,1,0,0,9999,6,29,29,0,16.0,29,9,5,601,595,16.0,6,1,0,2,2,16.0,0,2,4,81,77,16.0,4
2024-06-25 11:19:41,2,0,0,9998,6,29,29,0,16.0,29,9,5,610,604,16.0,6,1,0,3,3,16.0,0,2,4,89,85,16.0,4
2024-06-25 11:19:42,3,0,0,9997,6,29,29,0,16.0,29,9,5,619,613,16.0,6,1,0,4,4,16.0,0,2,4,97,93,16.0,4
2024-06-25 11:19:43,4,0,0,9996,6,29,29,0,16.0,29,9,5,628,622,16.0,6,1,0,5,5,16.0,0,2,4,105,101,16.0,4
2024-06-25 11:19:44,5,0,0,9995,6,29,29,0,16.0,29,10,5,638,632,16.0,6,1,0,6,6,16.0,0,2,4,113,109,16.0,4
2024-06-25 11:19:45,6,0,0,9994,6,29,29,0,16.0,29,10,5,648,642,16.0,6,1,0,7,7,16.0,0,2,4,121,117,16.0,4
2024-06-25 11:19:46,7,0,0,9993,6,29,29,0,16.0,29,10,5,658,652,16.0,6,1,0,8,8,16.0,0,2,4,129,125,16.0,4
2024-06-25 11:19:47,8,0,0,9992,6,29,29,0,16.0,29,10,5,668,662,16.0,6,1,0,9,9,16.0,0,2,4,137,133,16.0,4
2024-06-25 11:19:48,9,0,0,9991,6,29,29,0,16.0,29,10,5,678,672,16.0,6,1,0,10,10,16.0,0,2,4,145,141,16.0,4
2024-06-25 11:19:49,10,0,0,9990,6,29,29,0,16.0,29,10,5,688,682,16.0,6,1,0,11,11,16.0,0,2,4,153,149,16.0,4
2024-06-25 11:19:50,11,0,0,9989,6,29,29,0,16.0,29,11,5,699,693,16.0,6,1,0,12,12,16.0,0,2,4,161,157,16.0,4
2024-06-25 11:19:51,12,0,0,9988,6,29,29,0,16.0,29,11,5,710,704,16.0,6,1,0,13,13,16.0,0,2,4,169,165,16.0,4
