timestamp,subscriber_count_Connected,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_udm,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_udm,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_udm,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_udm,total_allocated_memory_globalP_udm,total_allocated_memory_packetP_udm,total_allocated_memory_sessionP_udm,total_allocated_memory_transactionP_udm,chunk_create_count_minus_destroy_count_cm_globalP_udm,chunk_create_count_minus_destroy_count_cm_packetP_udm,chunk_create_count_minus_destroy_count_cm_sessionP_udm,chunk_create_count_minus_destroy_count_cm_transactionP_udm
2024-07-17 09:11:30,0,6,9,1,2,128.0,128.0,128.0,128.0,29,6,0,4
2024-07-17 09:11:31,0,6,9,1,2,128.0,128.0,128.0,128.0,29,6,0,4
2024-07-17 09:11:32,0,6,9,1,2,128.0,128.0,128.0,128.0,29,6,0,4
2024-07-17 09:11:33,0,6,9,1,2,128.0,128.0,128.0,128.0,29,6,0,4
2024-07-17 09:11:34,0,6,9,1,2,128.0,128.0,128.0,128.0,29,6,0,4
2024-07-17 09:11:35,0,6,9,1,2,128.0,128.0,128.0,128.0,29,6,0,4
2024-07-17 09:11:36,0,6,9,1,2,128.0,128.0,128.0,128.0,29,6,0,4
2024-07-17 09:11:37,0,6,9,1,2,128.0,128.0,128.0,128.0,29,6,0,4
2024-07-17 09:11:38,0,6,9,1,2,128.0,128.0,128.0,128.0,29,6,0,4
2024-07-17 09:11:39,0,6,9,1,2,128.0,128.0,128.0,128.0,29,6,0,4
2024-07-17 09:11:40,0,6,9,1,2,128.0,128.0,128.0,128.0,29,6,0,4
2024-07-17 09:11:41,0,6,9,1,2,128.0,128.0,128.0,128.0,29,6,0,4
2024-07-17 09:11:42,0,6,9,1,2,128.0,128.0,128.0,128.0,29,6,0,4
2024-07-17 09:11:43,0,6,9,1,2,128.0,128.0,128.0,128.0,29,6,0,4
2024-07-17 09:11:44,0,6,9,1,2,128.0,128.0,128.0,128.0,29,6,0,4
2024-07-17 09:11:45,0,6,9,1,2,128.0,128.0,128.0,128.0,29,6,0,4
2024-07-17 09:11:46,0,6,9,1,2,128.0,128.0,128.0,128.0,29,6,0,4
2024-07-17 09:11:47,0,6,9,1,2,128.0,128.0,128.0,128.0,29,6,0,4
2024-07-17 09:11:48,0,6,9,1,2,128.0,128.0,128.0,128.0,29,6,0,4
2024-07-17 09:11:49,0,6,9,1,2,128.0,128.0,128.0,128.0,29,6,0,4
2024-07-17 09:11:50,0,6,9,1,2,128.0,128.0,128.0,128.0,29,6,0,4
2024-07-17 09:11:51,0,6,9,1,2,128.0,128.0,128.0,128.0,29,6,0,4
2024-07-17 09:11:52,0,6,9,1,2,128.0,128.0,128.0,128.0,29,6,0,4
2024-07-17 09:11:53,0,6,9,1,2,128.0,128.0,128.0,128.0,29,6,0,4
2024-07-17 09:11:54,0,6,9,1,2,128.0,128.0,128.0,128.0,29,6,0,4
2024-07-17 09:11:55,0,6,9,1,2,128.0,128.0,128.0,128.0,29,6,0,4
2024-07-17 09:11:56,0,6,9,1,2,128.0,128.0,128.0,128.0,29,6,0,4
2024-07-17 09:11:57,0,6,9,1,2,128.0,128.0,128.0,128.0,29,6,0,4
2024-07-17 09:11:58,0,6,9,1,2,128.0,128.0,128.0,128.0,29,6,0,4
2024-07-17 09:11:59,0,6,9,1,2,128.0,128.0,128.0,128.0,29,6,0,4
2024-07-17 09:12:00,0,6,9,1,2,128.0,128.0,128.0,128.0,29,6,0,4
2024-07-17 09:12:01,0,6,9,1,2,128.0,128.0,128.0,128.0,29,6,0,4
2024-07-17 09:12:02,0,6,9,1,2,128.0,128.0,128.0,128.0,29,6,0,4
