,,,,,globalP,globalP,globalP,globalP,globalP,globalP,packetP,packetP,packetP,packetP,packetP,packetP,sessionP,sessionP,sessionP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_udm,phoenix_memory_cm_used_chunk_count_cm_globalP_udm,phoenix_memory_pool_create_count_cm_globalP_udm,phoenix_memory_pool_destroy_count_cm_globalP_udm,total_allocated_memory_globalP_udm,chunk_create_count_minus_destroy_count_cm_globalP_udm,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_udm,phoenix_memory_cm_used_chunk_count_cm_packetP_udm,phoenix_memory_pool_create_count_cm_packetP_udm,phoenix_memory_pool_destroy_count_cm_packetP_udm,total_allocated_memory_packetP_udm,chunk_create_count_minus_destroy_count_cm_packetP_udm,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_udm,phoenix_memory_cm_used_chunk_count_cm_sessionP_udm,phoenix_memory_pool_create_count_cm_sessionP_udm,phoenix_memory_pool_destroy_count_cm_sessionP_udm,total_allocated_memory_sessionP_udm,chunk_create_count_minus_destroy_count_cm_sessionP_udm,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_udm,phoenix_memory_cm_used_chunk_count_cm_transactionP_udm,phoenix_memory_pool_create_count_cm_transactionP_udm,phoenix_memory_pool_destroy_count_cm_transactionP_udm,total_allocated_memory_transactionP_udm,chunk_create_count_minus_destroy_count_cm_transactionP_udm
timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-24 08:45:21,0,0,0,10000,6,28,28,0,16.0,28,11,6,268,262,16.0,6,1,0,1,1,16.0,0,1,4,33,29,16.0,4
2024-06-24 08:45:22,0,0,0,10000,6,28,28,0,16.0,28,11,6,278,272,16.0,6,1,0,1,1,16.0,0,1,4,34,30,16.0,4
2024-06-24 08:45:23,1,0,0,9999,6,28,28,0,16.0,28,11,6,288,282,16.0,6,1,0,2,2,16.0,0,2,4,42,38,16.0,4
2024-06-24 08:45:24,2,0,0,9998,6,28,28,0,16.0,28,11,6,298,292,16.0,6,1,0,3,3,16.0,0,2,4,50,46,16.0,4
2024-06-24 08:45:25,3,0,0,9997,6,28,28,0,16.0,28,11,6,309,303,16.0,6,1,0,4,4,16.0,0,2,4,58,54,16.0,4
2024-06-24 08:45:26,4,0,0,9996,6,28,28,0,16.0,28,11,6,320,314,16.0,6,1,0,5,5,16.0,0,2,4,66,62,16.0,4
2024-06-24 08:45:27,5,0,0,9995,6,28,28,0,16.0,28,11,6,331,325,16.0,6,1,0,6,6,16.0,0,2,4,74,70,16.0,4
2024-06-24 08:45:28,6,0,0,9994,6,28,28,0,16.0,28,11,6,342,336,16.0,6,1,0,7,7,16.0,0,2,4,82,78,16.0,4
2024-06-24 08:45:29,7,0,0,9993,6,28,28,0,16.0,28,11,6,353,347,16.0,6,1,0,8,8,16.0,0,2,4,90,86,16.0,4
2024-06-24 08:45:30,8,0,0,9992,6,28,28,0,16.0,28,11,6,364,358,16.0,6,1,0,9,9,16.0,0,2,4,98,94,16.0,4
2024-06-24 08:45:31,9,0,0,9991,6,28,28,0,16.0,28,12,6,376,370,16.0,6,1,0,10,10,16.0,0,2,4,106,102,16.0,4
2024-06-24 08:45:32,10,0,0,9990,6,28,28,0,16.0,28,12,6,388,382,16.0,6,1,0,11,11,16.0,0,2,4,114,110,16.0,4
2024-06-24 08:45:33,11,0,0,9989,6,28,28,0,16.0,28,12,6,400,394,16.0,6,1,0,12,12,16.0,0,2,4,122,118,16.0,4
