timestamp,subscriber_count_Connected,phoenix_memory_chunk_count_cm_globalP_udm,phoenix_memory_chunk_count_cm_packetP_udm,phoenix_memory_chunk_count_cm_sessionP_udm,phoenix_memory_chunk_count_cm_transactionP_udm,phoenix_memory_chunksize_cm_globalP_udm,phoenix_memory_chunksize_cm_packetP_udm,phoenix_memory_chunksize_cm_sessionP_udm,phoenix_memory_chunksize_cm_transactionP_udm,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_udm,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_udm,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_udm,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_udm,phoenix_memory_pool_create_count_cm_globalP_udm,phoenix_memory_pool_create_count_cm_packetP_udm,phoenix_memory_pool_create_count_cm_sessionP_udm,phoenix_memory_pool_create_count_cm_transactionP_udm,phoenix_memory_pool_destroy_count_cm_globalP_udm,phoenix_memory_pool_destroy_count_cm_packetP_udm,phoenix_memory_pool_destroy_count_cm_sessionP_udm,phoenix_memory_pool_destroy_count_cm_transactionP_udm
2024-07-25 09:11:29,0,65536,65536,65536,32768,2048,2048,2048,4096,6,9,1,2,29,2464,1,281,0,2458,1,277
2024-07-25 09:11:30,3,65536,65536,65536,32768,2048,2048,2048,4096,6,9,1,2,29,2473,4,303,0,2467,4,299
2024-07-25 09:11:31,8,65536,65536,65536,32768,2048,2048,2048,4096,6,9,1,2,29,2482,9,339,0,2476,9,335
2024-07-25 09:11:32,13,65536,65536,65536,32768,2048,2048,2048,4096,6,10,1,2,29,2492,14,375,0,2486,14,371
2024-07-25 09:11:33,18,65536,65536,65536,32768,2048,2048,2048,4096,6,11,1,2,30,2503,19,411,0,2497,19,407
2024-07-25 09:11:34,23,65536,65536,65536,32768,2048,2048,2048,4096,6,12,1,2,30,2515,24,447,0,2509,24,443
2024-07-25 09:11:35,28,65536,65536,65536,32768,2048,2048,2048,4096,6,13,1,2,30,2528,29,483,0,2522,29,479
2024-07-25 09:11:36,33,65536,65536,65536,32768,2048,2048,2048,4096,6,14,1,2,31,2542,34,519,0,2536,34,515
2024-07-25 09:11:37,38,65536,65536,65536,32768,2048,2048,2048,4096,6,15,1,2,31,2557,39,555,0,2551,39,551
2024-07-25 09:11:38,43,65536,65536,65536,32768,2048,2048,2048,4096,6,16,1,2,31,2573,44,591,0,2567,44,587
2024-07-25 09:11:39,48,65536,65536,65536,32768,2048,2048,2048,4096,6,16,1,2,32,2589,49,627,0,2583,49,623
