timestamp,subscriber_count_Connected_x,subscriber_count_Connected_y,subscriber_count_Connected_x,subscriber_count_Connected_y,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_upf1,total_allocated_memory_globalP_upf1,total_allocated_memory_packetP_upf1,total_allocated_memory_sessionP_upf1,total_allocated_memory_transactionP_upf1,chunk_create_count_minus_destroy_count_cm_globalP_upf1,chunk_create_count_minus_destroy_count_cm_packetP_upf1,chunk_create_count_minus_destroy_count_cm_sessionP_upf1,chunk_create_count_minus_destroy_count_cm_transactionP_upf1
2024-07-09 09:04:21,0,0,0,10000,19,15,7,1,32.0,32.0,32.0,32.0,39,10,14,4
2024-07-09 09:04:22,1,0,0,9999,19,15,12,2,32.0,32.0,32.0,32.0,39,12,35,4
2024-07-09 09:04:23,2,0,0,9998,19,19,12,2,32.0,32.0,32.0,32.0,39,14,56,4
2024-07-09 09:04:24,3,0,0,9997,19,23,12,2,32.0,32.0,32.0,32.0,39,16,77,4
2024-07-09 09:04:25,4,0,0,9996,19,27,12,2,32.0,32.0,32.0,32.0,39,18,98,4
2024-07-09 09:04:26,5,0,0,9995,19,31,12,2,32.0,32.0,32.0,32.0,39,20,119,4
2024-07-09 09:04:27,6,0,0,9994,19,35,12,2,32.0,32.0,32.0,32.0,39,22,140,4
2024-07-09 09:04:28,7,0,0,9993,19,39,12,2,32.0,32.0,32.0,32.0,39,24,161,4
2024-07-09 09:04:29,8,0,0,9992,19,43,12,2,32.0,32.0,32.0,32.0,39,26,182,4
2024-07-09 09:04:30,9,0,0,9991,19,47,12,2,32.0,32.0,32.0,32.0,39,28,203,4
2024-07-09 09:04:31,10,0,0,9990,19,51,12,2,32.0,32.0,32.0,32.0,39,30,224,4
2024-07-09 09:04:32,11,0,0,9989,19,55,12,2,32.0,32.0,32.0,32.0,39,32,245,4
2024-07-09 09:04:33,12,0,0,9988,19,59,12,2,32.0,32.0,32.0,32.0,39,34,266,4
2024-07-09 09:04:34,13,0,0,9987,19,63,12,2,32.0,32.0,32.0,32.0,39,36,287,4
2024-07-09 09:04:35,14,0,0,9986,19,67,12,2,32.0,32.0,32.0,32.0,39,38,308,4
2024-07-09 09:04:36,15,0,0,9985,19,71,12,2,32.0,32.0,32.0,32.0,39,40,329,4
2024-07-09 09:04:37,16,0,0,9984,19,75,12,2,32.0,32.0,32.0,32.0,39,42,350,4
2024-07-09 09:04:38,17,0,0,9983,19,79,12,2,32.0,32.0,32.0,32.0,39,44,371,4
2024-07-09 09:04:39,18,0,0,9982,19,83,12,2,32.0,32.0,32.0,32.0,39,46,392,4
2024-07-09 09:04:40,19,0,0,9981,19,87,12,2,32.0,32.0,32.0,32.0,39,48,413,4
2024-07-09 09:04:41,20,0,0,9980,19,91,12,2,32.0,32.0,32.0,32.0,39,50,434,4
2024-07-09 09:04:42,21,0,0,9979,19,95,12,2,32.0,32.0,32.0,32.0,39,52,455,4
2024-07-09 09:04:43,22,0,0,9978,19,99,12,2,32.0,32.0,32.0,32.0,39,54,476,4
2024-07-09 09:04:44,23,0,0,9977,19,103,12,2,32.0,32.0,32.0,32.0,39,56,497,4
2024-07-09 09:04:45,24,0,0,9976,19,107,12,2,32.0,32.0,32.0,32.0,39,58,518,4
