timestamp,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_upf1,total_allocated_memory_globalP_upf1,total_allocated_memory_packetP_upf1,total_allocated_memory_sessionP_upf1,total_allocated_memory_transactionP_upf1,chunk_create_count_minus_destroy_count_cm_globalP_upf1,chunk_create_count_minus_destroy_count_cm_packetP_upf1,chunk_create_count_minus_destroy_count_cm_sessionP_upf1,chunk_create_count_minus_destroy_count_cm_transactionP_upf1
2024-07-17 08:04:28,19,2,7,1,32.0,255.9947967529297,1024.0,64.0,39,2,14,4
2024-07-17 08:04:29,19,2,7,1,32.0,255.9947967529297,1024.0,64.0,39,2,14,4
2024-07-17 08:04:30,19,2,7,1,32.0,255.9947967529297,1024.0,64.0,39,2,14,4
2024-07-17 08:04:31,19,2,7,1,32.0,255.9947967529297,1024.0,64.0,39,2,14,4
2024-07-17 08:04:32,19,2,7,1,32.0,255.9947967529297,1024.0,64.0,39,2,14,4
2024-07-17 08:04:33,19,2,7,1,32.0,255.9947967529297,1024.0,64.0,39,2,14,4
2024-07-17 08:04:34,19,2,7,1,32.0,255.9947967529297,1024.0,64.0,39,2,14,4
2024-07-17 08:04:35,19,2,7,1,32.0,255.9947967529297,1024.0,64.0,39,2,14,4
2024-07-17 08:04:36,19,2,7,1,32.0,255.9947967529297,1024.0,64.0,39,2,14,4
2024-07-17 08:04:37,19,2,7,1,32.0,255.9947967529297,1024.0,64.0,39,2,14,4
2024-07-17 08:04:38,19,2,7,1,32.0,255.9947967529297,1024.0,64.0,39,2,14,4
2024-07-17 08:04:39,19,2,7,1,32.0,255.9947967529297,1024.0,64.0,39,2,14,4
2024-07-17 08:04:40,19,2,7,1,32.0,255.9947967529297,1024.0,64.0,39,2,14,4
2024-07-17 08:04:41,19,2,7,1,32.0,255.9947967529297,1024.0,64.0,39,2,14,4
2024-07-17 08:04:42,19,2,7,1,32.0,255.9947967529297,1024.0,64.0,39,2,14,4
2024-07-17 08:04:43,19,2,7,1,32.0,255.9947967529297,1024.0,64.0,39,2,14,4
2024-07-17 08:04:44,19,2,7,1,32.0,255.9947967529297,1024.0,64.0,39,2,14,4
2024-07-17 08:04:45,19,2,7,1,32.0,255.9947967529297,1024.0,64.0,39,2,14,4
2024-07-17 08:04:46,19,2,7,1,32.0,255.9947967529297,1024.0,64.0,39,2,14,4
2024-07-17 08:04:47,19,2,7,1,32.0,255.9947967529297,1024.0,64.0,39,2,14,4
2024-07-17 08:04:48,19,2,7,1,32.0,255.9947967529297,1024.0,64.0,39,2,14,4
2024-07-17 08:04:49,19,2,7,1,32.0,255.9947967529297,1024.0,64.0,39,2,14,4
