,,,,,globalP,globalP,globalP,globalP,globalP,globalP,packetP,packetP,packetP,packetP,packetP,packetP,sessionP,sessionP,sessionP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_upf1,phoenix_memory_cm_used_chunk_count_cm_globalP_upf1,phoenix_memory_pool_create_count_cm_globalP_upf1,phoenix_memory_pool_destroy_count_cm_globalP_upf1,total_allocated_memory_globalP_upf1,chunk_create_count_minus_destroy_count_cm_globalP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_upf1,phoenix_memory_cm_used_chunk_count_cm_packetP_upf1,phoenix_memory_pool_create_count_cm_packetP_upf1,phoenix_memory_pool_destroy_count_cm_packetP_upf1,total_allocated_memory_packetP_upf1,chunk_create_count_minus_destroy_count_cm_packetP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_upf1,phoenix_memory_cm_used_chunk_count_cm_sessionP_upf1,phoenix_memory_pool_create_count_cm_sessionP_upf1,phoenix_memory_pool_destroy_count_cm_sessionP_upf1,total_allocated_memory_sessionP_upf1,chunk_create_count_minus_destroy_count_cm_sessionP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_upf1,phoenix_memory_cm_used_chunk_count_cm_transactionP_upf1,phoenix_memory_pool_create_count_cm_transactionP_upf1,phoenix_memory_pool_destroy_count_cm_transactionP_upf1,total_allocated_memory_transactionP_upf1,chunk_create_count_minus_destroy_count_cm_transactionP_upf1
timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-26 11:18:47,0,0,0,10000,19,39,39,0,32.0,39,15,9,1484,1474,32.0,10,7,14,15,1,32.0,14,1,4,90,86,32.0,4
2024-06-26 11:18:48,1,0,0,9999,19,39,39,0,32.0,39,15,9,1501,1491,32.0,10,7,14,15,1,32.0,14,1,4,91,87,32.0,4
2024-06-26 11:18:49,2,0,0,9998,19,39,39,0,32.0,39,15,12,1622,1610,32.0,12,12,35,38,3,32.0,35,2,4,94,90,32.0,4
2024-06-26 11:18:50,3,0,0,9997,19,39,39,0,32.0,39,19,15,1747,1733,32.0,14,12,56,61,5,32.0,56,2,4,97,93,32.0,4
2024-06-26 11:18:51,4,0,0,9996,19,39,39,0,32.0,39,23,17,1876,1860,32.0,16,12,77,84,7,32.0,77,2,4,100,96,32.0,4
2024-06-26 11:18:52,5,0,0,9995,19,39,39,0,32.0,39,27,20,2009,1991,32.0,18,12,98,107,9,32.0,98,2,4,103,99,32.0,4
2024-06-26 11:18:53,6,0,0,9994,19,39,39,0,32.0,39,31,23,2146,2126,32.0,20,12,119,130,11,32.0,119,2,4,106,102,32.0,4
2024-06-26 11:18:54,7,0,0,9993,19,39,39,0,32.0,39,35,25,2287,2265,32.0,22,12,140,153,13,32.0,140,2,4,109,105,32.0,4
