timestamp,subscriber_count_Connected,phoenix_memory_chunk_count_cm_globalP_upf1,phoenix_memory_chunk_count_cm_packetP_upf1,phoenix_memory_chunk_count_cm_sessionP_upf1,phoenix_memory_chunk_count_cm_transactionP_upf1,phoenix_memory_chunksize_cm_globalP_upf1,phoenix_memory_chunksize_cm_packetP_upf1,phoenix_memory_chunksize_cm_sessionP_upf1,phoenix_memory_chunksize_cm_transactionP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_upf1,phoenix_memory_pool_create_count_cm_globalP_upf1,phoenix_memory_pool_create_count_cm_packetP_upf1,phoenix_memory_pool_create_count_cm_sessionP_upf1,phoenix_memory_pool_create_count_cm_transactionP_upf1,phoenix_memory_pool_destroy_count_cm_globalP_upf1,phoenix_memory_pool_destroy_count_cm_packetP_upf1,phoenix_memory_pool_destroy_count_cm_sessionP_upf1,phoenix_memory_pool_destroy_count_cm_transactionP_upf1
2024-07-25 08:47:27,150,131072,131072,131072,131072,2048,2048,2048,2048,19,615,12,2,39,118567,4673,707,0,118257,1509,703
2024-07-25 08:47:28,153,131072,131072,131072,131072,2048,2048,2048,2048,19,615,12,2,39,119358,4717,712,0,119045,1512,708
2024-07-25 08:47:29,158,131072,131072,131072,131072,2048,2048,2048,2048,19,622,12,2,39,120502,4834,723,0,120179,1523,719
2024-07-25 08:47:30,163,131072,131072,131072,131072,2048,2048,2048,2048,19,643,12,2,39,121701,4949,734,0,121367,1533,730
2024-07-25 08:47:31,168,131072,131072,131072,131072,2048,2048,2048,2048,19,663,12,2,39,122886,5064,745,0,122542,1543,741
2024-07-25 08:47:32,173,131072,131072,131072,131072,2048,2048,2048,2048,19,683,12,2,39,124091,5179,756,0,123737,1553,752
2024-07-25 08:47:33,178,131072,131072,131072,131072,2048,2048,2048,2048,19,703,12,2,39,125316,5294,767,0,124952,1563,763
2024-07-25 08:47:34,183,131072,131072,131072,131072,2048,2048,2048,2048,19,723,12,2,39,126561,5409,778,0,126187,1573,774
2024-07-25 08:47:35,188,131072,131072,131072,131072,2048,2048,2048,2048,19,743,12,2,39,127826,5524,789,0,127442,1583,785
2024-07-25 08:47:36,193,131072,131072,131072,131072,2048,2048,2048,2048,19,763,12,2,39,129111,5639,800,0,128717,1593,796
2024-07-25 08:47:37,198,131072,131072,131072,131072,2048,2048,2048,2048,19,783,12,2,39,130312,5731,811,0,129910,1601,807
