,,,,,globalP,globalP,globalP,packetP,packetP,packetP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_amf,total_allocated_memory_globalP_amf,chunk_create_count_minus_destroy_count_cm_globalP_amf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_amf,total_allocated_memory_packetP_amf,chunk_create_count_minus_destroy_count_cm_packetP_amf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_amf,total_allocated_memory_sessionP_amf,chunk_create_count_minus_destroy_count_cm_sessionP_amf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_amf,total_allocated_memory_transactionP_amf,chunk_create_count_minus_destroy_count_cm_transactionP_amf
timestamp,,,,,,,,,,,,,,,,
2024-07-26 07:24:19,50,0,0,9950,6,64.0,36,167,64.0,358,2,64.0,68,5,32.0,58
2024-07-26 07:24:20,50,0,0,9950,6,64.0,36,167,64.0,358,2,64.0,68,5,32.0,58
2024-07-26 07:24:21,51,0,0,9949,6,64.0,36,167,64.0,365,2,64.0,69,5,32.0,59
2024-07-26 07:24:22,53,0,0,9947,6,64.0,36,170,64.0,379,2,64.0,71,5,32.0,61
2024-07-26 07:24:23,55,0,0,9945,6,64.0,36,175,64.0,393,2,64.0,73,5,32.0,63
2024-07-26 07:24:24,57,0,0,9943,6,64.0,36,181,64.0,407,2,64.0,75,5,32.0,65
2024-07-26 07:24:25,59,0,0,9941,6,64.0,36,187,64.0,421,2,64.0,77,5,32.0,67
2024-07-26 07:24:26,61,0,0,9939,6,64.0,36,193,64.0,435,2,64.0,79,5,32.0,69
2024-07-26 07:24:27,63,0,0,9937,6,64.0,36,199,64.0,449,2,64.0,81,5,32.0,71
2024-07-26 07:24:28,65,0,0,9935,6,64.0,36,205,64.0,463,2,64.0,83,5,32.0,73
2024-07-26 07:24:29,67,0,0,9933,6,64.0,36,211,64.0,477,2,64.0,85,5,32.0,75
2024-07-26 07:24:30,69,0,0,9931,6,64.0,36,217,64.0,491,2,64.0,87,5,32.0,77
2024-07-26 07:24:31,71,0,0,9929,6,64.0,36,223,64.0,505,2,64.0,89,5,32.0,79
2024-07-26 07:24:32,73,0,0,9927,6,64.0,36,229,64.0,519,2,64.0,91,5,32.0,81
2024-07-26 07:24:33,75,0,0,9925,6,64.0,36,235,64.0,533,2,64.0,93,5,32.0,83
2024-07-26 07:24:34,77,0,0,9923,6,64.0,36,241,64.0,547,2,64.0,95,5,32.0,85
2024-07-26 07:24:35,79,0,0,9921,6,64.0,36,247,64.0,561,2,64.0,97,5,32.0,87
2024-07-26 07:24:36,81,0,0,9919,6,64.0,36,253,64.0,575,2,64.0,99,5,32.0,89
2024-07-26 07:24:37,83,0,0,9917,6,64.0,36,259,64.0,589,2,64.0,101,5,32.0,91
2024-07-26 07:24:38,85,0,0,9915,6,64.0,36,265,64.0,603,2,64.0,103,5,32.0,93
2024-07-26 07:24:39,87,0,0,9913,6,64.0,36,271,64.0,617,2,64.0,105,5,32.0,95
2024-07-26 07:24:40,89,0,0,9911,6,64.0,36,277,64.0,631,2,64.0,107,5,32.0,97
2024-07-26 07:24:41,91,0,0,9909,6,64.0,36,283,64.0,645,2,64.0,109,5,32.0,99
2024-07-26 07:24:42,93,0,0,9907,6,64.0,36,289,64.0,659,2,64.0,111,5,32.0,101
2024-07-26 07:24:43,95,0,0,9905,6,64.0,36,295,64.0,673,2,64.0,113,5,32.0,103
2024-07-26 07:24:44,97,0,0,9903,6,64.0,36,301,64.0,687,2,64.0,115,5,32.0,105
2024-07-26 07:24:45,99,0,0,9901,6,64.0,36,307,64.0,701,2,64.0,117,5,32.0,107
