,,,,,globalP,globalP,globalP,packetP,packetP,packetP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_ausf,total_allocated_memory_globalP_ausf,chunk_create_count_minus_destroy_count_cm_globalP_ausf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_ausf,total_allocated_memory_packetP_ausf,chunk_create_count_minus_destroy_count_cm_packetP_ausf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_ausf,total_allocated_memory_sessionP_ausf,chunk_create_count_minus_destroy_count_cm_sessionP_ausf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_ausf,total_allocated_memory_transactionP_ausf,chunk_create_count_minus_destroy_count_cm_transactionP_ausf
timestamp,,,,,,,,,,,,,,,,
2024-07-26 07:24:19,50,0,0,9950,3,256.0,24,5,256.0,4,1,256.0,1,1,256.0,4
2024-07-26 07:24:20,50,0,0,9950,3,256.0,24,5,256.0,4,1,256.0,1,1,256.0,4
2024-07-26 07:24:21,51,0,0,9949,3,256.0,24,5,256.0,4,1,256.0,1,1,256.0,4
2024-07-26 07:24:22,53,0,0,9947,3,256.0,24,5,256.0,4,1,256.0,1,1,256.0,4
2024-07-26 07:24:23,55,0,0,9945,3,256.0,24,5,256.0,4,1,256.0,1,1,256.0,4
2024-07-26 07:24:24,57,0,0,9943,3,256.0,24,5,256.0,4,1,256.0,1,1,256.0,4
2024-07-26 07:24:25,59,0,0,9941,3,256.0,24,5,256.0,4,1,256.0,1,1,256.0,4
2024-07-26 07:24:26,61,0,0,9939,3,256.0,24,5,256.0,4,1,256.0,1,1,256.0,4
2024-07-26 07:24:27,63,0,0,9937,3,256.0,24,5,256.0,4,1,256.0,1,1,256.0,4
2024-07-26 07:24:28,65,0,0,9935,3,256.0,24,5,256.0,4,1,256.0,1,1,256.0,4
2024-07-26 07:24:29,67,0,0,9933,3,256.0,24,5,256.0,4,1,256.0,1,1,256.0,4
2024-07-26 07:24:30,69,0,0,9931,3,256.0,24,5,256.0,4,1,256.0,1,1,256.0,4
2024-07-26 07:24:31,71,0,0,9929,3,256.0,24,5,256.0,4,1,256.0,1,1,256.0,4
2024-07-26 07:24:32,73,0,0,9927,3,256.0,24,5,256.0,4,1,256.0,1,1,256.0,4
2024-07-26 07:24:33,75,0,0,9925,3,256.0,24,5,256.0,4,1,256.0,1,1,256.0,4
2024-07-26 07:24:34,77,0,0,9923,3,256.0,24,5,256.0,4,1,256.0,1,1,256.0,4
2024-07-26 07:24:35,79,0,0,9921,3,256.0,24,5,256.0,4,1,256.0,1,1,256.0,4
2024-07-26 07:24:36,81,0,0,9919,3,256.0,24,5,256.0,4,1,256.0,1,1,256.0,4
2024-07-26 07:24:37,83,0,0,9917,3,256.0,24,5,256.0,4,1,256.0,1,1,256.0,4
2024-07-26 07:24:38,85,0,0,9915,3,256.0,24,5,256.0,4,1,256.0,1,1,256.0,4
2024-07-26 07:24:39,87,0,0,9913,3,256.0,24,5,256.0,4,1,256.0,1,1,256.0,4
2024-07-26 07:24:40,89,0,0,9911,3,256.0,24,5,256.0,4,1,256.0,1,1,256.0,4
2024-07-26 07:24:41,91,0,0,9909,3,256.0,24,5,256.0,4,1,256.0,1,1,256.0,4
2024-07-26 07:24:42,93,0,0,9907,3,256.0,24,5,256.0,4,1,256.0,1,1,256.0,4
2024-07-26 07:24:43,95,0,0,9905,3,256.0,24,5,256.0,4,1,256.0,1,1,256.0,4
2024-07-26 07:24:44,97,0,0,9903,3,256.0,24,5,256.0,4,1,256.0,1,1,256.0,4
2024-07-26 07:24:45,99,0,0,9901,3,256.0,24,5,256.0,4,1,256.0,1,1,256.0,4
