,,,,,globalP,globalP,globalP,packetP,packetP,packetP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_smf,total_allocated_memory_globalP_smf,chunk_create_count_minus_destroy_count_cm_globalP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_smf,total_allocated_memory_packetP_smf,chunk_create_count_minus_destroy_count_cm_packetP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_smf,total_allocated_memory_sessionP_smf,chunk_create_count_minus_destroy_count_cm_sessionP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_smf,total_allocated_memory_transactionP_smf,chunk_create_count_minus_destroy_count_cm_transactionP_smf
timestamp,,,,,,,,,,,,,,,,
2024-07-30 09:36:03,0,0,0,10000,8,511.998046875,39,165,512.0,1008,5,511.998046875,47,1,512.0,5
2024-07-30 09:36:04,0,0,0,10000,8,511.998046875,39,165,512.0,1008,5,511.998046875,47,1,512.0,5
2024-07-30 09:36:05,1,0,0,9999,8,511.998046875,39,165,512.0,1011,8,511.998046875,74,3,512.0,5
2024-07-30 09:36:06,2,0,0,9998,8,511.998046875,39,168,512.0,1014,8,511.998046875,101,3,512.0,5
2024-07-30 09:36:07,3,0,0,9997,8,511.998046875,39,171,512.0,1017,8,511.998046875,128,3,512.0,5
2024-07-30 09:36:08,4,0,0,9996,8,511.998046875,39,175,512.0,1020,8,511.998046875,155,3,512.0,5
2024-07-30 09:36:09,5,0,0,9995,8,511.998046875,39,178,512.0,1023,8,511.998046875,182,3,512.0,5
2024-07-30 09:36:10,6,0,0,9994,8,511.998046875,39,182,512.0,1026,8,511.998046875,209,3,512.0,5
2024-07-30 09:36:11,7,0,0,9993,8,511.998046875,39,185,512.0,1029,8,511.998046875,236,3,512.0,5
2024-07-30 09:36:12,8,0,0,9992,8,511.998046875,39,189,512.0,1032,8,511.998046875,263,3,512.0,5
2024-07-30 09:36:13,9,0,0,9991,8,511.998046875,39,192,512.0,1035,8,511.998046875,290,3,512.0,5
2024-07-30 09:36:14,10,0,0,9990,8,511.998046875,39,196,512.0,1038,8,511.998046875,317,3,512.0,5
2024-07-30 09:36:15,11,0,0,9989,8,511.998046875,39,199,512.0,1041,8,511.998046875,344,3,512.0,5
2024-07-30 09:36:16,12,0,0,9988,8,511.998046875,39,202,512.0,1044,8,511.998046875,371,3,512.0,5
2024-07-30 09:36:17,13,0,0,9987,8,511.998046875,39,206,512.0,1047,8,511.998046875,398,3,512.0,5
2024-07-30 09:36:18,14,0,0,9986,8,511.998046875,39,209,512.0,1050,8,511.998046875,425,3,512.0,5
2024-07-30 09:36:19,15,0,0,9985,8,511.998046875,39,213,512.0,1053,8,511.998046875,452,3,512.0,5
2024-07-30 09:36:20,16,0,0,9984,8,511.998046875,39,216,512.0,1056,8,511.998046875,479,3,512.0,5
2024-07-30 09:36:21,17,0,0,9983,8,511.998046875,39,220,512.0,1059,8,511.998046875,506,3,512.0,5
2024-07-30 09:36:22,18,0,0,9982,8,511.998046875,39,223,512.0,1062,8,511.998046875,533,3,512.0,5
2024-07-30 09:36:23,19,0,0,9981,8,511.998046875,39,227,512.0,1065,8,511.998046875,560,3,512.0,5
2024-07-30 09:36:24,20,0,0,9980,8,511.998046875,39,230,512.0,1068,8,511.998046875,587,3,512.0,5
2024-07-30 09:36:25,21,0,0,9979,8,511.998046875,39,234,512.0,1071,8,511.998046875,614,3,512.0,5
2024-07-30 09:36:26,22,0,0,9978,8,511.998046875,39,237,512.0,1074,8,511.998046875,641,3,512.0,5
2024-07-30 09:36:27,23,0,0,9977,8,511.998046875,39,241,512.0,1077,8,511.998046875,668,3,512.0,5
2024-07-30 09:36:28,24,0,0,9976,8,511.998046875,39,244,512.0,1080,8,511.998046875,695,3,512.0,5
2024-07-30 09:36:29,25,0,0,9975,8,511.998046875,39,248,512.0,1083,8,511.998046875,722,3,512.0,5
2024-07-30 09:36:30,26,0,0,9974,8,511.998046875,39,251,512.0,1086,8,511.998046875,749,3,512.0,5
2024-07-30 09:36:31,27,0,0,9973,8,511.998046875,39,255,512.0,1089,8,511.998046875,776,3,512.0,5
2024-07-30 09:36:32,28,0,0,9972,8,511.998046875,39,258,512.0,1092,8,511.998046875,803,3,512.0,5
2024-07-30 09:36:33,29,0,0,9971,8,511.998046875,39,262,512.0,1095,8,511.998046875,830,3,512.0,5
2024-07-30 09:36:34,30,0,0,9970,8,511.998046875,39,265,512.0,1098,8,511.998046875,857,3,512.0,5
2024-07-30 09:36:35,31,0,0,9969,8,511.998046875,39,269,512.0,1101,8,511.998046875,884,3,512.0,5
2024-07-30 09:36:36,32,0,0,9968,8,511.998046875,39,272,512.0,1104,8,511.998046875,911,3,512.0,5
2024-07-30 09:36:37,33,0,0,9967,8,511.998046875,39,275,512.0,1107,8,511.998046875,938,3,512.0,5
2024-07-30 09:36:38,34,0,0,9966,8,511.998046875,39,279,512.0,1110,8,511.998046875,965,3,512.0,5
2024-07-30 09:36:39,35,0,0,9965,8,511.998046875,39,282,512.0,1113,8,511.998046875,992,3,512.0,5
2024-07-30 09:36:40,36,0,0,9964,8,511.998046875,39,286,512.0,1116,8,511.998046875,1019,3,512.0,5
2024-07-30 09:36:41,37,0,0,9963,8,511.998046875,39,289,512.0,1119,8,511.998046875,1046,3,512.0,5
2024-07-30 09:36:42,38,0,0,9962,8,511.998046875,39,293,512.0,1122,8,511.998046875,1073,3,512.0,5
2024-07-30 09:36:43,39,0,0,9961,8,511.998046875,39,296,512.0,1125,8,511.998046875,1100,3,512.0,5
2024-07-30 09:36:44,40,0,0,9960,8,511.998046875,39,300,512.0,1128,8,511.998046875,1127,3,512.0,5
2024-07-30 09:36:45,41,0,0,9959,8,511.998046875,39,303,512.0,1131,8,511.998046875,1154,3,512.0,5
2024-07-30 09:36:46,42,0,0,9958,8,511.998046875,39,307,512.0,1134,8,511.998046875,1181,3,512.0,5
2024-07-30 09:36:47,43,0,0,9957,8,511.998046875,39,310,512.0,1137,8,511.998046875,1208,3,512.0,5
2024-07-30 09:36:48,44,0,0,9956,8,511.998046875,39,314,512.0,1140,8,511.998046875,1235,3,512.0,5
2024-07-30 09:36:49,45,0,0,9955,8,511.998046875,39,317,512.0,1143,8,511.998046875,1262,3,512.0,5
2024-07-30 09:36:50,46,0,0,9954,8,511.998046875,39,321,512.0,1146,8,511.998046875,1289,3,512.0,5
2024-07-30 09:36:51,47,0,0,9953,8,511.998046875,39,324,512.0,1149,8,511.998046875,1316,3,512.0,5
2024-07-30 09:36:52,48,0,0,9952,8,511.998046875,39,328,512.0,1152,8,511.998046875,1343,3,512.0,5
2024-07-30 09:36:53,49,0,0,9951,8,511.998046875,39,331,512.0,1155,8,511.998046875,1370,3,512.0,5
2024-07-30 09:36:54,50,0,0,9950,8,511.998046875,39,335,512.0,1158,8,511.998046875,1397,3,512.0,5
2024-07-30 09:36:55,51,0,0,9949,8,511.998046875,39,338,512.0,1161,8,511.998046875,1424,3,512.0,5
2024-07-30 09:36:56,52,0,0,9948,8,511.998046875,39,342,512.0,1164,8,511.998046875,1451,3,512.0,5
2024-07-30 09:36:57,53,0,0,9947,8,511.998046875,39,345,512.0,1167,8,511.998046875,1478,3,512.0,5
