,,,,,globalP,globalP,globalP,packetP,packetP,packetP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_smf,total_allocated_memory_globalP_smf,chunk_create_count_minus_destroy_count_cm_globalP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_smf,total_allocated_memory_packetP_smf,chunk_create_count_minus_destroy_count_cm_packetP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_smf,total_allocated_memory_sessionP_smf,chunk_create_count_minus_destroy_count_cm_sessionP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_smf,total_allocated_memory_transactionP_smf,chunk_create_count_minus_destroy_count_cm_transactionP_smf
timestamp,,,,,,,,,,,,,,,,
2024-07-26 07:24:19,50,0,0,9950,8,511.998046875,39,184,512.0,158,8,511.998046875,1397,3,512.0,5
2024-07-26 07:24:20,50,0,0,9950,8,511.998046875,39,184,512.0,158,8,511.998046875,1397,3,512.0,5
2024-07-26 07:24:21,51,0,0,9949,8,511.998046875,39,184,512.0,164,8,511.998046875,1451,3,512.0,5
2024-07-26 07:24:22,53,0,0,9947,8,511.998046875,39,191,512.0,170,8,511.998046875,1505,3,512.0,5
2024-07-26 07:24:23,55,0,0,9945,8,511.998046875,39,198,512.0,176,8,511.998046875,1559,3,512.0,5
2024-07-26 07:24:24,57,0,0,9943,8,511.998046875,39,205,512.0,182,8,511.998046875,1613,3,512.0,5
2024-07-26 07:24:25,59,0,0,9941,8,511.998046875,39,212,512.0,188,8,511.998046875,1667,3,512.0,5
2024-07-26 07:24:26,61,0,0,9939,8,511.998046875,39,219,512.0,194,8,511.998046875,1721,3,512.0,5
2024-07-26 07:24:27,63,0,0,9937,8,511.998046875,39,226,512.0,200,8,511.998046875,1775,3,512.0,5
2024-07-26 07:24:28,65,0,0,9935,8,511.998046875,39,233,512.0,206,8,511.998046875,1829,3,512.0,5
2024-07-26 07:24:29,67,0,0,9933,8,511.998046875,39,240,512.0,212,8,511.998046875,1883,3,512.0,5
2024-07-26 07:24:30,69,0,0,9931,8,511.998046875,39,247,512.0,218,8,511.998046875,1937,3,512.0,5
2024-07-26 07:24:31,71,0,0,9929,8,511.998046875,39,254,512.0,224,8,511.998046875,1991,3,512.0,5
2024-07-26 07:24:32,73,0,0,9927,8,511.998046875,39,261,512.0,230,8,511.998046875,2045,3,512.0,5
2024-07-26 07:24:33,75,0,0,9925,8,511.998046875,39,268,512.0,236,8,511.998046875,2099,3,512.0,5
2024-07-26 07:24:34,77,0,0,9923,8,511.998046875,39,275,512.0,242,8,511.998046875,2153,3,512.0,5
2024-07-26 07:24:35,79,0,0,9921,8,511.998046875,39,282,512.0,248,8,511.998046875,2207,3,512.0,5
2024-07-26 07:24:36,81,0,0,9919,8,511.998046875,39,289,512.0,254,8,511.998046875,2261,3,512.0,5
2024-07-26 07:24:37,83,0,0,9917,8,511.998046875,39,296,512.0,260,8,511.998046875,2315,3,512.0,5
2024-07-26 07:24:38,85,0,0,9915,8,511.998046875,39,303,512.0,266,8,511.998046875,2369,3,512.0,5
2024-07-26 07:24:39,87,0,0,9913,8,511.998046875,39,310,512.0,272,8,511.998046875,2423,3,512.0,5
2024-07-26 07:24:40,89,0,0,9911,8,511.998046875,39,317,512.0,278,8,511.998046875,2477,3,512.0,5
2024-07-26 07:24:41,91,0,0,9909,8,511.998046875,39,324,512.0,284,8,511.998046875,2531,3,512.0,5
2024-07-26 07:24:42,93,0,0,9907,8,511.998046875,39,331,512.0,290,8,511.998046875,2585,3,512.0,5
2024-07-26 07:24:43,95,0,0,9905,8,511.998046875,39,338,512.0,296,8,511.998046875,2639,3,512.0,5
2024-07-26 07:24:44,97,0,0,9903,8,511.998046875,39,345,512.0,302,8,511.998046875,2693,3,512.0,5
2024-07-26 07:24:45,99,0,0,9901,8,511.998046875,39,352,512.0,308,8,511.998046875,2747,3,512.0,5
