,,,,,globalP,globalP,globalP,packetP,packetP,packetP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_udm,total_allocated_memory_globalP_udm,chunk_create_count_minus_destroy_count_cm_globalP_udm,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_udm,total_allocated_memory_packetP_udm,chunk_create_count_minus_destroy_count_cm_packetP_udm,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_udm,total_allocated_memory_sessionP_udm,chunk_create_count_minus_destroy_count_cm_sessionP_udm,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_udm,total_allocated_memory_transactionP_udm,chunk_create_count_minus_destroy_count_cm_transactionP_udm
timestamp,,,,,,,,,,,,,,,,
2024-07-26 07:28:34,0,0,0,10000,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:28:35,0,0,0,10000,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:28:36,1,0,0,9999,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:28:37,2,0,0,9998,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:28:38,3,0,0,9997,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:28:39,4,0,0,9996,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:28:40,5,0,0,9995,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:28:41,6,0,0,9994,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:28:42,7,0,0,9993,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:28:43,8,0,0,9992,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:28:44,9,0,0,9991,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:28:45,10,0,0,9990,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:28:46,11,0,0,9989,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:28:47,12,0,0,9988,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:28:48,13,0,0,9987,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:28:49,14,0,0,9986,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:28:50,15,0,0,9985,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:28:51,16,0,0,9984,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:28:52,17,0,0,9983,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:28:53,18,0,0,9982,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:28:54,19,0,0,9981,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:28:55,20,0,0,9980,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:28:56,21,0,0,9979,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:28:57,22,0,0,9978,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:28:58,23,0,0,9977,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:28:59,24,0,0,9976,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:29:00,25,0,0,9975,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:29:01,26,0,0,9974,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:29:02,27,0,0,9973,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:29:03,28,0,0,9972,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:29:04,29,0,0,9971,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:29:05,30,0,0,9970,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:29:06,31,0,0,9969,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:29:07,32,0,0,9968,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:29:08,33,0,0,9967,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:29:09,34,0,0,9966,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:29:10,35,0,0,9965,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:29:11,36,0,0,9964,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:29:12,37,0,0,9963,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:29:13,38,0,0,9962,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:29:14,39,0,0,9961,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
2024-07-26 07:29:15,40,0,0,9960,6,128.0,34,10,128.0,7,1,128.0,0,2,128.0,4
