,,,,,globalP,globalP,globalP,packetP,packetP,packetP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_upf1,total_allocated_memory_globalP_upf1,chunk_create_count_minus_destroy_count_cm_globalP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_upf1,total_allocated_memory_packetP_upf1,chunk_create_count_minus_destroy_count_cm_packetP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_upf1,total_allocated_memory_sessionP_upf1,chunk_create_count_minus_destroy_count_cm_sessionP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_upf1,total_allocated_memory_transactionP_upf1,chunk_create_count_minus_destroy_count_cm_transactionP_upf1
timestamp,,,,,,,,,,,,,,,,
2024-07-30 09:36:03,0,0,0,10000,19,256.0,43,16,256.0,11,7,256.0,14,1,256.0,4
2024-07-30 09:36:04,0,0,0,10000,19,256.0,43,16,256.0,11,7,256.0,14,1,256.0,4
2024-07-30 09:36:05,1,0,0,9999,19,256.0,43,16,256.0,13,12,256.0,35,2,256.0,4
2024-07-30 09:36:06,2,0,0,9998,19,256.0,43,20,256.0,15,12,256.0,56,2,256.0,4
2024-07-30 09:36:07,3,0,0,9997,19,256.0,43,24,256.0,17,12,256.0,77,2,256.0,4
2024-07-30 09:36:08,4,0,0,9996,19,256.0,43,28,256.0,19,12,256.0,98,2,256.0,4
2024-07-30 09:36:09,5,0,0,9995,19,256.0,43,32,256.0,21,12,256.0,119,2,256.0,4
2024-07-30 09:36:10,6,0,0,9994,19,256.0,43,36,256.0,23,12,256.0,140,2,256.0,4
2024-07-30 09:36:11,7,0,0,9993,19,256.0,43,40,256.0,25,12,256.0,161,2,256.0,4
2024-07-30 09:36:12,8,0,0,9992,19,256.0,43,44,256.0,27,12,256.0,182,2,256.0,4
2024-07-30 09:36:13,9,0,0,9991,19,256.0,43,48,256.0,29,12,256.0,203,2,256.0,4
2024-07-30 09:36:14,10,0,0,9990,19,256.0,43,52,256.0,31,12,256.0,224,2,256.0,4
2024-07-30 09:36:15,11,0,0,9989,19,256.0,43,56,256.0,33,12,256.0,245,2,256.0,4
2024-07-30 09:36:16,12,0,0,9988,19,256.0,43,60,256.0,35,12,256.0,266,2,256.0,4
2024-07-30 09:36:17,13,0,0,9987,19,256.0,43,64,256.0,37,12,256.0,287,2,256.0,4
2024-07-30 09:36:18,14,0,0,9986,19,256.0,43,68,256.0,39,12,256.0,308,2,256.0,4
2024-07-30 09:36:19,15,0,0,9985,19,256.0,43,72,256.0,41,12,256.0,329,2,256.0,4
2024-07-30 09:36:20,16,0,0,9984,19,256.0,43,76,256.0,43,12,256.0,350,2,256.0,4
2024-07-30 09:36:21,17,0,0,9983,19,256.0,43,80,256.0,45,12,256.0,371,2,256.0,4
2024-07-30 09:36:22,18,0,0,9982,19,256.0,43,84,256.0,47,12,256.0,392,2,256.0,4
2024-07-30 09:36:23,19,0,0,9981,19,256.0,43,88,256.0,49,12,256.0,413,2,256.0,4
2024-07-30 09:36:24,20,0,0,9980,19,256.0,43,92,256.0,51,12,256.0,434,2,256.0,4
2024-07-30 09:36:25,21,0,0,9979,19,256.0,43,96,256.0,53,12,256.0,455,2,256.0,4
2024-07-30 09:36:26,22,0,0,9978,19,256.0,43,100,256.0,55,12,256.0,476,2,256.0,4
2024-07-30 09:36:27,23,0,0,9977,19,256.0,43,104,256.0,57,12,256.0,497,2,256.0,4
2024-07-30 09:36:28,24,0,0,9976,19,256.0,43,108,256.0,59,12,256.0,518,2,256.0,4
2024-07-30 09:36:29,25,0,0,9975,19,256.0,43,112,256.0,61,12,256.0,539,2,256.0,4
2024-07-30 09:36:30,26,0,0,9974,19,256.0,43,116,256.0,63,12,256.0,560,2,256.0,4
2024-07-30 09:36:31,27,0,0,9973,19,256.0,43,120,256.0,65,12,256.0,581,2,256.0,4
2024-07-30 09:36:32,28,0,0,9972,19,256.0,43,124,256.0,67,12,256.0,602,2,256.0,4
2024-07-30 09:36:33,29,0,0,9971,19,256.0,43,128,256.0,69,12,256.0,623,2,256.0,4
2024-07-30 09:36:34,30,0,0,9970,19,256.0,43,132,256.0,71,12,256.0,644,2,256.0,4
2024-07-30 09:36:35,31,0,0,9969,19,256.0,43,136,256.0,73,12,256.0,665,2,256.0,4
2024-07-30 09:36:36,32,0,0,9968,19,256.0,43,140,256.0,75,12,256.0,686,2,256.0,4
2024-07-30 09:36:37,33,0,0,9967,19,256.0,43,144,256.0,77,12,256.0,707,2,256.0,4
2024-07-30 09:36:38,34,0,0,9966,19,256.0,43,148,256.0,79,12,256.0,728,2,256.0,4
2024-07-30 09:36:39,35,0,0,9965,19,256.0,43,152,256.0,81,12,256.0,749,2,256.0,4
2024-07-30 09:36:40,36,0,0,9964,19,256.0,43,156,256.0,83,12,256.0,770,2,256.0,4
2024-07-30 09:36:41,37,0,0,9963,19,256.0,43,160,256.0,85,12,256.0,791,2,256.0,4
2024-07-30 09:36:42,38,0,0,9962,19,256.0,43,164,256.0,87,12,256.0,812,2,256.0,4
2024-07-30 09:36:43,39,0,0,9961,19,256.0,43,168,256.0,89,12,256.0,833,2,256.0,4
2024-07-30 09:36:44,40,0,0,9960,19,256.0,43,172,256.0,91,12,256.0,854,2,256.0,4
2024-07-30 09:36:45,41,0,0,9959,19,256.0,43,176,256.0,93,12,256.0,875,2,256.0,4
2024-07-30 09:36:46,42,0,0,9958,19,256.0,43,180,256.0,95,12,256.0,896,2,256.0,4
2024-07-30 09:36:47,43,0,0,9957,19,256.0,43,184,256.0,97,12,256.0,917,2,256.0,4
2024-07-30 09:36:48,44,0,0,9956,19,256.0,43,188,256.0,99,12,256.0,938,2,256.0,4
2024-07-30 09:36:49,45,0,0,9955,19,256.0,43,192,256.0,101,12,256.0,959,2,256.0,4
2024-07-30 09:36:50,46,0,0,9954,19,256.0,43,196,256.0,103,12,256.0,980,2,256.0,4
2024-07-30 09:36:51,47,0,0,9953,19,256.0,43,200,256.0,105,12,256.0,1001,2,256.0,4
2024-07-30 09:36:52,48,0,0,9952,19,256.0,43,204,256.0,107,12,256.0,1022,2,256.0,4
2024-07-30 09:36:53,49,0,0,9951,19,256.0,43,208,256.0,109,12,256.0,1043,2,256.0,4
2024-07-30 09:36:54,50,0,0,9950,19,256.0,43,212,256.0,111,12,256.0,1064,2,256.0,4
2024-07-30 09:36:55,51,0,0,9949,19,256.0,43,216,256.0,113,12,256.0,1085,2,256.0,4
2024-07-30 09:36:56,52,0,0,9948,19,256.0,43,220,256.0,115,12,256.0,1106,2,256.0,4
2024-07-30 09:36:57,53,0,0,9947,19,256.0,43,224,256.0,117,12,256.0,1127,2,256.0,4
2024-07-30 09:36:58,54,0,0,9946,19,256.0,43,228,256.0,119,12,256.0,1148,2,256.0,4
2024-07-30 09:36:59,55,0,0,9945,19,256.0,43,232,256.0,121,12,256.0,1169,2,256.0,4
2024-07-30 09:37:00,56,0,0,9944,19,256.0,43,236,256.0,123,12,256.0,1190,2,256.0,4
2024-07-30 09:37:01,57,0,0,9943,19,256.0,43,240,256.0,125,12,256.0,1211,2,256.0,4
2024-07-30 09:37:02,58,0,0,9942,19,256.0,43,244,256.0,127,12,256.0,1232,2,256.0,4
2024-07-30 09:37:03,59,0,0,9941,19,256.0,43,248,256.0,129,12,256.0,1253,2,256.0,4
2024-07-30 09:37:04,60,0,0,9940,19,256.0,43,252,256.0,131,12,256.0,1274,2,256.0,4
2024-07-30 09:37:05,61,0,0,9939,19,256.0,43,256,256.0,133,12,256.0,1295,2,256.0,4
2024-07-30 09:37:06,62,0,0,9938,19,256.0,43,260,256.0,135,12,256.0,1316,2,256.0,4
2024-07-30 09:37:07,63,0,0,9937,19,256.0,43,264,256.0,137,12,256.0,1337,2,256.0,4
2024-07-30 09:37:08,64,0,0,9936,19,256.0,43,268,256.0,139,12,256.0,1358,2,256.0,4
2024-07-30 09:37:09,65,0,0,9935,19,256.0,43,272,256.0,141,12,256.0,1379,2,256.0,4
2024-07-30 09:37:10,66,0,0,9934,19,256.0,43,276,256.0,143,12,256.0,1400,2,256.0,4
2024-07-30 09:37:11,67,0,0,9933,19,256.0,43,280,256.0,145,12,256.0,1421,2,256.0,4
2024-07-30 09:37:12,68,0,0,9932,19,256.0,43,284,256.0,147,12,256.0,1442,2,256.0,4
2024-07-30 09:37:13,69,0,0,9931,19,256.0,43,288,256.0,149,12,256.0,1463,2,256.0,4
