,,,,,globalP,globalP,globalP,packetP,packetP,packetP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_upf1,total_allocated_memory_globalP_upf1,chunk_create_count_minus_destroy_count_cm_globalP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_upf1,total_allocated_memory_packetP_upf1,chunk_create_count_minus_destroy_count_cm_packetP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_upf1,total_allocated_memory_sessionP_upf1,chunk_create_count_minus_destroy_count_cm_sessionP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_upf1,total_allocated_memory_transactionP_upf1,chunk_create_count_minus_destroy_count_cm_transactionP_upf1
timestamp,,,,,,,,,,,,,,,,
2024-07-26 07:24:19,50,0,0,9950,19,256.0,43,216,256.0,111,12,256.0,1064,2,256.0,4
2024-07-26 07:24:20,50,0,0,9950,19,256.0,43,216,256.0,111,12,256.0,1064,2,256.0,4
2024-07-26 07:24:21,51,0,0,9949,19,256.0,43,216,256.0,115,12,256.0,1106,2,256.0,4
2024-07-26 07:24:22,53,0,0,9947,19,256.0,43,224,256.0,119,12,256.0,1148,2,256.0,4
2024-07-26 07:24:23,55,0,0,9945,19,256.0,43,232,256.0,123,12,256.0,1190,2,256.0,4
2024-07-26 07:24:24,57,0,0,9943,19,256.0,43,240,256.0,127,12,256.0,1232,2,256.0,4
2024-07-26 07:24:25,59,0,0,9941,19,256.0,43,248,256.0,131,12,256.0,1274,2,256.0,4
2024-07-26 07:24:26,61,0,0,9939,19,256.0,43,256,256.0,135,12,256.0,1316,2,256.0,4
2024-07-26 07:24:27,63,0,0,9937,19,256.0,43,264,256.0,139,12,256.0,1358,2,256.0,4
2024-07-26 07:24:28,65,0,0,9935,19,256.0,43,272,256.0,143,12,256.0,1400,2,256.0,4
2024-07-26 07:24:29,67,0,0,9933,19,256.0,43,280,256.0,147,12,256.0,1442,2,256.0,4
2024-07-26 07:24:30,69,0,0,9931,19,256.0,43,288,256.0,151,12,256.0,1484,2,256.0,4
2024-07-26 07:24:31,71,0,0,9929,19,256.0,43,296,256.0,155,12,256.0,1526,2,256.0,4
2024-07-26 07:24:32,73,0,0,9927,19,256.0,43,304,256.0,159,12,256.0,1568,2,256.0,4
2024-07-26 07:24:33,75,0,0,9925,19,256.0,43,312,256.0,163,12,256.0,1610,2,256.0,4
2024-07-26 07:24:34,77,0,0,9923,19,256.0,43,320,256.0,167,12,256.0,1652,2,256.0,4
2024-07-26 07:24:35,79,0,0,9921,19,256.0,43,328,256.0,171,12,256.0,1694,2,256.0,4
2024-07-26 07:24:36,81,0,0,9919,19,256.0,43,336,256.0,175,12,256.0,1736,2,256.0,4
2024-07-26 07:24:37,83,0,0,9917,19,256.0,43,344,256.0,179,12,256.0,1778,2,256.0,4
2024-07-26 07:24:38,85,0,0,9915,19,256.0,43,352,256.0,183,12,256.0,1820,2,256.0,4
2024-07-26 07:24:39,87,0,0,9913,19,256.0,43,360,256.0,187,12,256.0,1862,2,256.0,4
2024-07-26 07:24:40,89,0,0,9911,19,256.0,43,368,256.0,191,12,256.0,1904,2,256.0,4
2024-07-26 07:24:41,91,0,0,9909,19,256.0,43,376,256.0,195,12,256.0,1946,2,256.0,4
2024-07-26 07:24:42,93,0,0,9907,19,256.0,43,384,256.0,199,12,256.0,1988,2,256.0,4
2024-07-26 07:24:43,95,0,0,9905,19,256.0,43,392,256.0,203,12,256.0,2030,2,256.0,4
2024-07-26 07:24:44,97,0,0,9903,19,256.0,43,400,256.0,207,12,256.0,2072,2,256.0,4
2024-07-26 07:24:45,99,0,0,9901,19,256.0,43,408,256.0,211,12,256.0,2114,2,256.0,4
