,,globalP,globalP,globalP,globalP,packetP,packetP,packetP,packetP,sessionP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_amf,phoenix_memory_pool_create_count_cm_globalP_amf,phoenix_memory_pool_destroy_count_cm_globalP_amf,total_allocated_memory_globalP_amf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_amf,phoenix_memory_pool_create_count_cm_packetP_amf,phoenix_memory_pool_destroy_count_cm_packetP_amf,total_allocated_memory_packetP_amf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_amf,phoenix_memory_pool_create_count_cm_sessionP_amf,phoenix_memory_pool_destroy_count_cm_sessionP_amf,total_allocated_memory_sessionP_amf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_amf,phoenix_memory_pool_create_count_cm_transactionP_amf,phoenix_memory_pool_destroy_count_cm_transactionP_amf,total_allocated_memory_transactionP_amf
timestamp,,,,,,,,,,,,,,,,,
2024-08-02 07:48:53,0,6,36,0,32.0,9,349,345,64.0,2,20,2,64.0,2,62,54,64.0
2024-08-02 07:48:54,1,6,36,0,32.0,9,380,369,64.0,2,22,3,64.0,3,96,87,64.0
2024-08-02 07:48:55,2,6,36,0,32.0,10,412,394,64.0,2,24,4,64.0,3,130,120,64.0
2024-08-02 07:48:56,3,6,36,0,32.0,12,446,421,64.0,2,26,5,64.0,3,164,153,64.0
2024-08-02 07:48:57,4,6,36,0,32.0,13,481,449,64.0,2,28,6,64.0,3,198,186,64.0
2024-08-02 07:48:58,5,6,36,0,32.0,15,518,479,64.0,2,30,7,64.0,3,232,219,64.0
2024-08-02 07:48:59,6,6,36,0,32.0,16,556,510,64.0,2,32,8,64.0,3,266,252,64.0
2024-08-02 07:49:00,7,6,36,0,32.0,18,596,543,64.0,2,34,9,64.0,3,300,285,64.0
2024-08-02 07:49:01,8,6,36,0,32.0,19,637,577,64.0,2,36,10,64.0,3,334,318,64.0
2024-08-02 07:49:02,9,6,36,0,32.0,21,680,613,64.0,2,38,11,64.0,3,368,351,64.0
2024-08-02 07:49:03,10,6,36,0,32.0,22,724,650,64.0,2,40,12,64.0,3,402,384,64.0
2024-08-02 07:49:04,11,6,36,0,32.0,24,770,689,64.0,2,42,13,64.0,3,436,417,64.0
2024-08-02 07:49:05,12,6,36,0,32.0,25,817,729,64.0,2,44,14,64.0,3,470,450,64.0
2024-08-02 07:49:06,13,6,36,0,32.0,27,866,771,64.0,2,46,15,64.0,3,504,483,64.0
2024-08-02 07:49:07,14,6,36,0,32.0,28,916,814,64.0,2,48,16,64.0,3,538,516,64.0
2024-08-02 07:49:08,15,6,36,0,32.0,30,968,859,64.0,2,50,17,64.0,3,572,549,64.0
2024-08-02 07:49:09,16,6,36,0,32.0,31,1021,905,64.0,2,52,18,64.0,3,606,582,64.0
2024-08-02 07:49:10,17,6,36,0,32.0,33,1076,953,64.0,2,54,19,64.0,3,640,615,64.0
