,,globalP,globalP,globalP,globalP,packetP,packetP,packetP,packetP,sessionP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_amf,phoenix_memory_pool_create_count_cm_globalP_amf,phoenix_memory_pool_destroy_count_cm_globalP_amf,total_allocated_memory_globalP_amf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_amf,phoenix_memory_pool_create_count_cm_packetP_amf,phoenix_memory_pool_destroy_count_cm_packetP_amf,total_allocated_memory_packetP_amf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_amf,phoenix_memory_pool_create_count_cm_sessionP_amf,phoenix_memory_pool_destroy_count_cm_sessionP_amf,total_allocated_memory_sessionP_amf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_amf,phoenix_memory_pool_create_count_cm_transactionP_amf,phoenix_memory_pool_destroy_count_cm_transactionP_amf,total_allocated_memory_transactionP_amf
timestamp,,,,,,,,,,,,,,,,,
2024-07-31 05:31:19,300,6,36,0,64.0,912,60649186,60647078,64.0,2,621,303,64.0,5,79671,79363,32.0
2024-07-31 05:31:20,300,6,36,0,64.0,912,60650098,60647990,64.0,2,621,303,64.0,5,79672,79364,32.0
2024-07-31 05:31:21,300,6,36,0,64.0,912,60651010,60648902,64.0,2,621,303,64.0,5,79673,79365,32.0
2024-07-31 05:31:22,300,6,36,0,64.0,912,60651922,60649814,64.0,2,621,303,64.0,5,79674,79366,32.0
2024-07-31 05:31:23,300,6,36,0,64.0,912,60652834,60650726,64.0,2,621,303,64.0,5,79675,79367,32.0
2024-07-31 05:31:24,300,6,36,0,64.0,912,60653746,60651638,64.0,2,621,303,64.0,5,79676,79368,32.0
2024-07-31 05:31:25,300,6,36,0,64.0,912,60654658,60652550,64.0,2,621,303,64.0,5,79677,79369,32.0
2024-07-31 05:31:26,300,6,36,0,64.0,912,60655570,60653462,64.0,2,621,303,64.0,5,79678,79370,32.0
2024-07-31 05:31:27,300,6,36,0,64.0,912,60656482,60654374,64.0,2,621,303,64.0,5,79679,79371,32.0
2024-07-31 05:31:28,300,6,36,0,64.0,912,60657394,60655286,64.0,2,621,303,64.0,5,79680,79372,32.0
2024-07-31 05:31:29,300,6,36,0,64.0,912,60658306,60656198,64.0,2,621,303,64.0,5,79681,79373,32.0
2024-07-31 05:31:30,300,6,36,0,64.0,912,60659218,60657110,64.0,2,621,303,64.0,5,79682,79374,32.0
2024-07-31 05:31:31,300,6,36,0,64.0,912,60660130,60658022,64.0,2,621,303,64.0,5,79683,79375,32.0
2024-07-31 05:31:32,300,6,36,0,64.0,912,60661042,60658934,64.0,2,621,303,64.0,5,79684,79376,32.0
2024-07-31 05:31:33,300,6,36,0,64.0,912,60661954,60659846,64.0,2,621,303,64.0,5,79685,79377,32.0
2024-07-31 05:31:34,300,6,36,0,64.0,912,60662866,60660758,64.0,2,621,303,64.0,5,79686,79378,32.0
2024-07-31 05:31:35,300,6,36,0,64.0,912,60663778,60661670,64.0,2,621,303,64.0,5,79687,79379,32.0
2024-07-31 05:31:36,300,6,36,0,64.0,912,60664690,60662582,64.0,2,621,303,64.0,5,79688,79380,32.0
2024-07-31 05:31:37,300,6,36,0,64.0,912,60665602,60663494,64.0,2,621,303,64.0,5,79689,79381,32.0
2024-07-31 05:31:38,300,6,36,0,64.0,912,60666514,60664406,64.0,2,621,303,64.0,5,79690,79382,32.0
2024-07-31 05:31:39,300,6,36,0,64.0,912,60667426,60665318,64.0,2,621,303,64.0,5,79691,79383,32.0
2024-07-31 05:31:40,300,6,36,0,64.0,912,60668338,60666230,64.0,2,621,303,64.0,5,79692,79384,32.0
2024-07-31 05:31:41,300,6,36,0,64.0,912,60669250,60667142,64.0,2,621,303,64.0,5,79693,79385,32.0
2024-07-31 05:31:42,300,6,36,0,64.0,912,60670162,60668054,64.0,2,621,303,64.0,5,79694,79386,32.0
2024-07-31 05:31:43,300,6,36,0,64.0,912,60671074,60668966,64.0,2,621,303,64.0,5,79695,79387,32.0
2024-07-31 05:31:44,300,6,36,0,64.0,912,60671986,60669878,64.0,2,621,303,64.0,5,79696,79388,32.0
2024-07-31 05:31:45,300,6,36,0,64.0,912,60672898,60670790,64.0,2,621,303,64.0,5,79697,79389,32.0
