,,,,
,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered
timestamp,,,,
2024-07-25 08:43:55,0,0,100,9900
2024-07-25 08:43:56,0,0,100,9900
2024-07-25 08:43:57,0,0,100,9900
2024-07-25 08:43:58,0,0,100,9900
2024-07-25 08:43:59,0,0,100,9900
2024-07-25 08:44:00,0,0,100,9900
2024-07-25 08:44:01,0,0,100,9900
2024-07-25 08:44:02,0,0,100,9900
2024-07-25 08:44:03,0,0,100,9900
2024-07-25 08:44:04,0,0,100,9900
2024-07-25 08:44:05,0,0,100,9900
2024-07-25 08:44:06,0,0,100,9900
2024-07-25 08:44:07,0,0,100,9900
