,,globalP,globalP,globalP,globalP,packetP,packetP,packetP,packetP,sessionP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_ausf,phoenix_memory_pool_create_count_cm_globalP_ausf,phoenix_memory_pool_destroy_count_cm_globalP_ausf,total_allocated_memory_globalP_ausf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_ausf,phoenix_memory_pool_create_count_cm_packetP_ausf,phoenix_memory_pool_destroy_count_cm_packetP_ausf,total_allocated_memory_packetP_ausf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_ausf,phoenix_memory_pool_create_count_cm_sessionP_ausf,phoenix_memory_pool_destroy_count_cm_sessionP_ausf,total_allocated_memory_sessionP_ausf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_ausf,phoenix_memory_pool_create_count_cm_transactionP_ausf,phoenix_memory_pool_destroy_count_cm_transactionP_ausf,total_allocated_memory_transactionP_ausf
timestamp,,,,,,,,,,,,,,,,,
2024-08-02 08:00:23,0,3,24,0,8.0,5,81,77,8.0,1,2,1,8.0,1,27,23,16.0
2024-08-02 08:00:24,1,3,24,0,8.0,5,86,82,8.0,1,3,2,8.0,1,34,30,16.0
2024-08-02 08:00:25,2,3,24,0,8.0,5,91,87,8.0,1,4,3,8.0,1,41,37,16.0
2024-08-02 08:00:26,3,3,24,0,8.0,5,96,92,8.0,1,5,4,8.0,1,48,44,16.0
2024-08-02 08:00:27,4,3,24,0,8.0,5,101,97,8.0,1,6,5,8.0,1,55,51,16.0
2024-08-02 08:00:28,5,3,24,0,8.0,5,106,102,8.0,1,7,6,8.0,1,62,58,16.0
2024-08-02 08:00:29,6,3,24,0,8.0,5,111,107,8.0,1,8,7,8.0,1,69,65,16.0
2024-08-02 08:00:30,7,3,24,0,8.0,5,116,112,8.0,1,9,8,8.0,1,76,72,16.0
2024-08-02 08:00:31,8,3,24,0,8.0,5,121,117,8.0,1,10,9,8.0,1,83,79,16.0
2024-08-02 08:00:32,9,3,24,0,8.0,5,126,122,8.0,1,11,10,8.0,1,90,86,16.0
2024-08-02 08:00:33,10,3,24,0,8.0,5,131,127,8.0,1,12,11,8.0,1,97,93,16.0
2024-08-02 08:00:34,11,3,24,0,8.0,5,136,132,8.0,1,13,12,8.0,1,104,100,16.0
2024-08-02 08:00:35,12,3,24,0,8.0,5,141,137,8.0,1,14,13,8.0,1,111,107,16.0
2024-08-02 08:00:36,13,3,24,0,8.0,5,146,142,8.0,1,15,14,8.0,1,118,114,16.0
2024-08-02 08:00:37,14,3,24,0,8.0,5,151,147,8.0,1,16,15,8.0,1,125,121,16.0
2024-08-02 08:00:38,15,3,24,0,8.0,5,156,152,8.0,1,17,16,8.0,1,132,128,16.0
2024-08-02 08:00:39,16,3,24,0,8.0,5,161,157,8.0,1,18,17,8.0,1,139,135,16.0
2024-08-02 08:00:40,17,3,24,0,8.0,5,166,162,8.0,1,19,18,8.0,1,146,142,16.0
2024-08-02 08:00:41,18,3,24,0,8.0,5,171,167,8.0,1,20,19,8.0,1,153,149,16.0
2024-08-02 08:00:42,19,3,24,0,8.0,5,176,172,8.0,1,21,20,8.0,1,160,156,16.0
2024-08-02 08:00:43,20,3,24,0,8.0,5,181,177,8.0,1,22,21,8.0,1,167,163,16.0
2024-08-02 08:00:44,21,3,24,0,8.0,5,186,182,8.0,1,23,22,8.0,1,174,170,16.0
2024-08-02 08:00:45,22,3,24,0,8.0,5,191,187,8.0,1,24,23,8.0,1,181,177,16.0
2024-08-02 08:00:46,23,3,24,0,8.0,5,196,192,8.0,1,25,24,8.0,1,188,184,16.0
2024-08-02 08:00:47,24,3,24,0,8.0,5,201,197,8.0,1,26,25,8.0,1,195,191,16.0
2024-08-02 08:00:48,25,3,24,0,8.0,5,206,202,8.0,1,27,26,8.0,1,202,198,16.0
2024-08-02 08:00:49,26,3,24,0,8.0,5,211,207,8.0,1,28,27,8.0,1,209,205,16.0
2024-08-02 08:00:50,27,3,24,0,8.0,5,216,212,8.0,1,29,28,8.0,1,216,212,16.0
2024-08-02 08:00:51,28,3,24,0,8.0,5,221,217,8.0,1,30,29,8.0,1,223,219,16.0
2024-08-02 08:00:52,29,3,24,0,8.0,5,226,222,8.0,1,31,30,8.0,1,230,226,16.0
2024-08-02 08:00:53,30,3,24,0,8.0,5,231,227,8.0,1,32,31,8.0,1,237,233,16.0
2024-08-02 08:00:54,31,3,24,0,8.0,5,236,232,8.0,1,33,32,8.0,1,244,240,16.0
2024-08-02 08:00:55,32,3,24,0,8.0,5,241,237,8.0,1,34,33,8.0,1,251,247,16.0
2024-08-02 08:00:56,33,3,24,0,8.0,5,246,242,8.0,1,35,34,8.0,1,258,254,16.0
2024-08-02 08:00:57,34,3,24,0,8.0,5,251,247,8.0,1,36,35,8.0,1,265,261,16.0
2024-08-02 08:00:58,35,3,24,0,8.0,5,256,252,8.0,1,37,36,8.0,1,272,268,16.0
2024-08-02 08:00:59,36,3,24,0,8.0,5,261,257,8.0,1,38,37,8.0,1,279,275,16.0
2024-08-02 08:01:00,37,3,24,0,8.0,5,266,262,8.0,1,39,38,8.0,1,286,282,16.0
2024-08-02 08:01:01,38,3,24,0,8.0,5,271,267,8.0,1,40,39,8.0,1,293,289,16.0
2024-08-02 08:01:02,39,3,24,0,8.0,5,276,272,8.0,1,41,40,8.0,1,300,296,16.0
2024-08-02 08:01:03,40,3,24,0,8.0,5,281,277,8.0,1,42,41,8.0,1,307,303,16.0
2024-08-02 08:01:04,41,3,24,0,8.0,5,286,282,8.0,1,43,42,8.0,1,314,310,16.0
2024-08-02 08:01:05,42,3,24,0,8.0,5,291,287,8.0,1,44,43,8.0,1,321,317,16.0
2024-08-02 08:01:06,43,3,24,0,8.0,5,296,292,8.0,1,45,44,8.0,1,328,324,16.0
2024-08-02 08:01:07,44,3,24,0,8.0,5,301,297,8.0,1,46,45,8.0,1,335,331,16.0
