,,globalP,globalP,globalP,globalP,packetP,packetP,packetP,packetP,sessionP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_ausf,phoenix_memory_pool_create_count_cm_globalP_ausf,phoenix_memory_pool_destroy_count_cm_globalP_ausf,total_allocated_memory_globalP_ausf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_ausf,phoenix_memory_pool_create_count_cm_packetP_ausf,phoenix_memory_pool_destroy_count_cm_packetP_ausf,total_allocated_memory_packetP_ausf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_ausf,phoenix_memory_pool_create_count_cm_sessionP_ausf,phoenix_memory_pool_destroy_count_cm_sessionP_ausf,total_allocated_memory_sessionP_ausf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_ausf,phoenix_memory_pool_create_count_cm_transactionP_ausf,phoenix_memory_pool_destroy_count_cm_transactionP_ausf,total_allocated_memory_transactionP_ausf
timestamp,,,,,,,,,,,,,,,,,
2024-08-01 12:13:27,0,3,24,0,8.0,5,91,87,8.0,1,2,1,8.0,1,29,25,16.0
2024-08-01 12:13:28,0,3,24,0,8.0,5,96,92,8.0,1,2,1,8.0,1,30,26,16.0
2024-08-01 12:13:29,1,3,24,0,8.0,5,101,97,8.0,1,3,2,8.0,1,37,33,16.0
2024-08-01 12:13:30,2,3,24,0,8.0,5,106,102,8.0,1,4,3,8.0,1,44,40,16.0
2024-08-01 12:13:31,3,3,24,0,8.0,5,111,107,8.0,1,5,4,8.0,1,51,47,16.0
2024-08-01 12:13:32,4,3,24,0,8.0,5,116,112,8.0,1,6,5,8.0,1,58,54,16.0
2024-08-01 12:13:33,5,3,24,0,8.0,5,121,117,8.0,1,7,6,8.0,1,65,61,16.0
2024-08-01 12:13:34,6,3,24,0,8.0,5,126,122,8.0,1,8,7,8.0,1,72,68,16.0
2024-08-01 12:13:35,7,3,24,0,8.0,5,131,127,8.0,1,9,8,8.0,1,79,75,16.0
2024-08-01 12:13:36,8,3,24,0,8.0,5,136,132,8.0,1,10,9,8.0,1,86,82,16.0
2024-08-01 12:13:37,9,3,24,0,8.0,5,141,137,8.0,1,11,10,8.0,1,93,89,16.0
2024-08-01 12:13:38,10,3,24,0,8.0,5,146,142,8.0,1,12,11,8.0,1,100,96,16.0
2024-08-01 12:13:39,11,3,24,0,8.0,5,151,147,8.0,1,13,12,8.0,1,107,103,16.0
2024-08-01 12:13:40,12,3,24,0,8.0,5,156,152,8.0,1,14,13,8.0,1,114,110,16.0
2024-08-01 12:13:41,13,3,24,0,8.0,5,161,157,8.0,1,15,14,8.0,1,121,117,16.0
2024-08-01 12:13:42,14,3,24,0,8.0,5,166,162,8.0,1,16,15,8.0,1,128,124,16.0
2024-08-01 12:13:43,15,3,24,0,8.0,5,171,167,8.0,1,17,16,8.0,1,135,131,16.0
2024-08-01 12:13:44,16,3,24,0,8.0,5,176,172,8.0,1,18,17,8.0,1,142,138,16.0
2024-08-01 12:13:45,17,3,24,0,8.0,5,181,177,8.0,1,19,18,8.0,1,149,145,16.0
2024-08-01 12:13:46,18,3,24,0,8.0,5,186,182,8.0,1,20,19,8.0,1,156,152,16.0
2024-08-01 12:13:47,19,3,24,0,8.0,5,191,187,8.0,1,21,20,8.0,1,163,159,16.0
2024-08-01 12:13:48,20,3,24,0,8.0,5,196,192,8.0,1,22,21,8.0,1,170,166,16.0
2024-08-01 12:13:49,21,3,24,0,8.0,5,201,197,8.0,1,23,22,8.0,1,177,173,16.0
2024-08-01 12:13:50,22,3,24,0,8.0,5,206,202,8.0,1,24,23,8.0,1,184,180,16.0
2024-08-01 12:13:51,23,3,24,0,8.0,5,211,207,8.0,1,25,24,8.0,1,191,187,16.0
2024-08-01 12:13:52,24,3,24,0,8.0,5,216,212,8.0,1,26,25,8.0,1,198,194,16.0
2024-08-01 12:13:53,25,3,24,0,8.0,5,221,217,8.0,1,27,26,8.0,1,205,201,16.0
2024-08-01 12:13:54,26,3,24,0,8.0,5,226,222,8.0,1,28,27,8.0,1,212,208,16.0
2024-08-01 12:13:55,27,3,24,0,8.0,5,231,227,8.0,1,29,28,8.0,1,219,215,16.0
2024-08-01 12:13:56,28,3,24,0,8.0,5,236,232,8.0,1,30,29,8.0,1,226,222,16.0
2024-08-01 12:13:57,29,3,24,0,8.0,5,241,237,8.0,1,31,30,8.0,1,233,229,16.0
2024-08-01 12:13:58,30,3,24,0,8.0,5,246,242,8.0,1,32,31,8.0,1,240,236,16.0
2024-08-01 12:13:59,31,3,24,0,8.0,5,251,247,8.0,1,33,32,8.0,1,247,243,16.0
2024-08-01 12:14:00,32,3,24,0,8.0,5,256,252,8.0,1,34,33,8.0,1,254,250,16.0
2024-08-01 12:14:01,33,3,24,0,8.0,5,261,257,8.0,1,35,34,8.0,1,261,257,16.0
2024-08-01 12:14:02,34,3,24,0,8.0,5,266,262,8.0,1,36,35,8.0,1,268,264,16.0
2024-08-01 12:14:03,35,3,24,0,8.0,5,271,267,8.0,1,37,36,8.0,1,275,271,16.0
2024-08-01 12:14:04,36,3,24,0,8.0,5,276,272,8.0,1,38,37,8.0,1,282,278,16.0
2024-08-01 12:14:05,37,3,24,0,8.0,5,281,277,8.0,1,39,38,8.0,1,289,285,16.0
2024-08-01 12:14:06,38,3,24,0,8.0,5,286,282,8.0,1,40,39,8.0,1,296,292,16.0
2024-08-01 12:14:07,39,3,24,0,8.0,5,291,287,8.0,1,41,40,8.0,1,303,299,16.0
2024-08-01 12:14:08,40,3,24,0,8.0,5,296,292,8.0,1,42,41,8.0,1,310,306,16.0
2024-08-01 12:14:09,41,3,24,0,8.0,5,301,297,8.0,1,43,42,8.0,1,317,313,16.0
2024-08-01 12:14:10,42,3,24,0,8.0,5,306,302,8.0,1,44,43,8.0,1,324,320,16.0
2024-08-01 12:14:11,43,3,24,0,8.0,5,311,307,8.0,1,45,44,8.0,1,331,327,16.0
