,,globalP,globalP,globalP,globalP,packetP,packetP,packetP,packetP,sessionP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_smf,phoenix_memory_pool_create_count_cm_globalP_smf,phoenix_memory_pool_destroy_count_cm_globalP_smf,total_allocated_memory_globalP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_smf,phoenix_memory_pool_create_count_cm_packetP_smf,phoenix_memory_pool_destroy_count_cm_packetP_smf,total_allocated_memory_packetP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_smf,phoenix_memory_pool_create_count_cm_sessionP_smf,phoenix_memory_pool_destroy_count_cm_sessionP_smf,total_allocated_memory_sessionP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_smf,phoenix_memory_pool_create_count_cm_transactionP_smf,phoenix_memory_pool_destroy_count_cm_transactionP_smf,total_allocated_memory_transactionP_smf
timestamp,,,,,,,,,,,,,,,,,
2024-08-01 12:05:39,0,8,39,0,15.9990234375,26,764,656,64.0,5,52,5,127.998046875,2,139,134,64.0
2024-08-01 12:05:40,0,8,39,0,15.9990234375,26,794,686,64.0,5,52,5,127.998046875,2,142,137,64.0
2024-08-01 12:05:41,1,8,39,0,15.9990234375,26,836,726,64.0,8,86,12,127.998046875,3,153,148,64.0
2024-08-01 12:05:42,2,8,39,0,15.9990234375,29,883,771,64.0,8,120,19,127.998046875,3,164,159,64.0
2024-08-01 12:05:43,3,8,39,0,15.9990234375,33,932,818,64.0,8,154,26,127.998046875,3,175,170,64.0
2024-08-01 12:05:44,4,8,39,0,15.9990234375,36,986,870,64.0,8,188,33,127.998046875,3,186,181,64.0
2024-08-01 12:05:45,5,8,39,0,15.9990234375,39,1041,923,64.0,8,222,40,127.998046875,3,197,192,64.0
2024-08-01 12:05:46,6,8,39,0,15.9990234375,43,1102,982,64.0,8,256,47,127.998046875,3,208,203,64.0
2024-08-01 12:05:47,7,8,39,0,15.9990234375,46,1164,1042,64.0,8,290,54,127.998046875,3,219,214,64.0
2024-08-01 12:05:48,8,8,39,0,15.9990234375,49,1231,1107,64.0,8,324,61,127.998046875,3,230,225,64.0
2024-08-01 12:05:49,9,8,39,0,15.9990234375,52,1299,1173,64.0,8,358,68,127.998046875,3,241,236,64.0
2024-08-01 12:05:50,10,8,39,0,15.9990234375,56,1373,1245,64.0,8,392,75,127.998046875,3,252,247,64.0
2024-08-01 12:05:51,11,8,39,0,15.9990234375,59,1448,1318,64.0,8,426,82,127.998046875,3,263,258,64.0
2024-08-01 12:05:52,12,8,39,0,15.9990234375,62,1528,1396,64.0,8,460,89,127.998046875,3,274,269,64.0
2024-08-01 12:05:53,13,8,39,0,15.9990234375,65,1609,1475,64.0,8,494,96,127.998046875,3,285,280,64.0
2024-08-01 12:05:54,14,8,39,0,15.9990234375,69,1696,1560,64.0,8,528,103,127.998046875,3,296,291,64.0
2024-08-01 12:05:55,15,8,39,0,15.9990234375,72,1784,1646,64.0,8,562,110,127.998046875,3,307,302,64.0
2024-08-01 12:05:56,16,8,39,0,15.9990234375,75,1877,1737,64.0,8,596,117,127.998046875,3,318,313,64.0
2024-08-01 12:05:57,17,8,39,0,15.9990234375,79,1972,1830,64.0,8,630,124,127.998046875,3,329,324,64.0
2024-08-01 12:05:58,18,8,39,0,15.9990234375,82,2072,1928,64.0,8,664,131,127.998046875,3,340,335,64.0
2024-08-01 12:05:59,19,8,39,0,15.9990234375,85,2173,2027,64.0,8,698,138,127.998046875,3,351,346,64.0
2024-08-01 12:06:00,20,8,39,0,15.9990234375,89,2280,2132,64.0,8,732,145,127.998046875,3,362,357,64.0
2024-08-01 12:06:01,21,8,39,0,15.9990234375,92,2388,2238,64.0,8,766,152,127.998046875,3,373,368,64.0
2024-08-01 12:06:02,22,8,39,0,15.9990234375,95,2501,2349,64.0,8,800,159,127.998046875,3,384,379,64.0
2024-08-01 12:06:03,23,8,39,0,15.9990234375,99,2616,2462,64.0,8,834,166,127.998046875,3,395,390,64.0
2024-08-01 12:06:04,24,8,39,0,15.9990234375,102,2736,2580,64.0,8,868,173,127.998046875,3,406,401,64.0
2024-08-01 12:06:05,25,8,39,0,15.9990234375,105,2857,2699,64.0,8,902,180,127.998046875,3,417,412,64.0
2024-08-01 12:06:06,26,8,39,0,15.9990234375,109,2984,2824,64.0,8,936,187,127.998046875,3,428,423,64.0
2024-08-01 12:06:07,27,8,39,0,15.9990234375,112,3112,2950,64.0,8,970,194,127.998046875,3,439,434,64.0
2024-08-01 12:06:08,28,8,39,0,15.9990234375,115,3245,3081,64.0,8,1004,201,127.998046875,3,450,445,64.0
2024-08-01 12:06:09,29,8,39,0,15.9990234375,119,3380,3214,64.0,8,1038,208,127.998046875,3,461,456,64.0
2024-08-01 12:06:10,30,8,39,0,15.9990234375,122,3520,3352,64.0,8,1072,215,127.998046875,3,472,467,64.0
2024-08-01 12:06:11,31,8,39,0,15.9990234375,125,3661,3491,64.0,8,1106,222,127.998046875,3,483,478,64.0
2024-08-01 12:06:12,32,8,39,0,15.9990234375,129,3808,3636,64.0,8,1140,229,127.998046875,3,494,489,64.0
2024-08-01 12:06:13,33,8,39,0,15.9990234375,132,3956,3782,64.0,8,1174,236,127.998046875,3,505,500,64.0
2024-08-01 12:06:14,34,8,39,0,15.9990234375,135,4109,3933,64.0,8,1208,243,127.998046875,3,516,511,64.0
2024-08-01 12:06:15,35,8,39,0,15.9990234375,139,4264,4086,64.0,8,1242,250,127.998046875,3,527,522,64.0
2024-08-01 12:06:16,36,8,39,0,15.9990234375,142,4424,4244,64.0,8,1276,257,127.998046875,3,538,533,64.0
2024-08-01 12:06:17,37,8,39,0,15.9990234375,145,4585,4403,64.0,8,1310,264,127.998046875,3,549,544,64.0
2024-08-01 12:06:18,38,8,39,0,15.9990234375,149,4752,4568,64.0,8,1344,271,127.998046875,3,560,555,64.0
2024-08-01 12:06:19,39,8,39,0,15.9990234375,152,4920,4734,64.0,8,1378,278,127.998046875,3,571,566,64.0
2024-08-01 12:06:20,40,8,39,0,15.9990234375,155,5093,4905,64.0,8,1412,285,127.998046875,3,582,577,64.0
2024-08-01 12:06:21,41,8,39,0,15.9990234375,159,5268,5078,64.0,8,1446,292,127.998046875,3,593,588,64.0
2024-08-01 12:06:22,42,8,39,0,15.9990234375,162,5448,5256,64.0,8,1480,299,127.998046875,3,604,599,64.0
2024-08-01 12:06:23,43,8,39,0,15.9990234375,165,5629,5435,64.0,8,1514,306,127.998046875,3,615,610,64.0
2024-08-01 12:06:24,44,8,39,0,15.9990234375,169,5816,5620,64.0,8,1548,313,127.998046875,3,626,621,64.0
2024-08-01 12:06:25,45,8,39,0,15.9990234375,172,6004,5806,64.0,8,1582,320,127.998046875,3,637,632,64.0
2024-08-01 12:06:26,46,8,39,0,15.9990234375,175,6197,5997,64.0,8,1616,327,127.998046875,3,648,643,64.0
2024-08-01 12:06:27,47,8,39,0,15.9990234375,179,6392,6190,64.0,8,1650,334,127.998046875,3,659,654,64.0
2024-08-01 12:06:28,48,8,39,0,15.9990234375,182,6592,6388,64.0,8,1684,341,127.998046875,3,670,665,64.0
2024-08-01 12:06:29,49,8,39,0,15.9990234375,185,6793,6587,64.0,8,1718,348,127.998046875,3,681,676,64.0
2024-08-01 12:06:30,50,8,39,0,15.9990234375,189,7000,6792,64.0,8,1752,355,127.998046875,3,692,687,64.0
2024-08-01 12:06:31,51,8,39,0,15.9990234375,192,7208,6998,64.0,8,1786,362,127.998046875,3,703,698,64.0
2024-08-01 12:06:32,52,8,39,0,15.9990234375,195,7421,7209,64.0,8,1820,369,127.998046875,3,714,709,64.0
2024-08-01 12:06:33,53,8,39,0,15.9990234375,199,7636,7422,64.0,8,1854,376,127.998046875,3,725,720,64.0
2024-08-01 12:06:34,54,8,39,0,15.9990234375,202,7856,7640,64.0,8,1888,383,127.998046875,3,736,731,64.0
2024-08-01 12:06:35,55,8,39,0,15.9990234375,205,8077,7859,64.0,8,1922,390,127.998046875,3,747,742,64.0
2024-08-01 12:06:36,56,8,39,0,15.9990234375,209,8304,8084,64.0,8,1956,397,127.998046875,3,758,753,64.0
2024-08-01 12:06:37,57,8,39,0,15.9990234375,212,8532,8310,64.0,8,1990,404,127.998046875,3,769,764,64.0
2024-08-01 12:06:38,58,8,39,0,15.9990234375,215,8765,8541,64.0,8,2024,411,127.998046875,3,780,775,64.0
2024-08-01 12:06:39,59,8,39,0,15.9990234375,218,8999,8773,64.0,8,2058,418,127.998046875,3,791,786,64.0
2024-08-01 12:06:40,60,8,39,0,15.9990234375,222,9239,9011,64.0,8,2092,425,127.998046875,3,802,797,64.0
2024-08-01 12:06:41,61,8,39,0,15.9990234375,225,9480,9250,64.0,8,2126,432,127.998046875,3,813,808,64.0
2024-08-01 12:06:42,62,8,39,0,15.9990234375,228,9726,9494,64.0,8,2160,439,127.998046875,3,824,819,64.0
2024-08-01 12:06:43,63,8,39,0,15.9990234375,232,9974,9740,64.0,8,2194,446,127.998046875,3,835,830,64.0
2024-08-01 12:06:44,64,8,39,0,15.9990234375,235,10227,9991,64.0,8,2228,453,127.998046875,3,846,841,64.0
2024-08-01 12:06:45,65,8,39,0,15.9990234375,238,10481,10243,64.0,8,2262,460,127.998046875,3,857,852,64.0
2024-08-01 12:06:46,66,8,39,0,15.9990234375,242,10741,10501,64.0,8,2296,467,127.998046875,3,868,863,64.0
2024-08-01 12:06:47,67,8,39,0,15.9990234375,245,11002,10760,64.0,8,2330,474,127.998046875,3,879,874,64.0
2024-08-01 12:06:48,68,8,39,0,15.9990234375,248,11268,11024,64.0,8,2364,481,127.998046875,3,890,885,64.0
2024-08-01 12:06:49,69,8,39,0,15.9990234375,252,11536,11290,64.0,8,2398,488,127.998046875,3,901,896,64.0
2024-08-01 12:06:50,70,8,39,0,15.9990234375,255,11809,11561,64.0,8,2432,495,127.998046875,3,912,907,64.0
2024-08-01 12:06:51,71,8,39,0,15.9990234375,258,12083,11833,64.0,8,2466,502,127.998046875,3,923,918,64.0
2024-08-01 12:06:52,72,8,39,0,15.9990234375,262,12363,12111,64.0,8,2500,509,127.998046875,3,934,929,64.0
2024-08-01 12:06:53,73,8,39,0,15.9990234375,265,12644,12390,64.0,8,2534,516,127.998046875,3,945,940,64.0
2024-08-01 12:06:54,74,8,39,0,15.9990234375,268,12930,12674,64.0,8,2568,523,127.998046875,3,956,951,64.0
2024-08-01 12:06:55,75,8,39,0,15.9990234375,272,13218,12960,64.0,8,2602,530,127.998046875,3,967,962,64.0
2024-08-01 12:06:56,76,8,39,0,15.9990234375,275,13511,13251,64.0,8,2636,537,127.998046875,3,978,973,64.0
2024-08-01 12:06:57,77,8,39,0,15.9990234375,278,13805,13543,64.0,8,2670,544,127.998046875,3,989,984,64.0
2024-08-01 12:06:58,78,8,39,0,15.9990234375,282,14105,13841,64.0,8,2704,551,127.998046875,3,1000,995,64.0
2024-08-01 12:06:59,79,8,39,0,15.9990234375,285,14406,14140,64.0,8,2738,558,127.998046875,3,1011,1006,64.0
2024-08-01 12:07:00,80,8,39,0,15.9990234375,288,14712,14444,64.0,8,2772,565,127.998046875,3,1022,1017,64.0
2024-08-01 12:07:01,81,8,39,0,15.9990234375,292,15020,14750,64.0,8,2806,572,127.998046875,3,1033,1028,64.0
2024-08-01 12:07:02,82,8,39,0,15.9990234375,295,15333,15061,64.0,8,2840,579,127.998046875,3,1044,1039,64.0
2024-08-01 12:07:03,83,8,39,0,15.9990234375,298,15647,15373,64.0,8,2874,586,127.998046875,3,1055,1050,64.0
2024-08-01 12:07:04,84,8,39,0,15.9990234375,302,15967,15691,64.0,8,2908,593,127.998046875,3,1066,1061,64.0
2024-08-01 12:07:05,85,8,39,0,15.9990234375,305,16288,16010,64.0,8,2942,600,127.998046875,3,1077,1072,64.0
2024-08-01 12:07:06,86,8,39,0,15.9990234375,308,16614,16334,64.0,8,2976,607,127.998046875,3,1088,1083,64.0
2024-08-01 12:07:07,87,8,39,0,15.9990234375,312,16942,16660,64.0,8,3010,614,127.998046875,3,1099,1094,64.0
2024-08-01 12:07:08,88,8,39,0,15.9990234375,315,17275,16991,64.0,8,3044,621,127.998046875,3,1110,1105,64.0
2024-08-01 12:07:09,89,8,39,0,15.9990234375,318,17609,17323,64.0,8,3078,628,127.998046875,3,1121,1116,64.0
2024-08-01 12:07:10,90,8,39,0,15.9990234375,322,17949,17661,64.0,8,3112,635,127.998046875,3,1132,1127,64.0
2024-08-01 12:07:11,91,8,39,0,15.9990234375,325,18290,18000,64.0,8,3146,642,127.998046875,3,1143,1138,64.0
2024-08-01 12:07:12,92,8,39,0,15.9990234375,328,18636,18344,64.0,8,3180,649,127.998046875,3,1154,1149,64.0
2024-08-01 12:07:13,93,8,39,0,15.9990234375,332,18984,18690,64.0,8,3214,656,127.998046875,3,1165,1160,64.0
2024-08-01 12:07:14,94,8,39,0,15.9990234375,335,19337,19041,64.0,8,3248,663,127.998046875,3,1176,1171,64.0
2024-08-01 12:07:15,95,8,39,0,15.9990234375,338,19691,19393,64.0,8,3282,670,127.998046875,3,1187,1182,64.0
2024-08-01 12:07:16,96,8,39,0,15.9990234375,342,20051,19751,64.0,8,3316,677,127.998046875,3,1198,1193,64.0
2024-08-01 12:07:17,97,8,39,0,15.9990234375,345,20412,20110,64.0,8,3350,684,127.998046875,3,1209,1204,64.0
2024-08-01 12:07:18,98,8,39,0,15.9990234375,348,20778,20474,64.0,8,3384,691,127.998046875,3,1220,1215,64.0
2024-08-01 12:07:19,99,8,39,0,15.9990234375,352,21146,20840,64.0,8,3418,698,127.998046875,3,1231,1226,64.0
2024-08-01 12:07:20,100,8,39,0,15.9990234375,355,21519,21211,64.0,8,3452,705,127.998046875,3,1242,1237,64.0
2024-08-01 12:07:21,99,8,39,0,15.9990234375,358,21881,21573,64.0,8,3457,710,127.998046875,3,1248,1243,64.0
