,,globalP,globalP,globalP,globalP,packetP,packetP,packetP,packetP,sessionP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_smf,phoenix_memory_pool_create_count_cm_globalP_smf,phoenix_memory_pool_destroy_count_cm_globalP_smf,total_allocated_memory_globalP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_smf,phoenix_memory_pool_create_count_cm_packetP_smf,phoenix_memory_pool_destroy_count_cm_packetP_smf,total_allocated_memory_packetP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_smf,phoenix_memory_pool_create_count_cm_sessionP_smf,phoenix_memory_pool_destroy_count_cm_sessionP_smf,total_allocated_memory_sessionP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_smf,phoenix_memory_pool_create_count_cm_transactionP_smf,phoenix_memory_pool_destroy_count_cm_transactionP_smf,total_allocated_memory_transactionP_smf
timestamp,,,,,,,,,,,,,,,,,
2024-08-01 08:51:44,0,8,39,0,15.9990234375,11,493,485,64.0,5,52,5,127.998046875,2,291,286,64.0
2024-08-01 08:51:45,0,8,39,0,15.9990234375,11,493,485,64.0,5,52,5,127.998046875,2,291,286,64.0
2024-08-01 08:51:46,1,8,39,0,15.9990234375,11,493,485,64.0,5,52,5,127.998046875,2,291,286,64.0
2024-08-01 08:51:47,1,8,39,0,15.9990234375,11,493,485,64.0,5,52,5,127.998046875,2,291,286,64.0
2024-08-01 08:51:48,1,8,39,0,15.9990234375,11,596,579,64.0,8,154,26,127.998046875,3,346,341,64.0
2024-08-01 08:51:49,1,8,39,0,15.9990234375,11,596,579,64.0,8,154,26,127.998046875,3,346,341,64.0
2024-08-01 08:51:50,1,8,39,0,15.9990234375,11,596,579,64.0,8,154,26,127.998046875,3,346,341,64.0
2024-08-01 08:51:51,1,8,39,0,15.9990234375,11,596,579,64.0,8,154,26,127.998046875,3,346,341,64.0
2024-08-01 08:51:52,1,8,39,0,15.9990234375,11,596,579,64.0,8,154,26,127.998046875,3,346,341,64.0
2024-08-01 08:51:53,1,8,39,0,15.9990234375,11,596,579,64.0,8,154,26,127.998046875,3,346,341,64.0
2024-08-01 08:51:54,1,8,39,0,15.9990234375,11,596,579,64.0,8,154,26,127.998046875,3,346,341,64.0
2024-08-01 08:51:55,1,8,39,0,15.9990234375,11,596,579,64.0,8,154,26,127.998046875,3,346,341,64.0
2024-08-01 08:51:56,1,8,39,0,15.9990234375,11,596,579,64.0,8,154,26,127.998046875,3,346,341,64.0
2024-08-01 08:51:57,1,8,39,0,15.9990234375,11,596,579,64.0,8,154,26,127.998046875,3,346,341,64.0
2024-08-01 08:51:58,1,8,39,0,15.9990234375,11,596,579,64.0,8,154,26,127.998046875,3,346,341,64.0
2024-08-01 08:51:59,1,8,39,0,15.9990234375,11,596,579,64.0,8,154,26,127.998046875,3,346,341,64.0
2024-08-01 08:52:00,1,8,39,0,15.9990234375,11,596,579,64.0,8,154,26,127.998046875,3,346,341,64.0
2024-08-01 08:52:01,16,8,39,0,15.9990234375,11,596,579,64.0,8,154,26,127.998046875,3,346,341,64.0
2024-08-01 08:52:02,16,8,39,0,15.9990234375,11,596,579,64.0,8,154,26,127.998046875,3,346,341,64.0
2024-08-01 08:52:03,16,8,39,0,15.9990234375,21,903,841,64.0,8,664,131,127.998046875,3,497,492,64.0
2024-08-01 08:52:04,16,8,39,0,15.9990234375,21,903,841,64.0,8,664,131,127.998046875,3,497,492,64.0
2024-08-01 08:52:05,16,8,39,0,15.9990234375,21,903,841,64.0,8,664,131,127.998046875,3,497,492,64.0
2024-08-01 08:52:06,16,8,39,0,15.9990234375,21,903,841,64.0,8,664,131,127.998046875,3,497,492,64.0
2024-08-01 08:52:07,16,8,39,0,15.9990234375,21,903,841,64.0,8,664,131,127.998046875,3,497,492,64.0
2024-08-01 08:52:08,16,8,39,0,15.9990234375,21,903,841,64.0,8,664,131,127.998046875,3,497,492,64.0
2024-08-01 08:52:09,16,8,39,0,15.9990234375,21,903,841,64.0,8,664,131,127.998046875,3,497,492,64.0
2024-08-01 08:52:10,16,8,39,0,15.9990234375,21,903,841,64.0,8,664,131,127.998046875,3,497,492,64.0
2024-08-01 08:52:11,16,8,39,0,15.9990234375,21,903,841,64.0,8,664,131,127.998046875,3,497,492,64.0
2024-08-01 08:52:12,16,8,39,0,15.9990234375,21,903,841,64.0,8,664,131,127.998046875,3,497,492,64.0
2024-08-01 08:52:13,16,8,39,0,15.9990234375,21,903,841,64.0,8,664,131,127.998046875,3,497,492,64.0
2024-08-01 08:52:14,16,8,39,0,15.9990234375,21,903,841,64.0,8,664,131,127.998046875,3,497,492,64.0
2024-08-01 08:52:15,16,8,39,0,15.9990234375,21,903,841,64.0,8,664,131,127.998046875,3,497,492,64.0
2024-08-01 08:52:16,31,8,39,0,15.9990234375,21,903,841,64.0,8,664,131,127.998046875,3,497,492,64.0
2024-08-01 08:52:17,31,8,39,0,15.9990234375,21,903,841,64.0,8,664,131,127.998046875,3,497,492,64.0
2024-08-01 08:52:18,31,8,39,0,15.9990234375,73,1260,1153,64.0,8,1174,236,127.998046875,3,648,643,64.0
2024-08-01 08:52:19,31,8,39,0,15.9990234375,73,1260,1153,64.0,8,1174,236,127.998046875,3,648,643,64.0
2024-08-01 08:52:20,31,8,39,0,15.9990234375,73,1260,1153,64.0,8,1174,236,127.998046875,3,648,643,64.0
2024-08-01 08:52:21,31,8,39,0,15.9990234375,73,1260,1153,64.0,8,1174,236,127.998046875,3,648,643,64.0
2024-08-01 08:52:22,31,8,39,0,15.9990234375,73,1260,1153,64.0,8,1174,236,127.998046875,3,648,643,64.0
2024-08-01 08:52:23,31,8,39,0,15.9990234375,73,1260,1153,64.0,8,1174,236,127.998046875,3,648,643,64.0
2024-08-01 08:52:24,31,8,39,0,15.9990234375,73,1260,1153,64.0,8,1174,236,127.998046875,3,648,643,64.0
2024-08-01 08:52:25,31,8,39,0,15.9990234375,73,1260,1153,64.0,8,1174,236,127.998046875,3,648,643,64.0
2024-08-01 08:52:26,31,8,39,0,15.9990234375,73,1260,1153,64.0,8,1174,236,127.998046875,3,648,643,64.0
2024-08-01 08:52:27,31,8,39,0,15.9990234375,73,1260,1153,64.0,8,1174,236,127.998046875,3,648,643,64.0
2024-08-01 08:52:28,31,8,39,0,15.9990234375,73,1260,1153,64.0,8,1174,236,127.998046875,3,648,643,64.0
2024-08-01 08:52:29,31,8,39,0,15.9990234375,73,1260,1153,64.0,8,1174,236,127.998046875,3,648,643,64.0
2024-08-01 08:52:30,31,8,39,0,15.9990234375,73,1260,1153,64.0,8,1174,236,127.998046875,3,648,643,64.0
2024-08-01 08:52:31,46,8,39,0,15.9990234375,73,1260,1153,64.0,8,1174,236,127.998046875,3,648,643,64.0
2024-08-01 08:52:32,46,8,39,0,15.9990234375,73,1260,1153,64.0,8,1174,236,127.998046875,3,648,643,64.0
2024-08-01 08:52:33,46,8,39,0,15.9990234375,125,1671,1519,64.0,8,1684,341,127.998046875,3,799,794,64.0
2024-08-01 08:52:34,46,8,39,0,15.9990234375,125,1671,1519,64.0,8,1684,341,127.998046875,3,799,794,64.0
2024-08-01 08:52:35,46,8,39,0,15.9990234375,125,1671,1519,64.0,8,1684,341,127.998046875,3,799,794,64.0
2024-08-01 08:52:36,46,8,39,0,15.9990234375,125,1671,1519,64.0,8,1684,341,127.998046875,3,799,794,64.0
2024-08-01 08:52:37,46,8,39,0,15.9990234375,125,1671,1519,64.0,8,1684,341,127.998046875,3,799,794,64.0
2024-08-01 08:52:38,46,8,39,0,15.9990234375,125,1671,1519,64.0,8,1684,341,127.998046875,3,799,794,64.0
2024-08-01 08:52:39,46,8,39,0,15.9990234375,125,1671,1519,64.0,8,1684,341,127.998046875,3,799,794,64.0
2024-08-01 08:52:40,46,8,39,0,15.9990234375,125,1671,1519,64.0,8,1684,341,127.998046875,3,799,794,64.0
2024-08-01 08:52:41,46,8,39,0,15.9990234375,125,1671,1519,64.0,8,1684,341,127.998046875,3,799,794,64.0
2024-08-01 08:52:42,46,8,39,0,15.9990234375,125,1671,1519,64.0,8,1684,341,127.998046875,3,799,794,64.0
2024-08-01 08:52:43,46,8,39,0,15.9990234375,125,1671,1519,64.0,8,1684,341,127.998046875,3,799,794,64.0
2024-08-01 08:52:44,46,8,39,0,15.9990234375,125,1671,1519,64.0,8,1684,341,127.998046875,3,799,794,64.0
2024-08-01 08:52:45,46,8,39,0,15.9990234375,125,1671,1519,64.0,8,1684,341,127.998046875,3,799,794,64.0
2024-08-01 08:52:46,61,8,39,0,15.9990234375,125,1671,1519,64.0,8,1684,341,127.998046875,3,799,794,64.0
2024-08-01 08:52:47,61,8,39,0,15.9990234375,125,1671,1519,64.0,8,1684,341,127.998046875,3,799,794,64.0
2024-08-01 08:52:48,61,8,39,0,15.9990234375,177,2132,1935,64.0,8,2194,446,127.998046875,3,950,945,64.0
2024-08-01 08:52:49,61,8,39,0,15.9990234375,177,2132,1935,64.0,8,2194,446,127.998046875,3,950,945,64.0
2024-08-01 08:52:50,61,8,39,0,15.9990234375,177,2132,1935,64.0,8,2194,446,127.998046875,3,950,945,64.0
2024-08-01 08:52:51,61,8,39,0,15.9990234375,177,2132,1935,64.0,8,2194,446,127.998046875,3,950,945,64.0
2024-08-01 08:52:52,61,8,39,0,15.9990234375,177,2132,1935,64.0,8,2194,446,127.998046875,3,950,945,64.0
2024-08-01 08:52:53,61,8,39,0,15.9990234375,177,2132,1935,64.0,8,2194,446,127.998046875,3,950,945,64.0
2024-08-01 08:52:54,61,8,39,0,15.9990234375,177,2132,1935,64.0,8,2194,446,127.998046875,3,950,945,64.0
2024-08-01 08:52:55,61,8,39,0,15.9990234375,177,2132,1935,64.0,8,2194,446,127.998046875,3,950,945,64.0
2024-08-01 08:52:56,61,8,39,0,15.9990234375,177,2132,1935,64.0,8,2194,446,127.998046875,3,950,945,64.0
2024-08-01 08:52:57,61,8,39,0,15.9990234375,177,2132,1935,64.0,8,2194,446,127.998046875,3,950,945,64.0
2024-08-01 08:52:58,61,8,39,0,15.9990234375,177,2132,1935,64.0,8,2194,446,127.998046875,3,950,945,64.0
2024-08-01 08:52:59,61,8,39,0,15.9990234375,177,2132,1935,64.0,8,2194,446,127.998046875,3,950,945,64.0
2024-08-01 08:53:00,61,8,39,0,15.9990234375,177,2132,1935,64.0,8,2194,446,127.998046875,3,950,945,64.0
2024-08-01 08:53:01,75,8,39,0,15.9990234375,177,2132,1935,64.0,8,2194,446,127.998046875,3,950,945,64.0
2024-08-01 08:53:02,75,8,39,0,15.9990234375,177,2132,1935,64.0,8,2194,446,127.998046875,3,950,945,64.0
2024-08-01 08:53:03,75,8,39,0,15.9990234375,230,2637,2396,64.0,8,2698,546,127.998046875,3,1127,1122,64.0
2024-08-01 08:53:04,75,8,39,0,15.9990234375,230,2637,2396,64.0,8,2698,546,127.998046875,3,1127,1122,64.0
2024-08-01 08:53:05,75,8,39,0,15.9990234375,230,2637,2396,64.0,8,2698,546,127.998046875,3,1127,1122,64.0
2024-08-01 08:53:06,75,8,39,0,15.9990234375,230,2637,2396,64.0,8,2698,546,127.998046875,3,1127,1122,64.0
2024-08-01 08:53:07,75,8,39,0,15.9990234375,230,2637,2396,64.0,8,2698,546,127.998046875,3,1127,1122,64.0
2024-08-01 08:53:08,75,8,39,0,15.9990234375,230,2637,2396,64.0,8,2698,546,127.998046875,3,1127,1122,64.0
2024-08-01 08:53:09,75,8,39,0,15.9990234375,230,2637,2396,64.0,8,2698,546,127.998046875,3,1127,1122,64.0
2024-08-01 08:53:10,75,8,39,0,15.9990234375,230,2637,2396,64.0,8,2698,546,127.998046875,3,1127,1122,64.0
2024-08-01 08:53:11,75,8,39,0,15.9990234375,230,2637,2396,64.0,8,2698,546,127.998046875,3,1127,1122,64.0
2024-08-01 08:53:12,75,8,39,0,15.9990234375,230,2637,2396,64.0,8,2698,546,127.998046875,3,1127,1122,64.0
2024-08-01 08:53:13,75,8,39,0,15.9990234375,230,2637,2396,64.0,8,2698,546,127.998046875,3,1127,1122,64.0
2024-08-01 08:53:14,75,8,39,0,15.9990234375,230,2637,2396,64.0,8,2698,546,127.998046875,3,1127,1122,64.0
2024-08-01 08:53:15,75,8,39,0,15.9990234375,230,2637,2396,64.0,8,2698,546,127.998046875,3,1127,1122,64.0
2024-08-01 08:53:16,91,8,39,0,15.9990234375,230,2637,2396,64.0,8,2698,546,127.998046875,3,1127,1122,64.0
2024-08-01 08:53:17,91,8,39,0,15.9990234375,230,2637,2396,64.0,8,2698,546,127.998046875,3,1127,1122,64.0
2024-08-01 08:53:18,91,8,39,0,15.9990234375,291,3223,2936,64.0,8,3214,656,127.998046875,3,1267,1261,64.0
2024-08-01 08:53:19,91,8,39,0,15.9990234375,291,3223,2936,64.0,8,3214,656,127.998046875,3,1267,1261,64.0
2024-08-01 08:53:20,91,8,39,0,15.9990234375,291,3223,2936,64.0,8,3214,656,127.998046875,3,1267,1261,64.0
2024-08-01 08:53:21,91,8,39,0,15.9990234375,291,3223,2936,64.0,8,3214,656,127.998046875,3,1267,1261,64.0
2024-08-01 08:53:22,91,8,39,0,15.9990234375,291,3223,2936,64.0,8,3214,656,127.998046875,3,1267,1261,64.0
2024-08-01 08:53:23,91,8,39,0,15.9990234375,291,3223,2936,64.0,8,3214,656,127.998046875,3,1267,1261,64.0
2024-08-01 08:53:24,91,8,39,0,15.9990234375,291,3223,2936,64.0,8,3214,656,127.998046875,3,1267,1261,64.0
2024-08-01 08:53:25,91,8,39,0,15.9990234375,291,3223,2936,64.0,8,3214,656,127.998046875,3,1267,1261,64.0
2024-08-01 08:53:26,91,8,39,0,15.9990234375,291,3223,2936,64.0,8,3214,656,127.998046875,3,1267,1261,64.0
2024-08-01 08:53:27,91,8,39,0,15.9990234375,291,3223,2936,64.0,8,3214,656,127.998046875,3,1267,1261,64.0
2024-08-01 08:53:28,91,8,39,0,15.9990234375,291,3223,2936,64.0,8,3214,656,127.998046875,3,1267,1261,64.0
2024-08-01 08:53:29,91,8,39,0,15.9990234375,291,3223,2936,64.0,8,3214,656,127.998046875,3,1267,1261,64.0
2024-08-01 08:53:30,91,8,39,0,15.9990234375,291,3223,2936,64.0,8,3214,656,127.998046875,3,1267,1261,64.0
2024-08-01 08:53:31,106,8,39,0,15.9990234375,291,3223,2936,64.0,8,3214,656,127.998046875,3,1267,1261,64.0
2024-08-01 08:53:32,106,8,39,0,15.9990234375,291,3223,2936,64.0,8,3214,656,127.998046875,3,1267,1261,64.0
2024-08-01 08:53:33,106,8,39,0,15.9990234375,340,3849,3517,64.0,8,3724,761,127.998046875,3,1403,1398,64.0
2024-08-01 08:53:34,106,8,39,0,15.9990234375,340,3849,3517,64.0,8,3724,761,127.998046875,3,1403,1398,64.0
2024-08-01 08:53:35,106,8,39,0,15.9990234375,340,3849,3517,64.0,8,3724,761,127.998046875,3,1403,1398,64.0
2024-08-01 08:53:36,106,8,39,0,15.9990234375,340,3849,3517,64.0,8,3724,761,127.998046875,3,1403,1398,64.0
2024-08-01 08:53:37,106,8,39,0,15.9990234375,340,3849,3517,64.0,8,3724,761,127.998046875,3,1403,1398,64.0
2024-08-01 08:53:38,106,8,39,0,15.9990234375,340,3849,3517,64.0,8,3724,761,127.998046875,3,1403,1398,64.0
2024-08-01 08:53:39,106,8,39,0,15.9990234375,340,3849,3517,64.0,8,3724,761,127.998046875,3,1403,1398,64.0
2024-08-01 08:53:40,106,8,39,0,15.9990234375,340,3849,3517,64.0,8,3724,761,127.998046875,3,1403,1398,64.0
2024-08-01 08:53:41,106,8,39,0,15.9990234375,340,3849,3517,64.0,8,3724,761,127.998046875,3,1403,1398,64.0
2024-08-01 08:53:42,106,8,39,0,15.9990234375,340,3849,3517,64.0,8,3724,761,127.998046875,3,1403,1398,64.0
2024-08-01 08:53:43,106,8,39,0,15.9990234375,340,3849,3517,64.0,8,3724,761,127.998046875,3,1403,1398,64.0
2024-08-01 08:53:44,106,8,39,0,15.9990234375,340,3849,3517,64.0,8,3724,761,127.998046875,3,1403,1398,64.0
2024-08-01 08:53:45,106,8,39,0,15.9990234375,340,3849,3517,64.0,8,3724,761,127.998046875,3,1403,1398,64.0
2024-08-01 08:53:46,121,8,39,0,15.9990234375,340,3849,3517,64.0,8,3724,761,127.998046875,3,1403,1398,64.0
2024-08-01 08:53:47,121,8,39,0,15.9990234375,340,3849,3517,64.0,8,3724,761,127.998046875,3,1403,1398,64.0
2024-08-01 08:53:48,121,8,39,0,15.9990234375,386,4519,4142,64.0,8,4234,866,127.998046875,3,1554,1549,64.0
2024-08-01 08:53:49,121,8,39,0,15.9990234375,386,4519,4142,64.0,8,4234,866,127.998046875,3,1554,1549,64.0
2024-08-01 08:53:50,121,8,39,0,15.9990234375,386,4519,4142,64.0,8,4234,866,127.998046875,3,1554,1549,64.0
2024-08-01 08:53:51,121,8,39,0,15.9990234375,386,4519,4142,64.0,8,4234,866,127.998046875,3,1554,1549,64.0
2024-08-01 08:53:52,121,8,39,0,15.9990234375,386,4519,4142,64.0,8,4234,866,127.998046875,3,1554,1549,64.0
2024-08-01 08:53:53,121,8,39,0,15.9990234375,386,4519,4142,64.0,8,4234,866,127.998046875,3,1554,1549,64.0
2024-08-01 08:53:54,121,8,39,0,15.9990234375,386,4519,4142,64.0,8,4234,866,127.998046875,3,1554,1549,64.0
2024-08-01 08:53:55,121,8,39,0,15.9990234375,386,4519,4142,64.0,8,4234,866,127.998046875,3,1554,1549,64.0
2024-08-01 08:53:56,121,8,39,0,15.9990234375,386,4519,4142,64.0,8,4234,866,127.998046875,3,1554,1549,64.0
2024-08-01 08:53:57,121,8,39,0,15.9990234375,386,4519,4142,64.0,8,4234,866,127.998046875,3,1554,1549,64.0
