,,globalP,globalP,globalP,globalP,packetP,packetP,packetP,packetP,sessionP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_udm,phoenix_memory_pool_create_count_cm_globalP_udm,phoenix_memory_pool_destroy_count_cm_globalP_udm,total_allocated_memory_globalP_udm,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_udm,phoenix_memory_pool_create_count_cm_packetP_udm,phoenix_memory_pool_destroy_count_cm_packetP_udm,total_allocated_memory_packetP_udm,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_udm,phoenix_memory_pool_create_count_cm_sessionP_udm,phoenix_memory_pool_destroy_count_cm_sessionP_udm,total_allocated_memory_sessionP_udm,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_udm,phoenix_memory_pool_create_count_cm_transactionP_udm,phoenix_memory_pool_destroy_count_cm_transactionP_udm,total_allocated_memory_transactionP_udm
timestamp,,,,,,,,,,,,,,,,,
2024-08-02 07:48:53,0,6,34,0,16.0,10,395,388,16.0,1,1,1,16.0,2,46,42,16.0
2024-08-02 07:48:54,1,6,34,0,16.0,10,405,398,16.0,1,2,2,16.0,2,54,50,16.0
2024-08-02 07:48:55,2,6,34,0,16.0,10,415,408,16.0,1,3,3,16.0,2,62,58,16.0
2024-08-02 07:48:56,3,6,34,0,16.0,10,425,418,16.0,1,4,4,16.0,2,70,66,16.0
2024-08-02 07:48:57,4,6,34,0,16.0,10,435,428,16.0,1,5,5,16.0,2,78,74,16.0
2024-08-02 07:48:58,5,6,34,0,16.0,10,445,438,16.0,1,6,6,16.0,2,86,82,16.0
2024-08-02 07:48:59,6,6,34,0,16.0,10,455,448,16.0,1,7,7,16.0,2,94,90,16.0
2024-08-02 07:49:00,7,6,34,0,16.0,10,465,458,16.0,1,8,8,16.0,2,102,98,16.0
2024-08-02 07:49:01,8,6,34,0,16.0,10,475,468,16.0,1,9,9,16.0,2,110,106,16.0
2024-08-02 07:49:02,9,6,34,0,16.0,10,485,478,16.0,1,10,10,16.0,2,118,114,16.0
2024-08-02 07:49:03,10,6,34,0,16.0,10,495,488,16.0,1,11,11,16.0,2,126,122,16.0
2024-08-02 07:49:04,11,6,34,0,16.0,10,505,498,16.0,1,12,12,16.0,2,134,130,16.0
2024-08-02 07:49:05,12,6,34,0,16.0,10,515,508,16.0,1,13,13,16.0,2,142,138,16.0
2024-08-02 07:49:06,13,6,34,0,16.0,10,525,518,16.0,1,14,14,16.0,2,150,146,16.0
2024-08-02 07:49:07,14,6,34,0,16.0,10,535,528,16.0,1,15,15,16.0,2,158,154,16.0
2024-08-02 07:49:08,15,6,34,0,16.0,10,545,538,16.0,1,16,16,16.0,2,166,162,16.0
2024-08-02 07:49:09,16,6,34,0,16.0,10,555,548,16.0,1,17,17,16.0,2,174,170,16.0
2024-08-02 07:49:10,17,6,34,0,16.0,10,565,558,16.0,1,18,18,16.0,2,182,178,16.0
2024-08-02 07:49:11,18,6,34,0,16.0,10,575,568,16.0,1,19,19,16.0,2,190,186,16.0
2024-08-02 07:49:12,19,6,34,0,16.0,10,585,578,16.0,1,20,20,16.0,2,198,194,16.0
2024-08-02 07:49:13,20,6,34,0,16.0,10,595,588,16.0,1,21,21,16.0,2,206,202,16.0
2024-08-02 07:49:14,21,6,34,0,16.0,10,605,598,16.0,1,22,22,16.0,2,214,210,16.0
2024-08-02 07:49:15,22,6,34,0,16.0,10,615,608,16.0,1,23,23,16.0,2,222,218,16.0
2024-08-02 07:49:16,23,6,34,0,16.0,10,625,618,16.0,1,24,24,16.0,2,230,226,16.0
2024-08-02 07:49:17,24,6,34,0,16.0,10,635,628,16.0,1,25,25,16.0,2,238,234,16.0
2024-08-02 07:49:18,25,6,34,0,16.0,10,645,638,16.0,1,26,26,16.0,2,246,242,16.0
2024-08-02 07:49:19,26,6,34,0,16.0,10,655,648,16.0,1,27,27,16.0,2,254,250,16.0
2024-08-02 07:49:20,27,6,34,0,16.0,10,665,658,16.0,1,28,28,16.0,2,262,258,16.0
2024-08-02 07:49:21,28,6,34,0,16.0,10,675,668,16.0,1,29,29,16.0,2,270,266,16.0
2024-08-02 07:49:22,29,6,34,0,16.0,10,685,678,16.0,1,30,30,16.0,2,278,274,16.0
2024-08-02 07:49:23,30,6,34,0,16.0,10,695,688,16.0,1,31,31,16.0,2,286,282,16.0
2024-08-02 07:49:24,31,6,34,0,16.0,10,705,698,16.0,1,32,32,16.0,2,294,290,16.0
2024-08-02 07:49:25,32,6,34,0,16.0,10,715,708,16.0,1,33,33,16.0,2,302,298,16.0
2024-08-02 07:49:26,33,6,34,0,16.0,10,725,718,16.0,1,34,34,16.0,2,310,306,16.0
2024-08-02 07:49:27,34,6,34,0,16.0,10,735,728,16.0,1,35,35,16.0,2,318,314,16.0
2024-08-02 07:49:28,35,6,34,0,16.0,10,745,738,16.0,1,36,36,16.0,2,326,322,16.0
2024-08-02 07:49:29,36,6,34,0,16.0,10,755,748,16.0,1,37,37,16.0,2,334,330,16.0
2024-08-02 07:49:30,37,6,34,0,16.0,10,765,758,16.0,1,38,38,16.0,2,342,338,16.0
2024-08-02 07:49:31,38,6,34,0,16.0,10,775,768,16.0,1,39,39,16.0,2,350,346,16.0
2024-08-02 07:49:32,39,6,34,0,16.0,10,785,778,16.0,1,40,40,16.0,2,358,354,16.0
2024-08-02 07:49:33,40,6,34,0,16.0,10,795,788,16.0,1,41,41,16.0,2,366,362,16.0
2024-08-02 07:49:34,41,6,34,0,16.0,10,805,798,16.0,1,42,42,16.0,2,374,370,16.0
2024-08-02 07:49:35,42,6,34,0,16.0,10,815,808,16.0,1,43,43,16.0,2,382,378,16.0
2024-08-02 07:49:36,43,6,34,0,16.0,10,825,818,16.0,1,44,44,16.0,2,390,386,16.0
2024-08-02 07:49:37,44,6,34,0,16.0,10,835,828,16.0,1,45,45,16.0,2,398,394,16.0
2024-08-02 07:49:38,45,6,34,0,16.0,10,845,838,16.0,1,46,46,16.0,2,406,402,16.0
2024-08-02 07:49:39,46,6,34,0,16.0,10,855,848,16.0,1,47,47,16.0,2,414,410,16.0
2024-08-02 07:49:40,47,6,34,0,16.0,10,865,858,16.0,1,48,48,16.0,2,422,418,16.0
2024-08-02 07:49:41,48,6,34,0,16.0,10,875,868,16.0,1,49,49,16.0,2,430,426,16.0
2024-08-02 07:49:42,49,6,34,0,16.0,10,885,878,16.0,1,50,50,16.0,2,438,434,16.0
2024-08-02 07:49:43,50,6,34,0,16.0,10,895,888,16.0,1,51,51,16.0,2,446,442,16.0
2024-08-02 07:49:44,51,6,34,0,16.0,10,905,898,16.0,1,52,52,16.0,2,454,450,16.0
2024-08-02 07:49:45,52,6,34,0,16.0,10,915,908,16.0,1,53,53,16.0,2,462,458,16.0
2024-08-02 07:49:46,53,6,34,0,16.0,10,925,918,16.0,1,54,54,16.0,2,470,466,16.0
2024-08-02 07:49:47,54,6,34,0,16.0,10,935,928,16.0,1,55,55,16.0,2,478,474,16.0
2024-08-02 07:49:48,55,6,34,0,16.0,10,945,938,16.0,1,56,56,16.0,2,486,482,16.0
2024-08-02 07:49:49,56,6,34,0,16.0,10,955,948,16.0,1,57,57,16.0,2,494,490,16.0
2024-08-02 07:49:50,57,6,34,0,16.0,10,965,958,16.0,1,58,58,16.0,2,502,498,16.0
