,,globalP,globalP,globalP,globalP,packetP,packetP,packetP,packetP,sessionP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_upf1,phoenix_memory_pool_create_count_cm_globalP_upf1,phoenix_memory_pool_destroy_count_cm_globalP_upf1,total_allocated_memory_globalP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_upf1,phoenix_memory_pool_create_count_cm_packetP_upf1,phoenix_memory_pool_destroy_count_cm_packetP_upf1,total_allocated_memory_packetP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_upf1,phoenix_memory_pool_create_count_cm_sessionP_upf1,phoenix_memory_pool_destroy_count_cm_sessionP_upf1,total_allocated_memory_sessionP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_upf1,phoenix_memory_pool_create_count_cm_transactionP_upf1,phoenix_memory_pool_destroy_count_cm_transactionP_upf1,total_allocated_memory_transactionP_upf1
timestamp,,,,,,,,,,,,,,,,,
2024-08-02 08:00:23,0,19,43,0,32.0,2,108,106,63.99059295654297,7,15,1,64.0,1,21,17,64.0
2024-08-02 08:00:24,1,19,43,0,32.0,2,216,212,63.99059295654297,12,38,3,64.0,2,24,20,64.0
2024-08-02 08:00:25,2,19,43,0,32.0,3,325,319,63.99059295654297,12,61,5,64.0,2,27,23,64.0
2024-08-02 08:00:26,3,19,43,0,32.0,3,434,426,63.99059295654297,12,84,7,64.0,2,30,26,64.0
2024-08-02 08:00:27,4,19,43,0,32.0,4,544,534,63.99059295654297,12,107,9,64.0,2,33,29,64.0
2024-08-02 08:00:28,5,19,43,0,32.0,4,654,642,63.99059295654297,12,130,11,64.0,2,36,32,64.0
2024-08-02 08:00:29,6,19,43,0,32.0,5,765,751,63.99059295654297,12,153,13,64.0,2,39,35,64.0
2024-08-02 08:00:30,7,19,43,0,32.0,5,876,860,63.99059295654297,12,176,15,64.0,2,42,38,64.0
2024-08-02 08:00:31,8,19,43,0,32.0,6,988,970,63.99059295654297,12,199,17,64.0,2,45,41,64.0
2024-08-02 08:00:32,9,19,43,0,32.0,6,1100,1080,63.99059295654297,12,222,19,64.0,2,48,44,64.0
