,,globalP,globalP,globalP,globalP,packetP,packetP,packetP,packetP,sessionP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_upf1,phoenix_memory_pool_create_count_cm_globalP_upf1,phoenix_memory_pool_destroy_count_cm_globalP_upf1,total_allocated_memory_globalP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_upf1,phoenix_memory_pool_create_count_cm_packetP_upf1,phoenix_memory_pool_destroy_count_cm_packetP_upf1,total_allocated_memory_packetP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_upf1,phoenix_memory_pool_create_count_cm_sessionP_upf1,phoenix_memory_pool_destroy_count_cm_sessionP_upf1,total_allocated_memory_sessionP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_upf1,phoenix_memory_pool_create_count_cm_transactionP_upf1,phoenix_memory_pool_destroy_count_cm_transactionP_upf1,total_allocated_memory_transactionP_upf1
timestamp,,,,,,,,,,,,,,,,,
2024-07-25 09:12:59,50,19,39,0,256.0,215,28207,28097,256.0,12,1167,103,256.0,2,468,464,256.0
2024-07-25 09:13:00,53,19,39,0,256.0,215,28632,28518,256.0,12,1213,107,256.0,2,473,469,256.0
2024-07-25 09:13:01,58,19,39,0,256.0,223,29377,29253,256.0,12,1328,117,256.0,2,484,480,256.0
2024-07-25 09:13:02,63,19,39,0,256.0,243,30142,30008,256.0,12,1443,127,256.0,2,495,491,256.0
2024-07-25 09:13:03,68,19,39,0,256.0,263,30927,30783,256.0,12,1558,137,256.0,2,506,502,256.0
2024-07-25 09:13:04,73,19,39,0,256.0,283,31732,31578,256.0,12,1673,147,256.0,2,517,513,256.0
2024-07-25 09:13:05,78,19,39,0,256.0,303,32557,32393,256.0,12,1788,157,256.0,2,528,524,256.0
2024-07-25 09:13:06,83,19,39,0,256.0,323,33402,33228,256.0,12,1903,167,256.0,2,539,535,256.0
2024-07-25 09:13:07,88,19,39,0,256.0,343,34267,34083,256.0,12,2018,177,256.0,2,550,546,256.0
2024-07-25 09:13:08,93,19,39,0,256.0,363,35152,34958,256.0,12,2133,187,256.0,2,561,557,256.0
2024-07-25 09:13:09,98,19,39,0,256.0,383,36057,35853,256.0,12,2248,197,256.0,2,572,568,256.0
