timestamp,http_client_request_count_amf,http_server_request_count_amf,cpu_amf_system,cpu_amf_user,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_used_cm_globalP_amf,phoenix_memory_used_cm_packetP_amf,phoenix_memory_used_cm_sessionP_amf,phoenix_memory_used_cm_transactionP_amf
2024-01-18 12:40:00,2006,403,10.33,11.35,399,0,1,9600,178421,430292,355184,67792
2024-01-18 12:40:01,2006,403,10.35,11.38,399,0,1,9600,178421,430292,355184,67792
2024-01-18 12:40:02,2006,403,10.38,11.41,399,0,1,9600,178421,430292,355184,67792
2024-01-18 12:40:03,2006,403,10.4,11.45,399,0,1,9600,178421,430292,355184,67792
2024-01-18 12:40:04,2006,403,10.43,11.47,399,0,1,9600,178421,430292,355184,67792
2024-01-18 12:40:05,2006,403,10.47,11.49,399,0,1,9600,178421,430292,355184,67792
2024-01-18 12:40:06,2006,403,10.49,11.52,399,0,1,9600,178421,430292,355184,67792
2024-01-18 12:40:07,2006,403,10.51,11.54,399,0,1,9600,178421,430292,355184,67792
2024-01-18 12:40:08,2006,403,10.53,11.57,399,0,1,9600,178421,430292,355184,67792
2024-01-18 12:40:09,2006,403,10.55,11.6,399,0,1,9600,178421,430292,355184,67792
2024-01-18 12:40:10,2006,403,10.57,11.62,399,0,1,9600,178421,430292,355184,67792
2024-01-18 12:40:11,2006,403,10.58,11.64,399,0,1,9600,178421,430292,355184,67792
2024-01-18 12:40:12,2006,403,10.6,11.67,399,0,1,9600,178421,430292,355184,67792
2024-01-18 12:40:13,2006,403,10.62,11.69,399,0,1,9600,178421,430292,355184,67792
2024-01-18 12:40:14,2006,403,10.64,11.71,399,0,1,9600,178421,430292,355184,67792
2024-01-18 12:40:15,2006,403,10.66,11.74,399,0,1,9600,178421,430292,355184,67792
2024-01-18 12:40:16,2006,403,10.68,11.76,399,0,1,9600,178421,430292,355184,67792
2024-01-18 12:40:17,2007,403,10.71,11.78,398,0,1,9601,178485,429541,355184,67792
2024-01-18 12:40:18,2008,403,10.73,11.82,397,0,1,9602,178549,428790,355184,67792
2024-01-18 12:40:19,2009,403,10.76,11.83,396,0,1,9603,178613,428039,355184,67792
2024-01-18 12:40:20,2010,403,10.78,11.85,395,0,1,9604,178677,427288,355184,67792
2024-01-18 12:40:21,2011,403,10.8,11.88,394,0,1,9605,178741,426537,355184,67792
2024-01-18 12:40:22,2012,403,10.83,11.89,393,0,1,9606,178805,425786,355184,67792
2024-01-18 12:40:23,2013,403,10.86,11.91,392,0,1,9607,178869,425035,355184,67792
